xi,muq_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,last_retained_muq_MeV,last_retained_T_MeV,first_excluded_muq_MeV,first_excluded_T_MeV,native_mu_gap_MeV,interpretation
0.04375,296.95578979107665,129.375,129.4375,290.3627780927308,133.14861513399794,314.55967626712504,129.00907167951792,24.19689817439422,native crossover sampling gap across CEP proxy; no implicit connector
0.05,297.6810400317263,129.1875,129.25,290.5722110545876,133.26604142035816,314.7865619758033,129.00907167951792,24.21435092121567,native crossover sampling gap across CEP proxy; no implicit connector
0.0625,299.3234072989634,128.6875,128.75,290.9875177625223,133.49611133715536,315.23647757606585,125.00939858688793,24.248959813543536,native crossover sampling gap across CEP proxy; no implicit connector
0.075,300.8405118420086,128.25,128.3125,291.3981546736664,133.7250673026697,315.6813342298053,125.00939858688793,24.28317955613892,native crossover sampling gap across CEP proxy; no implicit connector
0.0875,302.4373337357471,127.75,127.8125,291.8042159545971,133.95063338797996,316.1212339508135,125.00939858688793,24.317017996216407,native crossover sampling gap across CEP proxy; no implicit connector
0.1,304.01130777497764,127.25,127.3125,292.20578023977953,134.1696670013104,316.55626192642785,125.00939858688793,24.350481686648322,native crossover sampling gap across CEP proxy; no implicit connector
0.1125,305.5628315633134,126.75,126.8125,292.60293782133976,134.39523308662072,316.98651597311806,125.00939858688793,24.383578151778295,native crossover sampling gap across CEP proxy; no implicit connector
0.125,307.1884846886959,126.1875,126.3125,292.99576123473304,134.60643940895116,317.41207467096086,125.00939858688793,24.416313436227824,native crossover sampling gap across CEP proxy; no implicit connector
0.13125,307.8488691498111,126.0,126.0625,293.1905774043668,134.71373751021838,317.6231255213974,125.00939858688793,24.432548117030592,native crossover sampling gap across CEP proxy; no implicit connector
0.1375,308.600070955756,125.75,125.8125,293.3843387406464,134.82103561148557,317.8330336357003,125.00939858688793,24.448694895053904,native crossover sampling gap across CEP proxy; no implicit connector
0.14375,309.3459442306198,125.5,125.5625,293.57705656828546,134.9249438325488,318.0418112823093,125.00939858688793,24.464754714023854,native crossover sampling gap across CEP proxy; no implicit connector
0.15,310.08653387191225,125.25,125.3125,293.7687395157152,135.032241933816,318.2494678086915,125.00939858688793,24.480728292976323,native crossover sampling gap across CEP proxy; no implicit connector
0.1625,311.644301866571,124.6875,124.75,294.14905036322756,135.24001256317706,318.66147122682986,121.00972549425794,24.5124208636023,native crossover sampling gap across CEP proxy; no implicit connector
0.175,313.08792145874577,124.1875,124.25,294.52536832929763,135.45288947041323,319.06914902340577,121.00972549425794,24.543780694108136,native crossover sampling gap across CEP proxy; no implicit connector
0.1875,314.60087733505475,123.625,123.6875,294.8977984634803,135.65658286661076,319.4726150021037,121.00972549425794,24.574816538623395,native crossover sampling gap across CEP proxy; no implicit connector
0.2,316.00308080198874,123.125,123.1875,295.2664547906734,135.85109275176964,319.87199268989616,121.00972549425794,24.60553789922278,native crossover sampling gap across CEP proxy; no implicit connector
0.225,318.9204411042932,122.0,122.0625,295.99282207981605,136.25280382220674,320.6588905864674,121.00972549425794,24.666068506651357,native crossover sampling gap across CEP proxy; no implicit connector
0.25,321.8347517075805,120.8125,120.875,321.42139862617336,121.12633179431693,346.14612159741745,117.00621272587465,24.72472297124409,native crossover sampling gap across CEP proxy; no implicit connector
0.2625,323.21784527202306,120.25,120.3125,321.81104589659236,121.31202112386289,346.56574173479174,117.00621272587465,24.754695838199382,native crossover sampling gap across CEP proxy; no implicit connector
0.275,324.66065742413326,119.625,119.6875,322.1878495428525,121.51669485437945,346.9715302769181,117.00621272587465,24.78368073406557,native crossover sampling gap across CEP proxy; no implicit connector
0.2875,326.0019695332096,119.0625,119.125,322.35871537354404,121.85735610744473,347.1555396330474,117.00621272587465,24.796824259503353,native crossover sampling gap across CEP proxy; no implicit connector
0.3,327.40104029812386,118.4375,118.5,322.93109465607205,121.89756571395658,347.77194809115457,117.00621272587465,24.840853435082522,native crossover sampling gap across CEP proxy; no implicit connector
0.30625,328.09229904805244,118.125,118.1875,323.1148018129667,121.99334362999349,347.9697865678102,117.00621272587465,24.854984754843542,native crossover sampling gap across CEP proxy; no implicit connector
0.3125,328.83514694681367,117.765625,117.8359375,323.29768232454865,122.09203584081979,348.1667348110524,116.50623798085788,24.869052486503733,native crossover sampling gap across CEP proxy; no implicit connector
0.31875,329.4584947629787,117.5,117.5625,323.47974479653107,122.17903295953944,348.36280208857187,117.00621272587465,24.883057292040803,native crossover sampling gap across CEP proxy; no implicit connector
0.325,330.1335225521384,117.1875,117.25,323.66099807945983,122.27843657353371,348.55799793172594,117.00621272587465,24.896999852266106,native crossover sampling gap across CEP proxy; no implicit connector
0.3375,331.5410716252949,116.5,116.5625,324.0211292783418,122.46569655736401,348.94583153052196,113.00641476574049,24.924702252180168,native crossover sampling gap across CEP proxy; no implicit connector
0.35,332.8530007734056,115.875,115.9375,324.3781020517946,122.65136728119556,349.3302637480865,113.00641476574049,24.95216169629191,native crossover sampling gap across CEP proxy; no implicit connector
0.3625,334.2151172663605,115.1875,115.25,324.73200471034784,122.83213756006116,349.7113896880669,113.00641476574049,24.979384977719064,native crossover sampling gap across CEP proxy; no implicit connector
0.375,335.5544200156588,114.5,114.5625,325.08287441571474,123.00800739396074,350.0892493707697,113.00641476574049,25.00637495505498,native crossover sampling gap across CEP proxy; no implicit connector
0.38125,336.1813003115321,114.1875,114.25,325.25720073012593,123.10084275587653,350.27698540167404,113.00641476574049,25.01978467154811,native crossover sampling gap across CEP proxy; no implicit connector
