table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,184,"{""muq_MeV"":180.0,""xi"":0.05}",False,False,10.499543551491001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,185,"{""muq_MeV"":210.0,""xi"":0.05}",False,False,7.92915829094099,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,186,"{""muq_MeV"":240.0,""xi"":0.05}",False,False,2.1435092121560047,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,187,"{""muq_MeV"":270.0,""xi"":0.05}",False,False,3.6421398666279856,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,188,"{""muq_MeV"":300.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,189,"{""muq_MeV"":330.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,190,"{""muq_MeV"":360.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,191,"{""muq_MeV"":390.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,192,"{""muq_MeV"":420.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,193,"{""muq_MeV"":450.0,""xi"":0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,194,"{""muq_MeV"":0.0,""xi"":0.1}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,195,"{""muq_MeV"":30.0,""xi"":0.1}",False,False,5.649518313352001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,196,"{""muq_MeV"":60.0,""xi"":0.1}",False,False,11.299036626703,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,197,"{""muq_MeV"":90.0,""xi"":0.1}",False,False,7.401926746593006,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,198,"{""muq_MeV"":120.0,""xi"":0.1}",False,False,1.7524084332410013,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,199,"{""muq_MeV"":150.0,""xi"":0.1}",False,False,3.8971098801100084,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,200,"{""muq_MeV"":180.0,""xi"":0.1}",False,False,9.546628193461999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,201,"{""muq_MeV"":210.0,""xi"":0.1}",False,False,9.154335179834987,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,202,"{""muq_MeV"":240.0,""xi"":0.1}",False,False,3.5048168664829973,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,203,"{""muq_MeV"":270.0,""xi"":0.1}",False,False,2.1447014468690213,accepted_key_grid_differs_from_legacy,nearest_accepted_support
