tau_s_muB800,,tau_sbar_muB800,,tau_u_muB0,,tau_s_muB0,,tau_u_muB800,,tau_ubar_muB800,,muB1200,,muB0,,muB400,,muB873,,muB800,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
317.7221108152154,1.3678475646563504,,,,,388.8597538335067,0.7915848936833451,,,,,268.99806294109885,0.6314209400933378,,,396.04169143729257,0.23775921496802302,305.22083873197346,0.33490741207053376,312.16768242841806,0.2967914363212528
322.4649227795838,1.370995272098077,,,,,393.3871133432111,0.8066431717152575,,,,,274.45750142570444,0.6314424877430759,,,399.2679161783386,0.24140904190376436,310.68040582273466,0.33833312819545347,317.6272763121285,0.3004614973621523
327.2077827256057,1.3826270022343683,,,,,,,,,,,279.91693991031,0.631464036128141,,,,,316.1399889892655,0.34222750191681744,323.08690770596775,0.30507812207749596
331.9506077758796,1.3881349718387868,,,,,,,,,,,285.37641590504415,0.6333564781244791,,,,,321.59956679720653,0.34602043738762067,328.54651230685784,0.3091118147323126
336.6934851697754,1.4030462284801766,,,,,,,,,,,290.8358758240091,0.6344496976187468,,,,,327.05915532232723,0.350151243558259,334.0061597764666,0.314259532443049
341.43631458201776,1.409423291248389,,,,,,,,,,,296.29534110156374,0.6358134516116616,,,,,332.51878671616646,0.35553135681507,339.4657750945364,0.31868386754543226
346.1791832519766,1.4229712485316242,,,,,,,,,,,301.7548385306575,0.6387978784316531,,,,,337.9784020342362,0.36053674153554754,344.92542256414515,0.32399099108747526
350.92206064587253,1.4382567142180547,,,,,,,,,,,307.21430916680197,0.6404415818951688,,,,,343.438017352306,0.36561259507887145,350.38507539234365,0.3295257285966473
355.6649424017368,1.4545193294036307,,,,,,,,,,,312.67380123730584,0.6431758593633911,,,,,348.8976541047351,0.3713871943748253,355.84474429631155,0.33558021009741534
360.4078241576011,1.4709658287665288,,,,,,,,,,,318.1333093835791,0.6467412585225221,,,,,354.3572962157539,0.37741246595749595,361.30441320027955,0.34174593252130947
365.15071463740253,1.4892625714110455,,,,,,,,,,,323.5928657571608,0.6528046715110728,,,,,359.8169490439524,0.3838598024243299,366.7640767456578,0.3478778902529962
369.89359639326676,1.5061019185663334,,,,,,,,,,,329.05237390343405,0.6564234472984393,,,,,365.276569720612,0.38942855564773476,372.2237456496258,0.3542695618837141
374.6364912350366,1.5256884362250618,,,,,,,,,,,334.5119142012462,0.6617381205911975,,,,,370.7362332659902,0.396416084146247,377.6834199121837,0.36093117243488654
379.379390438775,1.546393976365125,,,,,,,,,,,339.9714544990585,0.6670958236573811,,,,,376.1958914527786,0.40335848871463115,383.1431048919211,0.36802898421686514
384.1222852805447,1.5665044831987254,,,,,,,,,,,345.4310055140504,0.6730655597126239,,,,,381.65553892238734,0.41007572027024247,388.6027898716586,0.3752663764394923
388.86518012231454,1.5868765226632644,,,,,,,,,,,350.8905565290422,0.6790887180009315,,,,,387.1152131849452,0.41778669812113867,394.06247485139613,0.3826460939909132
393.60807932605303,1.6084124632637076,,,,,,,,,,,356.3500753924952,0.6834306094895667,,,,,392.5748981646826,0.42600258961167803,398.28133280934605,0.3887688522230916
398.1353969608597,1.630236059039154,,,,,,,,,,,361.8096639176159,0.6915894321307863,,,,,,,,
,,,,,,,,,,,,367.26919885683833,0.6968942434571359,,,,,,,,
,,,,,,,,,,,,372.7287659475995,0.70402266689935,,,,,,,,
,,,,,,,,,,,,378.1883276797711,0.7109234954634852,,,,,,,,
,,,,,,,,,,,,383.6478947705324,0.7181954219548602,,,,,,,,
,,,,,,,,,,,,389.1074832956531,0.7267692683528756,,,,,,,,
,,,,,,,,,,,,394.5670503864145,0.7342032788046007,,,,,,,,
,,,,,,,,,,,,398.5376529156979,0.7401408010931414,,,,,,,,
