T_MeV,muB_MeV,xi,mode,plot_panel,plot_series
240.18350129636818,0.0,-0.16,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.15,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.14,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.13,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.12,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.11,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.1,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.09,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.08,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.07,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.06,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.05,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.04,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.03,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.02,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.01,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.0,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.01,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.02,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.03,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.04,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.05,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.06,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.07,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.08,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.09,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.1,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.11,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.12,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.13,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.14,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.15,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.16,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.17,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.18,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.19,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,0.2,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
