xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
0.1,107.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,109.0,True,True,True,True,True,4.426730470186158e-06,2.9175143023696393e-07,3.0129564088099414e-07,7.645474597171755e-06,0.0,0.0
0.1,111.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,113.0,True,True,True,True,True,6.471960830367607e-06,5.623002095056506e-07,5.400994655957447e-07,6.713752279953976e-07,0.0,0.0
0.1,115.0,True,True,True,True,True,5.319268382208975e-06,5.508853245794754e-07,5.078787119749961e-07,7.273310963780194e-06,0.0,0.0
0.1,117.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,119.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,121.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,122.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,123.0,True,True,True,True,True,1.0010177390995523e-05,3.007843369484675e-06,2.642677895625667e-06,4.249678237968272e-06,0.0,0.0
0.1,124.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1,125.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,1.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,3.0,True,True,True,True,True,3.1211159239319386e-06,8.453031170537785e-10,8.50360510895598e-08,3.930224777753415e-06,0.0,0.0
0.1125,5.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,7.0,True,True,True,True,True,3.1124166071094805e-06,2.45850654851526e-09,8.482552305011382e-08,3.1794082387217424e-06,0.0,0.0
0.1125,9.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,11.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,13.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,15.0,True,True,True,True,True,3.0719314167981793e-06,6.629655891973729e-09,8.415720786913994e-08,7.472474222699194e-06,0.0,0.0
0.1125,17.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,19.0,True,True,True,True,True,3.039018110939651e-06,8.423361695653053e-09,8.338348811420815e-08,6.651703948709967e-06,0.0,0.0
0.1125,21.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,23.0,True,True,True,True,True,2.997150772898749e-06,9.646868567858569e-09,8.261343964477419e-08,6.647209900959799e-06,0.0,0.0
0.1125,25.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,27.0,True,True,True,True,True,2.9463025157383527e-06,1.1716174641573929e-08,8.165540288374018e-08,7.08745187454521e-06,0.0,0.0
0.1125,31.0,True,True,True,True,True,2.8866948014183436e-06,1.3277181139248473e-08,8.031268405872538e-08,6.910529867009903e-06,0.0,0.0
0.1125,33.0,True,True,True,True,True,3.5278386405934725e-05,8.624164044031962e-05,4.169910928109033e-06,3.9483293270570495e-06,1.0380171094448443e-05,6.040974546817068e-06
0.1125,35.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,37.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,39.0,True,True,True,True,True,4.871627504599019e-05,2.212286986345846e-05,2.6992190451657905e-06,4.830414055283677e-07,2.367116651519341e-05,8.260399625426018e-06
0.1125,41.0,True,True,True,True,True,3.065793521273008e-05,2.470770105179876e-05,3.736699815792832e-06,6.023863258220597e-07,2.380472007784684e-05,6.701903247252616e-06
0.1125,43.0,True,True,True,True,True,1.3102254570185323e-05,3.5490748941269246e-05,4.768663859788802e-06,1.4063636880005135e-06,6.270823293963446e-07,2.4669506704100286e-06
0.1125,45.0,True,True,True,True,True,8.202745618746121e-06,5.298700222468311e-05,3.6639093652368615e-06,4.604367031852338e-06,2.4614998999084037e-05,8.027347476957658e-06
0.1125,47.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,51.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
0.1125,53.0,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
