T_MeV,xi,meson,q,omega,mass_ref,gamma_ref,threshold_ref,gap_ref,exp_omega_over_T,bose_g,Pi_re,Pi_im,denom_re,denom_im,denom_phase,D_re,D_im,D_abs,phase_raw,phase_unwrapped,phase_shifted_tail
212.0,0.0,pi,0.0,8.43,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2556.871791498534,0.000391255932056627,-0.6215259539909634,3.7641279403593764e-7,1.5841442861096748,-3.5377345297131026e-7,-2.2332148408027755e-7,0.2966443856567595,6.624706444895081e-8,0.2966443856567669,2.233214840802775e-7,2.233214840802775e-7,3.653106015711236e-8
212.0,0.0,pi,0.0,8.45,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2604.9156840547844,0.00038403701245917946,-0.617421662500407,3.7455044624163807e-7,1.5802868471606781,-3.5202311605327247e-7,-2.2275899890311125e-7,0.2973684868598352,6.624150643823098e-8,0.2973684868598426,2.2275899890311128e-7,2.2275899890311128e-7,3.596857497994614e-8
212.0,0.0,pi,0.0,8.47,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2653.8623264554517,0.0003769513366855046,-0.6133739924885193,3.727102633669499e-7,1.576482624192483,-3.5029361094613476e-7,-2.2219947468533556e-7,0.29808606916005814,6.62345679783826e-8,0.2980860691600655,2.221994746853355e-7,2.221994746853355e-7,3.5409050762170376e-8
212.0,0.0,pi,0.0,8.49,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2703.7286814659938,0.00036999644354149063,-0.6093817763334464,3.708918137111801e-7,1.5727305198098325,-3.485845319138351e-7,-2.2164288638334472e-7,0.2987972209005597,6.6226278483723e-8,0.29879722090056704,2.2164288638334472e-7,2.2164288638334472e-7,3.485246246017959e-8
212.0,0.0,pi,0.0,8.51,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2754.5320305840482,0.00036316991736169897,-0.6054438790657525,3.690946773058204e-7,1.5690294673060077,-3.468954842468638e-7,-2.2108920926926298e-7,0.29950202869773174,6.621666669932269e-8,0.29950202869773906,2.2108920926926298e-7,2.2108920926926298e-7,3.4298785346097843e-8
212.0,0.0,pi,0.0,8.53,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2806.2899800284235,0.00035646938716469797,-0.6015591972081153,3.6731844550495393e-7,1.5653784295723114,-3.452260838773057e-7,-2.2053841892507864e-7,0.3002005774878751,6.620576071957259e-8,0.3002005774878824,2.2053841892507858e-7,2.2053841892507858e-7,3.374799500191345e-8
212.0,0.0,pi,0.0,8.55,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2859.0204668406554,0.00034989252582415237,-0.5977266576651148,3.655627205931293e-7,1.5617763980546289,-3.435759570102985e-7,-2.199904912369377e-7,0.30089295057219423,6.619358800610969e-8,0.3008929505722015,2.199904912369377e-7,2.199904912369377e-7,3.3200067313772567e-8
212.0,0.0,pi,0.0,8.57,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2912.7417651011797,0.00034343704925537965,-0.593945216660568,3.6382711540982044e-7,1.558222391754678,-3.4194473977107933e-7,-2.1944540238958946e-7,0.30157922966021344,6.618017540512902e-8,0.3015792296602207,2.1944540238958946e-7,2.1944540238958946e-7,3.265497846642433e-8
212.0,0.0,pi,0.0,8.59,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,2967.4724922623595,0.00033710071561707185,-0.59021385872002,3.6211125298964666e-7,1.5547154562736978,-3.403320778668439e-7,-2.189031288609799e-7,0.3022594949116808,6.616554916410742e-8,0.302259494911688,2.1890312886097993e-7,2.1890312886097993e-7,3.211270493781479e-8
212.0,0.0,pi,0.0,8.61,0.9740069109697355,0.24189142422807122,0.6116056058989852,0.3624013050707503,3023.231615600462,0.0003308813245279079,-0.5865315956961324,3.604147662175714e-7,1.5512546628964543,-3.387376262626831e-7,-2.183636474169866e-7,0.30293382497702687,6.614973494796367e-8,0.3029338249770341,2.183636474169866e-7,2.183636474169866e-7,3.1573223493821455e-8
