xi,T_MeV,candidate_state,reference_state,classification_regression
0.0,21,confirmed_first_order,confirmed_first_order,false
0.0,26,confirmed_monotone,confirmed_monotone,false
0.0,31,confirmed_first_order,confirmed_first_order,false
0.0,36,confirmed_monotone,confirmed_monotone,false
0.0,41,confirmed_first_order,confirmed_first_order,false
0.0,46,confirmed_monotone,confirmed_monotone,false
0.0,51,ambiguous_near_critical,confirmed_first_order,true
0.0,56,confirmed_monotone,confirmed_monotone,false
0.0,61,confirmed_first_order,confirmed_first_order,false
0.0,66,confirmed_monotone,confirmed_monotone,false
0.0,71,confirmed_first_order,confirmed_first_order,false
0.0,76,confirmed_monotone,confirmed_monotone,false
0.0,81,confirmed_first_order,confirmed_first_order,false
0.0,86,confirmed_monotone,confirmed_monotone,false
0.0,91,confirmed_first_order,confirmed_first_order,false
0.0,96,confirmed_monotone,confirmed_monotone,false
0.0,101,confirmed_first_order,confirmed_first_order,false
0.0,106,confirmed_monotone,confirmed_monotone,false
0.0,111,confirmed_first_order,confirmed_first_order,false
0.0,116,confirmed_first_order,confirmed_monotone,false
0.0,121,confirmed_first_order,confirmed_first_order,false
0.0,126,confirmed_first_order,confirmed_first_order,false
0.0,131,ambiguous_near_critical,ambiguous_near_critical,false
0.0,136,confirmed_monotone,confirmed_monotone,false
0.0,141,ambiguous_near_critical,ambiguous_near_critical,false
0.0,146,confirmed_monotone,confirmed_monotone,false
0.0,151,confirmed_monotone,confirmed_monotone,false
0.0,156,confirmed_monotone,confirmed_monotone,false
0.0,161,ambiguous_near_critical,ambiguous_near_critical,false
0.0,166,confirmed_monotone,confirmed_monotone,false
0.0,171,confirmed_monotone,confirmed_monotone,false
0.0,176,confirmed_monotone,confirmed_monotone,false
0.0,181,ambiguous_near_critical,ambiguous_near_critical,false
0.0,186,confirmed_monotone,confirmed_monotone,false
0.0,191,confirmed_monotone,confirmed_monotone,false
0.0,196,confirmed_monotone,confirmed_monotone,false
0.0,201,ambiguous_near_critical,ambiguous_near_critical,false
0.0,206,confirmed_monotone,confirmed_monotone,false
0.0,211,confirmed_monotone,confirmed_monotone,false
0.0,216,confirmed_monotone,confirmed_monotone,false
0.0,221,ambiguous_near_critical,ambiguous_near_critical,false
0.0,226,confirmed_monotone,confirmed_monotone,false
0.0,231,confirmed_monotone,confirmed_monotone,false
0.0,236,confirmed_monotone,confirmed_monotone,false
0.0,240,ambiguous_near_critical,ambiguous_near_critical,false
0.05,1,confirmed_first_order,confirmed_first_order,false
0.05,6,confirmed_monotone,confirmed_monotone,false
0.05,11,confirmed_first_order,confirmed_first_order,false
0.05,16,confirmed_monotone,confirmed_monotone,false
0.05,21,confirmed_first_order,confirmed_first_order,false
0.05,26,confirmed_monotone,confirmed_monotone,false
0.05,31,confirmed_first_order,confirmed_first_order,false
0.05,36,confirmed_monotone,confirmed_monotone,false
