xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.35,100.0,319.2371471667976,295.79799097614523,0.7427156548482167,2.1850387188323603,100.0,100.0
-0.35,105.0,312.22951769986815,291.7014682891585,0.8148594689166656,2.2305109825069214,105.0,105.0
-0.35,110.0,304.5330215419172,286.9817526386083,0.897225632892506,2.2785900858509196,110.0,110.0
-0.35,115.0,296.09635479000815,281.5674460916184,0.9911838338677543,2.3275752069291307,115.0,115.0
-0.35,120.0,286.8671541487776,275.38793089302715,1.100260789769697,2.374751755631961,120.0,120.0
-0.35,125.0,276.801814115572,268.36502785397545,1.2288291276028025,2.4151458248095143,125.0,125.0
-0.35,130.0,265.8855923202599,260.41964233874194,1.3867240871342335,2.442437166415303,130.0,130.0
-0.35,135.0,254.16612954026525,251.45350354373235,1.5896484469641934,2.4435743134590773,135.0,135.0
-0.35,140.0,241.83481950111516,241.29613963553464,1.878737034151938,2.3807028066998703,140.0,140.0
-0.3,60.0,357.96936813358565,318.8493420966197,0.39001464258214713,1.9601906918847882,60.0,60.0
-0.3,65.0,354.88638551257003,317.47920136566165,0.421631779202492,1.976352788400571,65.0,65.0
-0.3,70.0,351.465770305936,315.9694654036134,0.4575939737928631,1.9950807767707748,70.0,70.0
-0.3,75.0,347.6889589699021,314.26895034133076,0.49575101764973545,2.0168257725018677,75.0,75.0
-0.3,80.0,343.5213401772616,312.32289831893365,0.5373339236293462,2.041855864722202,80.0,80.0
-0.3,85.0,338.92350145247696,310.0798607025341,0.5834394231104065,2.0704662280250754,85.0,85.0
-0.3,90.0,333.85261899494066,307.48020695946474,0.6350262065472349,2.102709690151961,90.0,90.0
-0.3,95.0,328.26308190633785,304.4661355470903,0.6929030064964533,2.1390987441926277,95.0,95.0
-0.3,100.0,322.1064994567664,300.97467844732046,0.7577241211130546,2.1793805166535942,100.0,100.0
-0.3,105.0,315.3293470153824,296.94093976167653,0.8306394162115069,2.222927835104127,105.0,105.0
-0.3,110.0,307.8838855342941,292.2924038723572,0.9143758288621732,2.268684750212676,110.0,110.0
-0.3,115.0,299.71268670489957,286.95928440858506,1.0104152063662197,2.3150422775358686,115.0,115.0
-0.3,120.0,290.7674767765382,280.8685963218501,1.121851679386519,2.358979973152402,120.0,120.0
-0.3,125.0,281.0084993377357,273.9447976471968,1.2555371748920054,2.3958528130870294,125.0,125.0
-0.3,130.0,270.4285342626683,266.106850452776,1.4202932657494303,2.4180287741608657,130.0,130.0
-0.3,135.0,259.0922016719344,257.2427994795154,1.6384400533600234,2.4071718471589767,135.0,135.0
-0.3,140.0,247.25234916126536,247.14018809924983,1.9881918068366466,2.2895652974765333,140.0,140.0
-0.25,60.0,359.3955603057071,323.6400370610662,0.4018919739062194,1.966269225412359,60.0,60.0
-0.25,65.0,356.4224893280199,322.22291375496764,0.433852737440114,1.979786072037506,65.0,65.0
-0.25,70.0,353.1411791551574,320.68829013209415,0.46910112166372026,1.9964878491556282,70.0,70.0
-0.25,75.0,349.50399818861814,318.9797876065064,0.5082527982636115,2.016701020808796,75.0,75.0
-0.25,80.0,345.4864305866818,317.0390746682901,0.5506631683888588,2.0402753769279567,80.0,80.0
-0.25,85.0,341.05047250253824,314.813098887804,0.5974264816769693,2.067479633786466,85.0,85.0
-0.25,90.0,336.15421961524976,312.2400488759049,0.6495102188561502,2.0982895694045047,90.0,90.0
-0.25,95.0,330.7525768586598,309.26172520058833,0.7077446134269759,2.133208359054427,95.0,95.0
-0.25,100.0,324.7973359987462,305.8164887501254,0.7728133303069556,2.1716790219559927,100.0,100.0
-0.25,105.0,318.23630555212543,301.83419677940753,0.8479105376590824,2.212975096469121,105.0,105.0
-0.25,110.0,311.02025248844666,297.2473953341154,0.9325601070318447,2.256450944010622,110.0,110.0
-0.25,115.0,303.0967429181268,291.9844823685582,1.0305367665004643,2.300147543470175,115.0,115.0
-0.25,120.0,294.417224009166,285.97175211376657,1.1457670485394742,2.3409540885008706,120.0,120.0
-0.25,125.0,284.94583323682076,279.1340075384206,1.2837006203068948,2.374005990285462,125.0,125.0
-0.25,130.0,274.6837296392289,271.3793436748583,1.4576254992055804,2.3877617160899014,130.0,130.0
-0.25,135.0,263.716634974725,262.59043235652456,1.6952642956991009,2.360584668592934,135.0,135.0
-0.2,60.0,360.75843065045575,328.15415067134967,0.41350096594253416,1.970921972797855,60.0,60.0
-0.2,65.0,357.89685969027084,326.69246292880877,0.4466959184435563,1.9814490903899622,65.0,65.0
-0.2,70.0,354.72760013340223,325.132355496675,0.48164014832005647,1.9960785730681827,70.0,70.0
-0.2,75.0,351.2273842189464,323.4138478404699,0.5205348556972945,2.014679708318258,75.0,75.0
-0.2,80.0,347.3495919015733,321.4757243170815,0.5638126726753938,2.0368633733751853,80.0,80.0
-0.2,85.0,343.0641466487634,319.2631256629368,0.6112868309519547,2.0625699898364553,85.0,85.0
-0.2,90.0,338.33009609697297,316.7124713497933,0.663927226571959,2.0920277443957693,90.0,90.0
-0.2,95.0,333.10290835821627,313.7650458862921,0.7225778204096736,2.125532621525128,95.0,95.0
-0.2,100.0,327.3330302366709,310.35835596050674,0.789785118418309,2.1617586179779766,100.0,100.0
-0.2,105.0,320.9761922213718,306.42231713599176,0.8653556339199643,2.2010989427125938,105.0,105.0
-0.2,110.0,313.97615266997366,301.88939738680415,0.9522779601970096,2.2422962319303696,110.0,110.0
