channel,xi,T_MeV,omega_fm,K_eff,re_pi,im_pi
K,0.0,220,3.36,0.20119480741804185,1.4046600629366972,0.44854411501396746
pi,0.0,220,3.38,0.23260893016295728,1.4517069724285236,0.9596277612168772
K,0.0,220,3.38,0.20119480741804185,1.4098099636300843,0.46054118972667457
pi,0.0,220,3.4,0.23260893016295728,1.4516444577975822,0.9744758639090302
K,0.0,220,3.4,0.20119480741804185,1.4148617438125042,0.4726880591127766
pi,0.0,220,3.42,0.23260893016295728,1.4514446550926972,0.9894456484140499
K,0.0,220,3.42,0.20119480741804185,1.419813362433812,0.48498435892149017
pi,0.0,220,3.44,0.23260893016295728,1.4511052312589807,1.004537033532965
K,0.0,220,3.44,0.20119480741804185,1.4246627754025998,0.49742972274343894
pi,0.0,220,3.46,0.23260893016295728,1.450623825572365,1.0197499345860332
K,0.0,220,3.46,0.20119480741804185,1.4294079349566067,0.5100237822013796
pi,0.0,220,3.48,0.23260893016295728,1.4499980487114403,1.0350842635077493
K,0.0,220,3.48,0.20119480741804185,1.4340467890264588,0.5227661671322781
pi,0.0,220,3.5,0.23260893016295728,1.4492254817952548,1.0505399289404702
K,0.0,220,3.5,0.20119480741804185,1.4385772805922246,0.5356565057612196
pi,0.3,220,0.3,0.23463039523706114,0.9703144229765569,-0.0
K,0.3,220,0.3,0.20473484675375103,0.822772257050311,-0.0
pi,0.3,220,0.32,0.23463039523706114,0.9713837806840104,-0.0
K,0.3,220,0.32,0.20473484675375103,0.8239777224606568,-0.0
pi,0.3,220,0.34,0.23463039523706114,0.9725299981946013,-0.0
K,0.3,220,0.34,0.20473484675375103,0.8253126925497588,-0.0
pi,0.3,220,0.36,0.23463039523706114,0.9737548591826453,-0.0
K,0.3,220,0.36,0.20473484675375103,0.8267939541969165,-0.0
pi,0.3,220,0.38,0.23463039523706114,0.9750603786749711,-0.0
K,0.3,220,0.38,0.20473484675375103,0.8284431570987864,-0.0
pi,0.3,220,0.4,0.23463039523706114,0.9764488420975184,-0.0
K,0.3,220,0.4,0.20473484675375103,0.830288829146613,-0.0
pi,0.3,220,0.42,0.23463039523706114,0.9779228553384026,-0.0
K,0.3,220,0.42,0.20473484675375103,0.8323695718389004,-0.0
pi,0.3,220,0.44,0.23463039523706114,0.979485410014309,-0.0
K,0.3,220,0.44,0.20473484675375103,0.8347393799566846,-0.0
pi,0.3,220,0.46,0.23463039523706114,0.9811399702243675,-0.0
K,0.3,220,0.46,0.20473484675375103,0.8374770547791827,-0.0
pi,0.3,220,0.48,0.23463039523706114,0.9828905905117007,-0.0
K,0.3,220,0.48,0.20473484675375103,0.8407042243206752,-0.0
pi,0.3,220,0.5,0.23463039523706114,0.9847420806017041,-0.0
K,0.3,220,0.5,0.20473484675375103,0.8446237053943751,-0.0
pi,0.3,220,0.52,0.23463039523706114,0.986700242896992,-0.0
K,0.3,220,0.52,0.20473484675375103,0.8496148485468743,-0.0
pi,0.3,220,0.54,0.23463039523706114,0.9887722282477124,-0.0
K,0.3,220,0.54,0.20473484675375103,0.8565425992362122,-0.0
pi,0.3,220,0.56,0.23463039523706114,0.9909670946043331,-0.0
K,0.3,220,0.56,0.20473484675375103,0.86870659007193,-0.0
pi,0.3,220,0.58,0.23463039523706114,0.9932967377714315,-0.0
K,0.3,220,0.58,0.20473484675375103,0.9077813883452237,-0.043840781711540606
pi,0.3,220,0.6,0.23463039523706114,0.9957775659299084,-0.0
K,0.3,220,0.6,0.20473484675375103,0.8709175239645941,-0.04639509599566563
pi,0.3,220,0.62,0.23463039523706114,0.9984338427137691,-0.0
K,0.3,220,0.62,0.20473484675375103,0.8625505450723144,-0.04877348332767363
pi,0.3,220,0.64,0.23463039523706114,1.0013054453444437,-0.0
K,0.3,220,0.64,0.20473484675375103,0.8573531242908181,-0.050962822562223356
pi,0.3,220,0.66,0.23463039523706114,1.0044708201730637,-0.0
K,0.3,220,0.66,0.20473484675375103,0.8533498265352548,-0.05295284977727397
pi,0.3,220,0.68,0.23463039523706114,1.0081590668168634,-0.0
K,0.3,220,0.68,0.20473484675375103,0.8499393710920886,-0.05473590732180583
pi,0.3,220,0.7,0.23463039523706114,1.0128445907649954,0.0016414086593876844
K,0.3,220,0.7,0.20473484675375103,0.846871420199309,-0.05630669862987429
pi,0.3,220,0.72,0.23463039523706114,1.015685091773927,0.003304817719097668
K,0.3,220,0.72,0.20473484675375103,0.8440255928189387,-0.057662053201099774
pi,0.3,220,0.74,0.23463039523706114,1.018595022534407,0.004616413509848721
K,0.3,220,0.74,0.20473484675375103,0.8413400554564656,-0.058800704397998636
pi,0.3,220,0.76,0.23463039523706114,1.0215735268130663,0.005847052985096299
K,0.3,220,0.76,0.20473484675375103,0.8387827529721386,-0.05972308147720229
pi,0.3,220,0.78,0.23463039523706114,1.0246197314076722,0.007064538962023136
K,0.3,220,0.78,0.20473484675375103,0.836338029850703,-0.0604311164216054
pi,0.3,220,0.8,0.23463039523706114,1.0277327441253223,0.008298049127200223
K,0.3,220,0.8,0.20473484675375103,0.8339997423348822,-0.0609280655702344
pi,0.3,220,0.82,0.23463039523706114,1.0309116538417598,0.009563379729851336
K,0.3,220,0.82,0.20473484675375103,0.8317674330279154,-0.06121834567329232
pi,0.3,220,0.84,0.23463039523706114,1.0341555307358374,0.01087035966275523
K,0.3,220,0.84,0.20473484675375103,0.8296440792401896,-0.061307383772354146
pi,0.3,220,0.86,0.23463039523706114,1.0374634265602574,0.012225729784678344
K,0.3,220,0.86,0.20473484675375103,0.8276347065639941,-0.0612014801764763
pi,0.3,220,0.88,0.23463039523706114,1.0408343749242157,0.013634464216955815
K,0.3,220,0.88,0.20473484675375103,0.8257455049799055,-0.06090768374260727
pi,0.3,220,0.9,0.23463039523706114,1.0442673915815894,0.01510044938115825
K,0.3,220,0.9,0.20473484675375103,0.8239832504155131,-0.06043367865045201
pi,0.3,220,0.92,0.23463039523706114,1.0477614747224517,0.016626863030428655
K,0.3,220,0.92,0.20473484675375103,0.822354919189446,-0.05978768187213404
pi,0.3,220,0.94,0.23463039523706114,1.051315605266928,0.018216399635757087
K,0.3,220,0.94,0.20473484675375103,0.8208674282525148,-0.05897835056462124
pi,0.3,220,0.96,0.23463039523706114,1.0549287471608235,0.019871411296617604
K,0.3,220,0.96,0.20473484675375103,0.8195274597458366,-0.05801469865057139
pi,0.3,220,0.98,0.23463039523706114,1.058599847672616,0.021593999501842195
K,0.3,220,0.98,0.20473484675375103,0.8183413433911756,-0.05690602189616658
pi,0.3,220,1.0,0.23463039523706114,1.062327837691482,0.02338607693982253
K,0.3,220,1.0,0.20473484675375103,0.8173149793163565,-0.05566183083954983
pi,0.3,220,1.02,0.23463039523706114,1.0661116320260529,0.025249410339450058
K,0.3,220,1.02,0.20473484675375103,0.816453789596055,-0.0542917909687995
pi,0.3,220,1.04,0.23463039523706114,1.0699501297036231,0.027185650897534476
K,0.3,220,1.04,0.20473484675375103,0.8157626904331899,-0.052805669592971394
pi,0.3,220,1.06,0.23463039523706114,1.073842214269539,0.02919635635150748
K,0.3,220,1.06,0.20473484675375103,0.815246079304408,-0.05121328889314504
pi,0.3,220,1.08,0.23463039523706114,1.0777867540864972,0.03128300729043057
K,0.3,220,1.08,0.20473484675375103,0.8149078330069593,-0.04952448468257199
pi,0.3,220,1.1,0.23463039523706114,1.0817826026335051,0.03344701940681975
K,0.3,220,1.1,0.20473484675375103,0.8147513136527055,-0.04774907044611653
pi,0.3,220,1.12,0.23463039523706114,1.0858285988042338,0.03568975283433753
K,0.3,220,1.12,0.20473484675375103,0.8147793804309444,-0.04589680626963539
pi,0.3,220,1.14,0.23463039523706114,1.089923567204524,0.03801251935808079
K,0.3,220,1.14,0.20473484675375103,0.8149944055145509,-0.04397737231027181
pi,0.3,220,1.16,0.23463039523706114,1.0940663184487902,0.040416588048401376
K,0.3,220,1.16,0.20473484675375103,0.815398292884211,-0.042000346499623746
pi,0.3,220,1.18,0.23463039523706114,1.0982556494550804,0.04290318971073918
K,0.3,220,1.18,0.20473484675375103,0.8159924991398769,-0.039975186214294293
pi,0.3,220,1.2,0.23463039523706114,1.1024903437385556,0.04547352043542618
K,0.3,220,1.2,0.20473484675375103,0.8167780555880191,-0.037911213693675304
pi,0.3,220,1.22,0.23463039523706114,1.1067691717031445,0.048128744455813714
K,0.3,220,1.22,0.20473484675375103,0.8177555910590768,-0.03581760503458353
pi,0.3,220,1.24,0.23463039523706114,1.1110908909311492,0.05086999646957026
K,0.3,220,1.24,0.20473484675375103,0.8189253550363259,-0.03370338264873755
pi,0.3,220,1.26,0.23463039523706114,1.1154542464705695,0.053698383539593345
K,0.3,220,1.26,0.20473484675375103,0.8202872407754809,-0.031577411135093006
pi,0.3,220,1.28,0.23463039523706114,1.1198579711199217,0.056614986663046395
K,0.3,220,1.28,0.20473484675375103,0.8218408081710579,-0.02944839659904488
pi,0.3,220,1.3,0.23463039523706114,1.1243007857103358,0.05962086207647234
K,0.3,220,1.3,0.20473484675375103,0.8235853061861427,-0.027324889550694117
pi,0.3,220,1.32,0.23463039523706114,1.1287813993847107,0.06271704234963095
K,0.3,220,1.32,0.20473484675375103,0.8255196947106083,-0.025215291643940582
pi,0.3,220,1.34,0.23463039523706114,1.133298509873722,0.06590453730919849
K,0.3,220,1.34,0.20473484675375103,0.8276426657519534,-0.023127866690926518
pi,0.3,220,1.36,0.23463039523706114,1.137850803768477,0.0691843348247258
K,0.3,220,1.36,0.20473484675375103,0.8299526638949871,-0.0210707566235481
pi,0.3,220,1.38,0.23463039523706114,1.1424369567896044,0.07255740148255843
K,0.3,220,1.38,0.20473484675375103,0.8324479059933692,-0.019052003408807295
pi,0.3,220,1.4,0.23463039523706114,1.147055634052606,0.07602468316824372
K,0.3,220,1.4,0.20473484675375103,0.8351264000789522,-0.0170795784116694
pi,0.3,220,1.42,0.23463039523706114,1.1517054903292498,0.07958710557392341
K,0.3,220,1.42,0.20473484675375103,0.837985963495267,-0.015161421427577745
pi,0.3,220,1.44,0.23463039523706114,1.1563851703048451,0.08324557464404872
K,0.3,220,1.44,0.20473484675375103,0.8410242402805408,-0.013305492731022018
pi,0.3,220,1.46,0.23463039523706114,1.1610933088311968,0.08700097697025823
K,0.3,220,1.46,0.20473484675375103,0.8442387178446065,-0.011519843281552498
pi,0.3,220,1.48,0.23463039523706114,1.1658285311750793,0.09085418014426962
K,0.3,220,1.48,0.20473484675375103,0.8476267430043831,-0.009812711206546601
pi,0.3,220,1.5,0.23463039523706114,1.1705894532620464,0.09480603307605327
K,0.3,220,1.5,0.20473484675375103,0.8511855374661255,-0.00819265784466162
pi,0.3,220,1.52,0.23463039523706114,1.1753746819154174,0.09885736628327291
K,0.3,220,1.52,0.20473484675375103,0.8549122128717537,-0.0066687660753838585
pi,0.3,220,1.54,0.23463039523706114,1.1801828150902747,0.10300899215694427
K,0.3,220,1.54,0.20473484675375103,0.858803785564809,-0.00525094206328209
pi,0.3,220,1.56,0.23463039523706114,1.1850124421023196,0.10726170520742248
K,0.3,220,1.56,0.20473484675375103,0.8628571912840672,-0.003950400420441989
pi,0.3,220,1.58,0.23463039523706114,1.1898621438514339,0.11161628229413849
K,0.3,220,1.58,0.20473484675375103,0.8670693000675074,-0.0027805039677124602
pi,0.3,220,1.6,0.23463039523706114,1.194730493039796,0.11607348284194316
K,0.3,220,1.6,0.20473484675375103,0.8714369317586452,-0.0017583760926955369
pi,0.3,220,1.62,0.23463039523706114,1.1996160543844172,0.12063404904644535
K,0.3,220,1.62,0.20473484675375103,0.8759568726713742,-0.000908530708201532
pi,0.3,220,1.64,0.23463039523706114,1.2045173848239568,0.12529870607035
K,0.3,220,1.64,0.20473484675375103,0.8806258942221509,-0.00027379075337041086
pi,0.3,220,1.66,0.23463039523706114,1.2094330337196857,0.13006816223247658
K,0.3,220,1.66,0.20473484675375103,0.8854129839493474,-0.0
pi,0.3,220,1.68,0.23463039523706114,1.2143615430504682,0.13494310919087085
K,0.3,220,1.68,0.20473484675375103,0.889931691096321,-0.0
pi,0.3,220,1.7,0.23463039523706114,1.2193014476016424,0.13992422212119973
K,0.3,220,1.7,0.20473484675375103,0.8943302461960801,-0.0
pi,0.3,220,1.72,0.23463039523706114,1.2242512751476806,0.14501215989142446
K,0.3,220,1.72,0.20473484675375103,0.8986895559272011,-0.0
pi,0.3,220,1.74,0.23463039523706114,1.2292095466285102,0.15020756523359557
K,0.3,220,1.74,0.20473484675375103,0.9030446606537178,-0.0
pi,0.3,220,1.76,0.23463039523706114,1.2341747763193929,0.15551106491347033
K,0.3,220,1.76,0.20473484675375103,0.9074172239584619,-0.0
pi,0.3,220,1.78,0.23463039523706114,1.2391454719942525,0.16092326989854316
K,0.3,220,1.78,0.20473484675375103,0.9118227866499132,-0.0
pi,0.3,220,1.8,0.23463039523706114,1.244120135082349,0.16644477552498135
K,0.3,220,1.8,0.20473484675375103,0.9162735499628419,-0.0
pi,0.3,220,1.82,0.23463039523706114,1.249097260818194,0.17207616166387332
K,0.3,220,1.82,0.20473484675375103,0.9207797225735671,-0.0
pi,0.3,220,1.84,0.23463039523706114,1.2540753383846464,0.1778179928871288
K,0.3,220,1.84,0.20473484675375103,0.9253502721274409,-0.0
pi,0.3,220,1.86,0.23463039523706114,1.2590528510490353,0.1836708186333059
K,0.3,220,1.86,0.20473484675375103,0.9299933900788474,-0.0
pi,0.3,220,1.88,0.23463039523706114,1.2640282762922894,0.18963517337359065
K,0.3,220,1.88,0.20473484675375103,0.934716804679204,-0.0
pi,0.3,220,1.9,0.23463039523706114,1.2690000859309483,0.195711576778109
K,0.3,220,1.9,0.20473484675375103,0.939528008681781,-0.0
pi,0.3,220,1.92,0.23463039523706114,1.2739667462319824,0.20190053388271179
K,0.3,220,1.92,0.20473484675375103,0.9444344380419154,-0.0
pi,0.3,220,1.94,0.23463039523706114,1.2789267180203545,0.20820253525634128
K,0.3,220,1.94,0.20473484675375103,0.9494436232795493,-0.0
pi,0.3,220,1.96,0.23463039523706114,1.2838784567792327,0.21461805716905794
K,0.3,220,1.96,0.20473484675375103,0.9545633277879155,-0.0
pi,0.3,220,1.98,0.23463039523706114,1.2888204127427927,0.22114756176078434
K,0.3,220,1.98,0.20473484675375103,0.9598016836838815,-0.0
pi,0.3,220,2.0,0.23463039523706114,1.2937510309815319,0.22779149721079842
K,0.3,220,2.0,0.20473484675375103,0.9651673342397893,-0.0
pi,0.3,220,2.02,0.23463039523706114,1.2986687514800317,0.23455029790799198
K,0.3,220,2.02,0.20473484675375103,0.9706695918424881,-0.0
pi,0.3,220,2.04,0.23463039523706114,1.303572009207098,0.24142438462189503
K,0.3,220,2.04,0.20473484675375103,0.9763186215965957,-0.0
pi,0.3,220,2.06,0.23463039523706114,1.3084592341782166,0.24841416467445254
K,0.3,220,2.06,0.20473484675375103,0.9821256632648449,-0.0
pi,0.3,220,2.08,0.23463039523706114,1.313328851510258,0.25552003211252877
K,0.3,220,2.08,0.20473484675375103,0.9881033087040061,-0.0
pi,0.3,220,2.1,0.23463039523706114,1.3181792814683675,0.26274236788110383
K,0.3,220,2.1,0.20473484675375103,0.9942658592901438,-0.0
pi,0.3,220,2.12,0.23463039523706114,1.3230089395049969,0.2700815399971209
K,0.3,220,2.12,0.20473484675375103,1.000629799858384,-0.0
pi,0.3,220,2.14,0.23463039523706114,1.3278162362909796,0.2775379037239337
K,0.3,220,2.14,0.20473484675375103,1.0072144458315047,-0.0
pi,0.3,220,2.16,0.23463039523706114,1.3325995777386306,0.2851118017462978
K,0.3,220,2.16,0.20473484675375103,1.0140428551068992,-0.0
pi,0.3,220,2.18,0.23463039523706114,1.337357365016785,0.2928035643458462
K,0.3,220,2.18,0.20473484675375103,1.02114315939181,-0.0
pi,0.3,220,2.2,0.23463039523706114,1.3420879945577244,0.30061350957698457
K,0.3,220,2.2,0.20473484675375103,1.0285505901443752,-0.0
pi,0.3,220,2.22,0.23463039523706114,1.3467898580559319,0.3085419434431373
K,0.3,220,2.22,0.20473484675375103,1.0363107198480341,-0.0
pi,0.3,220,2.24,0.23463039523706114,1.3514613424586102,0.3165891600732756
K,0.3,220,2.24,0.20473484675375103,1.0444849827521805,-0.0
pi,0.3,220,2.26,0.23463039523706114,1.3561008299479076,0.32475544189865335
K,0.3,220,2.26,0.20473484675375103,1.053160874928479,-0.0
pi,0.3,220,2.28,0.23463039523706114,1.3607066979147875,0.33304105982967996
K,0.3,220,2.28,0.20473484675375103,1.0624730109224778,-0.0
pi,0.3,220,2.3,0.23463039523706114,1.3652773189244725,0.34144627343285094
K,0.3,220,2.3,0.20473484675375103,1.072654255439839,-0.0
pi,0.3,220,2.32,0.23463039523706114,1.36981106067341,0.3499713311076686
K,0.3,220,2.32,0.20473484675375103,1.0841981297174181,-0.0
pi,0.3,220,2.34,0.23463039523706114,1.3743062859376785,0.35861647026346827
K,0.3,220,2.34,0.20473484675375103,1.0988084722643667,-0.0
pi,0.3,220,2.36,0.23463039523706114,1.378761352512779,0.3673819174960821
K,0.3,220,2.36,0.20473484675375103,1.1159275095236547,0.011462751911577198
pi,0.3,220,2.38,0.23463039523706114,1.3831746131447282,0.3762678887642636
K,0.3,220,2.38,0.20473484675375103,1.1235679423429121,0.01990266309393292
pi,0.3,220,2.4,0.23463039523706114,1.387544415452386,0.3852745895657982
K,0.3,220,2.4,0.20473484675375103,1.1312253088076345,0.02660865275341667
pi,0.3,220,2.42,0.23463039523706114,1.3918691018409313,0.3944022151132261
K,0.3,220,2.42,0.20473484675375103,1.138896823887738,0.032731453518497655
pi,0.3,220,2.44,0.23463039523706114,1.3961470094064412,0.4036509505091087
K,0.3,220,2.44,0.20473484675375103,1.1465797138031355,0.038607125660279566
pi,0.3,220,2.46,0.23463039523706114,1.400376469831417,0.41302097092076423
K,0.3,220,2.46,0.20473484675375103,1.1542712186701447,0.044385673373501675
pi,0.3,220,2.48,0.23463039523706114,1.4045558092712465,0.4225124417544068
K,0.3,220,2.48,0.20473484675375103,1.1619685952731076,0.05014810005398916
pi,0.3,220,2.5,0.23463039523706114,1.4086833482314627,0.43212551882861655
K,0.3,220,2.5,0.20473484675375103,1.1696691191770596,0.055943366514127596
pi,0.3,220,2.52,0.23463039523706114,1.4127574014357138,0.44186034854708184
K,0.3,220,2.52,0.20473484675375103,1.1773700862785224,0.06180338197552182
pi,0.3,220,2.54,0.23463039523706114,1.4167762776843493,0.45171706807054124
K,0.3,220,2.54,0.20473484675375103,1.1850688139169059,0.06775009852961934
pi,0.3,220,2.56,0.23463039523706114,1.4207382797035013,0.4616958054878694
K,0.3,220,2.56,0.20473484675375103,1.1927626416447907,0.07379924521062071
pi,0.3,220,2.58,0.23463039523706114,1.4246417039845571,0.4717966799862435
K,0.3,220,2.58,0.20473484675375103,1.200448931731917,0.07996245364024414
pi,0.3,220,2.6,0.23463039523706114,1.4284848406138984,0.4820198020203308
K,0.3,220,2.6,0.20473484675375103,1.208125069459581,0.08624854350172374
pi,0.3,220,2.62,0.23463039523706114,1.4322659730927858,0.49236527348044296
K,0.3,220,2.62,0.20473484675375103,1.2157884632486358,0.0926643383349071
pi,0.3,220,2.64,0.23463039523706114,1.4359833781472453,0.5028331878596021
K,0.3,220,2.64,0.20473484675375103,1.2234365446542768,0.09921520409557634
pi,0.3,220,2.66,0.23463039523706114,1.4396353255278278,0.5134236304194659
K,0.3,220,2.66,0.20473484675375103,1.2310667682533438,0.10590541660047446
pi,0.3,220,2.68,0.23463039523706114,1.4432200777990838,0.5241366783550597
K,0.3,220,2.68,0.20473484675375103,1.2386766114442587,0.11273841933654448
pi,0.3,220,2.7,0.23463039523706114,1.4467358901185994,0.5349724009582707
K,0.3,220,2.7,0.20473484675375103,1.2462635741754746,0.11971700875672316
pi,0.3,220,2.72,0.23463039523706114,1.4501810100054293,0.5459308597800568
K,0.3,220,2.72,0.20473484675375103,1.2538251786150747,0.1268434702838269
pi,0.3,220,2.74,0.23463039523706114,1.4535536770977489,0.5570121087913247
K,0.3,220,2.74,0.20473484675375103,1.2613589687716473,0.13411967999863175
pi,0.3,220,2.76,0.23463039523706114,1.4568521228995368,0.5682161945424363
K,0.3,220,2.76,0.20473484675375103,1.2688625100746171,0.14154718193130736
pi,0.3,220,2.78,0.23463039523706114,1.4600745705161124,0.5795431563213063
K,0.3,220,2.78,0.20473484675375103,1.2763333889207014,0.14912724768198485
pi,0.3,220,2.8,0.23463039523706114,1.4632192343782835,0.5909930263100467
K,0.3,220,2.8,0.20473484675375103,1.2837692121919277,0.15686092302702087
pi,0.3,220,2.82,0.23463039523706114,1.4662843199549278,0.6025658297401302
K,0.3,220,2.82,0.20473484675375103,1.2911676067497089,0.16474906479556334
pi,0.3,220,2.84,0.23463039523706114,1.4692680234537534,0.6142615850460336
K,0.3,220,2.84,0.20473484675375103,1.2985262189086848,0.1727923703725249
pi,0.3,220,2.86,0.23463039523706114,1.4721685315100046,0.6260803040173301
K,0.3,220,2.86,0.20473484675375103,1.305842713893426,0.1809914015439018
pi,0.3,220,2.88,0.23463039523706114,1.4749840208628535,0.6380219919492063
K,0.3,220,2.88,0.20473484675375103,1.313114775280576,0.18934660395156766
pi,0.3,220,2.9,0.23463039523706114,1.4777126580192113,0.6500866477913652
K,0.3,220,2.9,0.20473484675375103,1.320340104428587,0.1978583231051328
pi,0.3,220,2.92,0.23463039523706114,1.4803525989046713,0.6622742642953013
K,0.3,220,2.92,0.20473484675375103,1.3275164198968785,0.20652681766780415
pi,0.3,220,2.94,0.23463039523706114,1.4829019885012908,0.6745848281599177
K,0.3,220,2.94,0.20473484675375103,1.3346414568559333,0.21535227056447784
pi,0.3,220,2.96,0.23463039523706114,1.4853589604718818,0.6870183201754616
K,0.3,220,2.96,0.20473484675375103,1.3417129664896243,0.224334798335484
pi,0.3,220,2.98,0.23463039523706114,1.4877216367704955,0.6995747153657614
K,0.3,220,2.98,0.20473484675375103,1.3487287153908518,0.23347445906602118
pi,0.3,220,3.0,0.23463039523706114,1.489988127238734,0.7122539831287479
K,0.3,220,3.0,0.20473484675375103,1.3556864849514023,0.24277125915073927
pi,0.3,220,3.02,0.23463039523706114,1.4921565291875278,0.7250560873752385
K,0.3,220,3.02,0.20473484675375103,1.3625840707467842,0.2522251590990867
pi,0.3,220,3.04,0.23463039523706114,1.4942249269639893,0.7379809866659715
K,0.3,220,3.04,0.20473484675375103,1.3694192819167044,0.2618360785455993
pi,0.3,220,3.06,0.23463039523706114,1.4961913915029246,0.7510286343468764
K,0.3,220,3.06,0.20473484675375103,1.3761899405416538,0.2716039005971393
pi,0.3,220,3.08,0.23463039523706114,1.498053979862582,0.7641989786825721
K,0.3,220,3.08,0.20473484675375103,1.3828938810160964,0.28152847562393996
pi,0.3,220,3.1,0.23463039523706114,1.4998107347441754,0.777491962988076
K,0.3,220,3.1,0.20473484675375103,1.3895289494185603,0.2916096245814968
pi,0.3,220,3.12,0.23463039523706114,1.5014596839948506,0.7909075257587181
K,0.3,220,3.12,0.20473484675375103,1.3960930028789271,0.30184714193461715
pi,0.3,220,3.14,0.23463039523706114,1.5029988400925633,0.8044456007982578
K,0.3,220,3.14,0.20473484675375103,1.402583908943115,0.31224079824240736
pi,0.3,220,3.16,0.23463039523706114,1.5044261996154245,0.818106117345187
K,0.3,220,3.16,0.20473484675375103,1.4089995449353043,0.32279034245286803
pi,0.3,220,3.18,0.23463039523706114,1.505739742689806,0.831889000197224
K,0.3,220,3.18,0.20473484675375103,1.4153377973178054,0.33349550394764993
pi,0.3,220,3.2,0.23463039523706114,1.5069374324217673,0.8457941698339922
K,0.3,220,3.2,0.20473484675375103,1.4215965610486097,0.3443559943708868
pi,0.3,220,3.22,0.23463039523706114,1.5080172143080932,0.8598215425378755
K,0.3,220,3.22,0.20473484675375103,1.4277737389366305,0.3553715092706215
pi,0.3,220,3.24,0.23463039523706114,1.508977015627322,0.8739710305130649
K,0.3,220,3.24,0.20473484675375103,1.4338672409946,0.3665417295769099
pi,0.3,220,3.26,0.23463039523706114,1.509814744809927,0.8882425420027744
K,0.3,220,3.26,0.20473484675375103,1.4398749837895455,0.3778663229370194
pi,0.3,220,3.28,0.23463039523706114,1.510528290786933,0.9026359814046526
K,0.3,220,3.28,0.20473484675375103,1.4457948897907407,0.38934494492512317
pi,0.3,220,3.3,0.23463039523706114,1.5111155223162034,0.9171512493843684
K,0.3,220,3.3,0.20473484675375103,1.451624886715003,0.40097724014134545
pi,0.3,220,3.32,0.23463039523706114,1.5115742872855955,0.9317882429873975
K,0.3,220,3.32,0.20473484675375103,1.4573629068691436,0.4127628432129313
pi,0.3,220,3.34,0.23463039523706114,1.511902411992147,0.9465468557489919
K,0.3,220,3.34,0.20473484675375103,1.4630068864894157,0.4247013797085295
pi,0.3,220,3.36,0.23463039523706114,1.5120977003963971,0.9614269778023616
K,0.3,220,3.36,0.20473484675375103,1.4685547650776938,0.43679246697509394
pi,0.3,220,3.38,0.23463039523706114,1.5121579333509128,0.9764284959850498
K,0.3,220,3.38,0.20473484675375103,1.4740044847341758,0.4490357149056497
pi,0.3,220,3.4,0.23463039523706114,1.512080867802031,0.9915512939435331
K,0.3,220,3.4,0.20473484675375103,1.4793539894863053,0.461430726645099
pi,0.3,220,3.42,0.23463039523706114,1.5118642359637813,1.0067952522360382
K,0.3,220,3.42,0.20473484675375103,1.4846012246136362,0.47397709924034215
pi,0.3,220,3.44,0.23463039523706114,1.5115057444628908,1.0221602484335897
K,0.3,220,3.44,0.20473484675375103,1.4897441359683126,0.4866744242401993
pi,0.3,220,3.46,0.23463039523706114,1.5110030734537259,1.037646157219305
K,0.3,220,3.46,0.20473484675375103,1.494780669290823,0.49952228824996253
pi,0.3,220,3.48,0.23463039523706114,1.5103538757019486,1.053252850485934
K,0.3,220,3.48,0.20473484675375103,1.4997087695206628,0.512520273444834
pi,0.3,220,3.5,0.23463039523706114,1.509555775635608,1.0689801974316657
K,0.3,220,3.5,0.20473484675375103,1.5045263801015172,0.5256679580460084
pi,-0.3,220,0.3,0.22951204740155778,0.8635255795029269,0.0005546564862250843
K,-0.3,220,0.3,0.19920904282375781,0.7682816711919807,-0.0
pi,-0.3,220,0.32,0.22951204740155778,0.8647063045282127,0.0007212294530105913
K,-0.3,220,0.32,0.19920904282375781,0.770811026701669,-0.0
pi,-0.3,220,0.34,0.22951204740155778,0.8659614152965601,0.0009094236197840965
K,-0.3,220,0.34,0.19920904282375781,0.7737377946618633,-0.0
pi,-0.3,220,0.36,0.22951204740155778,0.8672905779407086,0.0011211472833469998
K,-0.3,220,0.36,0.19920904282375781,0.7771645216880352,-0.0
pi,-0.3,220,0.38,0.22951204740155778,0.8686934388819295,0.001358097633266938
K,-0.3,220,0.38,0.19920904282375781,0.7812450236100288,-0.0
pi,-0.3,220,0.4,0.22951204740155778,0.8701696249236827,0.0016218606252818403
K,-0.3,220,0.4,0.19920904282375781,0.7862252553648874,-0.0
pi,-0.3,220,0.42,0.22951204740155778,0.8717187433485617,0.0019139569867713095
K,-0.3,220,0.42,0.19920904282375781,0.7925358817499251,-0.0
pi,-0.3,220,0.44,0.22951204740155778,0.8733403820193337,0.0022358656832078
K,-0.3,220,0.44,0.19920904282375781,0.801044959033976,-0.0
pi,-0.3,220,0.46,0.22951204740155778,0.87503410948428,0.0025890368145701356
K,-0.3,220,0.46,0.19920904282375781,0.8140366746283122,-0.0
pi,-0.3,220,0.48,0.22951204740155778,0.8767994750868675,0.0029748991110566557
K,-0.3,220,0.48,0.19920904282375781,0.8471236514937706,-0.0
pi,-0.3,220,0.5,0.22951204740155778,0.8786360090797021,0.0033948644778105633
K,-0.3,220,0.5,0.19920904282375781,0.8434860033417347,-0.07425059087559072
pi,-0.3,220,0.52,0.22951204740155778,0.8805432227426916,0.0038503308376170147
K,-0.3,220,0.52,0.19920904282375781,0.8196549444498784,-0.07801212183569611
