channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
K,-0.3,265,1.265504995853235,6.885710457592403e-11,1.3701661180058198,0.0015317955673567725,-0.10466112215258483,-0.001531795498499668,3.0388733265427,2.1181026886570065,0.8006871174399605,0.8006871174399605
K,-0.3,270,1.2659878664111517,1.352936234665234e-10,1.3774477130668956,0.001776266988501179,-0.11145984665574393,-0.0017762668532075555,3.0865879012217814,2.2821530721848533,0.8083833870046052,0.8083833870046052
K,-0.3,275,1.266420263581912,2.1369565408579482e-10,1.3847856910727367,0.0020424980496740377,-0.11836542749082479,-0.0020424978359783836,3.1374481445939955,2.4492920129571174,0.815630243875145,0.815630243875145
K,-0.3,280,1.2668106981520941,2.9861377394229524e-10,1.3921733033515737,0.002325806998092344,-0.12536260519947962,-0.0023258066994785703,3.1909585626752084,2.6190824997572144,0.8224642066813025,0.8224642066813025
K,-0.3,285,1.267165866333647,3.8491861456309083e-10,1.399606499187212,0.0026213629732883656,-0.132440632853565,-0.002621362588369751,3.246625788789585,2.7912019389400458,0.828918217739615,0.828918217739615
K,-0.3,290,1.2674910910991644,4.686275889658607e-10,1.4070837171856683,0.0029245537193254238,-0.1395926260865039,-0.0029245532506978348,3.303984157197596,2.965422569397052,0.8350219335856632,0.8350219335856632
K,-0.3,295,1.2677906468803577,5.470244900816723e-10,1.4146054278091418,0.0032312193461729332,-0.14681478092878408,-0.0032312187991484433,3.362609878459739,3.1415893459937814,0.8408020306766265,0.8408020306766265
K,-0.3,300,1.2680680007246807,6.185847754874797e-10,1.4221736087553036,0.0035377698520520115,-0.1541056080306229,-0.003537769233467236,3.422126925966155,3.319599378862258,0.8462825126047598,0.8462825126047598
pi,0.0,100,1.004377851317891,-1.2140148059513297e-11,1.004377851317891,-1.2140148059513297e-11,0.0,0.0,0.6839752521754585,5.525771202471985e-10,0.0037916169047458623,0.0037916169047458575
pi,0.0,105,1.0043820808328252,-1.2141143434055269e-11,1.0043820808328252,-1.2141143434055269e-11,0.0,0.0,0.6839752521754585,5.525771202471985e-10,0.005168151319857163,0.005168151319857163
pi,0.0,110,1.0043892527842204,-0.0,1.0043892527842204,-0.0,0.0,0.0,0.6839754809217842,0.0,0.0069231246922431995,0.0069231246922431995
pi,0.0,115,1.004400944365259,-0.0,1.004400944365259,-0.0,0.0,0.0,0.6839741755114316,0.0,0.009140265820083279,0.009140265820083279
pi,0.0,120,1.0044195910581364,-0.0,1.0044195910581364,-0.0,0.0,0.0,0.6839712790237791,0.0,0.0119241611615366,0.0119241611615366
pi,0.0,125,1.0044486859684425,-0.0,1.0044486859684425,-0.0,0.0,0.0,0.6839652171787277,0.0,0.015408939618933087,0.015408939618933087
pi,0.0,130,1.004493344236822,-0.0,1.004493344236822,-0.0,0.0,0.0,0.683953856462269,0.0,0.0197721392383802,0.019772139238380206
pi,0.0,135,1.0045611109855805,-0.0,1.0045611109855805,-0.0,0.0,0.0,0.6839339601055799,0.0,0.025257850425636424,0.025257850425636424
pi,0.0,140,1.0046633506187779,-0.0,1.0046633506187779,-0.0,0.0,0.0,0.6839006508656794,0.0,0.032217596187105665,0.032217596187105665
pi,0.0,145,1.0048178034926272,-0.0,1.0048178034926272,-0.0,0.0,0.0,0.6838465224578046,0.0,0.041188034827790286,0.041188034827790286
pi,0.0,150,1.0050537955480614,-0.0,1.0050537955480614,-0.0,0.0,0.0,0.6837600204522529,0.0,0.053053685746513486,0.053053685746513486
pi,0.0,155,1.00542443057839,-0.0,1.00542443057839,-0.0,0.0,0.0,0.6836220923838336,0.0,0.06943627124521826,0.06943627124521824
pi,0.0,160,1.0060414811340879,-0.0,1.0060414811340879,-0.0,0.0,0.0,0.683398009747381,0.0,0.0938250234348868,0.0938250234348868
