# script=scripts/analysis/relaxtime/meson_mixed/run_globalmin_window_experiment.jl
# window.xi=-0.3
# window.T_MeV=[220,280]
# merged_from=mixed_window_globalmin_xi-0p3_muB0,mixed_window_globalmin_xi-0p3_muB0_next2
# merged_at_utc=2026-04-17T13:43:22Z
lib,T_MeV,muB_MeV,xi,global_seed_mass,global_seed_gamma,global_obj,M_eta,M_eta_prime,Gamma_eta,Gamma_eta_prime,residual_eta,residual_eta_prime,selected_method_eta,selected_method_eta_prime,status,error_message
evolutionary,220.0,0.0,-0.3,2.967574227367237,2.201411862679057,0.01605078607135363,3.186262862437107,3.0787367786314905,0.004705518855510104,0.4422862144839401,5.9136098795598e-12,0.016050786071251724,trust_region,trust_region,ok,
evolutionary,222.0,0.0,-0.3,2.9332817949038934,2.5205922180408384,0.01735238908959788,3.1709718221866856,3.054590794017602,0.004000688395821475,0.4710352103423856,1.4262744353621404e-9,0.017352389088452158,trust_region,trust_region,ok,
evolutionary,224.0,0.0,-0.3,3.0129600228829636,2.9941438371416784,0.019688480113277465,3.155060004150907,3.043121226632459,0.003417100436321785,0.5206244037263916,9.17333223271477e-12,0.019688480129225958,trust_region,trust_region,ok,
evolutionary,226.0,0.0,-0.3,2.9177742985019814,2.3479587784215763,0.020609675385303353,3.1384468084944928,3.0106024253899863,0.0029299654696886826,0.5406054097296652,1.5716594692349872e-14,0.02060967538646412,current,trust_region,ok,
evolutionary,228.0,0.0,-0.3,2.9130615799744364,2.686072810168505,0.022382828208588897,3.1210398580687757,2.667390701808474,0.0025204168628069146,2.6869733930362854,3.5915714846623814e-14,0.08126065354566825,trust_region,newton,ok,
evolutionary,230.0,0.0,-0.3,2.9213390576170783,2.3080194989157676,0.024284112636742725,3.1027296137331613,2.1181521079868575,0.002173865549799909,2.354440117834009,7.91033905045424e-16,0.11007250728417135,current,newton,ok,
evolutionary,232.0,0.0,-0.3,2.930594155620608,2.691329506245447,0.026489989530143053,3.0833826579587202,2.9397897257758276,0.0018789001112750829,0.6536386595096472,3.653674585102351e-14,0.026489989531088765,trust_region,trust_region,ok,
evolutionary,234.0,0.0,-0.3,2.8963586809391035,2.4886218124927315,0.02848603227727717,3.0628328274540375,2.9169906815320448,0.0016264940708838073,0.697442785354568,2.0393409183583344e-13,0.02848474020871201,trust_region,trust_region,ok,
evolutionary,236.0,0.0,-0.3,2.8915844401670876,2.59368206554533,0.030800788606839227,3.0408688384219693,2.4328408063421825,0.0014094313461942647,2.774289229891425,2.0328461136642773e-12,0.10281715565962307,current,newton,ok,
evolutionary,238.0,0.0,-0.3,2.8909679580703544,2.7127187205351455,0.03327402893554421,3.017216130647573,2.7321826952690937,0.0012218832265029347,2.8044375586217143,1.0442133963062261e-10,0.10454457172034429,current,newton,ok,
evolutionary,240.0,0.0,-0.3,2.809153194414436,2.171061961823742,0.03867936078592434,2.9915088240632093,2.806873076649674,0.0010590903940025376,2.7919549157334247,3.0899172109855044e-12,0.11607706941911503,current,newton,ok,
evolutionary,242.0,0.0,-0.3,3.3,2.783036529331549,0.040118127659119686,2.963243860916947,2.408576324822424,0.0009171188991211236,2.6788862482861626,5.775116496131716e-12,0.10886081740715786,current,newton,ok,
evolutionary,244.0,0.0,-0.3,3.3,2.5443325356374036,0.04171295074454962,2.9317006981160385,2.3150193948557933,0.000792663255835427,1.8520591415455727,8.800807305142655e-13,0.10652073599368127,current,newton,ok,
evolutionary,246.0,0.0,-0.3,3.3,2.0813211628199215,0.0449027312837462,2.8957872895638386,2.915948223696984,0.0006828723759637182,2.929495301558763,2.402716914318148e-12,0.17703236067001507,current,newton,ok,
evolutionary,248.0,0.0,-0.3,3.3,2.234987321383972,0.03803408830734448,2.8537094245672643,3.0383220634314463,0.0005851593048026328,2.4722464006587765,1.0057232824323137e-13,0.038034088307848546,trust_region,trust_region,ok,
evolutionary,250.0,0.0,-0.3,3.3,2.181176018265034,0.030864320908615836,2.827126767889234,2.971874399051961,0.31340301304831725,2.4167329622869267,3.1363800445660672e-15,0.030992995734952955,current,trust_region,ok,
evolutionary,252.0,0.0,-0.3,3.3,2.1049490173941794,0.024017615258930897,2.8460400013621436,2.862723923317583,0.6271680842631157,2.2503278075523783,2.040034807748725e-15,0.025667845509187104,current,trust_region,ok,
evolutionary,254.0,0.0,-0.3,3.126977420283473,2.2399125886073663,0.017491875081334186,2.865539889298591,2.8349688739607015,0.8335515137655121,2.2948164026067523,1.2490009027033011e-15,0.018736174097680157,current,trust_region,ok,
evolutionary,256.0,0.0,-0.3,3.124963401554584,2.154230574460795,0.011282401795369726,2.8855974250601175,2.7973372006913872,1.0014022934142806,2.3097474842659698,1.4830636718698997e-12,0.012768828238196191,current,trust_region,ok,
evolutionary,258.0,0.0,-0.3,3.3,2.790720878393133,0.005384585833464121,2.906185695875267,2.868544891218345,1.1478157242191158,2.5598867263242,6.702971511174383e-15,0.0053845858312509196,trust_region,trust_region,ok,
evolutionary,260.0,0.0,-0.3,3.3,3.0,3.676665092169906e-16,2.927276929912708,2.8776611669400545,1.2802258284738632,2.65475115303344,3.29250515740398e-15,2.7755575615628914e-16,trust_region,newton,ok,
