method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,0.0,5.0,1.2625,357.074851,0,coarse_grid
independent_oracle,0.0,5.0,1.265625,356.994952,1,fine_grid
independent_oracle,0.0,5.0,1.26875,356.915144,0,coarse_grid
independent_oracle,0.0,5.0,1.271875,356.83543,1,fine_grid
independent_oracle,0.0,5.0,1.275,356.755812,0,coarse_grid
independent_oracle,0.0,5.0,1.278125,356.67629,1,fine_grid
independent_oracle,0.0,5.0,1.28125,356.596868,0,coarse_grid
independent_oracle,0.0,5.0,1.284375,356.517547,1,fine_grid
independent_oracle,0.0,5.0,1.2875,356.438329,0,coarse_grid
independent_oracle,0.0,5.0,1.290625,356.359215,1,fine_grid
independent_oracle,0.0,5.0,1.29375,356.280208,0,coarse_grid
independent_oracle,0.0,5.0,1.296875,356.201309,1,fine_grid
independent_oracle,0.0,5.0,1.3,356.12252,0,coarse_grid
independent_oracle,0.0,5.0,1.303125,356.043844,1,fine_grid
independent_oracle,0.0,5.0,1.30625,355.965282,0,coarse_grid
independent_oracle,0.0,5.0,1.309375,355.886837,1,fine_grid
independent_oracle,0.0,5.0,1.3125,355.808509,0,coarse_grid
independent_oracle,0.0,5.0,1.315625,355.730301,1,fine_grid
independent_oracle,0.0,5.0,1.31875,355.652216,0,coarse_grid
independent_oracle,0.0,5.0,1.321875,355.574255,1,fine_grid
independent_oracle,0.0,5.0,1.325,355.49642,0,coarse_grid
independent_oracle,0.0,5.0,1.328125,355.418713,1,fine_grid
independent_oracle,0.0,5.0,1.33125,355.341136,0,coarse_grid
independent_oracle,0.0,5.0,1.334375,355.263691,1,fine_grid
independent_oracle,0.0,5.0,1.3375,355.186381,0,coarse_grid
independent_oracle,0.0,5.0,1.340625,355.109208,1,fine_grid
independent_oracle,0.0,5.0,1.34375,355.032172,0,coarse_grid
independent_oracle,0.0,5.0,1.346875,354.955278,1,fine_grid
independent_oracle,0.0,5.0,1.35,354.878527,0,coarse_grid
independent_oracle,0.0,5.0,1.353125,354.80192,1,fine_grid
independent_oracle,0.0,5.0,1.35625,354.725461,0,coarse_grid
independent_oracle,0.0,5.0,1.359375,354.649151,1,fine_grid
independent_oracle,0.0,5.0,1.3625,354.572993,0,coarse_grid
independent_oracle,0.0,5.0,1.365625,354.496988,1,fine_grid
independent_oracle,0.0,5.0,1.36875,354.42114,0,coarse_grid
independent_oracle,0.0,5.0,1.371875,354.34545,1,fine_grid
independent_oracle,0.0,5.0,1.375,354.26992,0,coarse_grid
independent_oracle,0.0,5.0,1.378125,354.194554,1,fine_grid
independent_oracle,0.0,5.0,1.38125,354.119352,0,coarse_grid
independent_oracle,0.0,5.0,1.384375,354.044319,1,fine_grid
independent_oracle,0.0,5.0,1.3875,353.969455,0,coarse_grid
independent_oracle,0.0,5.0,1.390625,353.894763,1,fine_grid
independent_oracle,0.0,5.0,1.39375,353.820246,0,coarse_grid
independent_oracle,0.0,5.0,1.396875,353.745906,1,fine_grid
independent_oracle,0.0,5.0,1.4,353.671746,0,coarse_grid
independent_oracle,0.0,5.0,1.403125,353.597768,1,fine_grid
independent_oracle,0.0,5.0,1.40625,353.523974,0,coarse_grid
independent_oracle,0.0,5.0,1.409375,353.450367,1,fine_grid
independent_oracle,0.0,5.0,1.4125,353.376949,0,coarse_grid
independent_oracle,0.0,5.0,1.415625,353.303724,1,fine_grid
independent_oracle,0.0,5.0,1.41875,353.230693,0,coarse_grid
independent_oracle,0.0,5.0,1.421875,353.157859,1,fine_grid
independent_oracle,0.0,5.0,1.425,353.085224,0,coarse_grid
