sqrt_s_NN_GeV,background_p,channel,q_inv_fm,route,bound,unitary,landau,shell_inv_fm2,gap_count,contour_count,contour_passed,static_passed,root_nodes_stable,levinson_residual,threshold_phase_over_pi,threshold_offset,threshold_phase_at_1e7_over_pi,threshold_limit_change,threshold_limit_passed,upper_phase,branch_passed,reference_boundary_passed,failed_gates,passed,status,production_authorized
200.0,48,K_plus,7.545662108017604,direct_finite_q,0.0,-8.044923574134352e-12,3.1738634880813236e-9,9.131686387206043e-9,0,0,true,true,true,-1.0236712530486068e-11,-1.0236712530486068e-11,1.0e-10,-1.0236710572895958e-8,9.213041263883992e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,7.753098208010931,direct_finite_q,0.0,-6.2237978827987895e-12,2.730209813679066e-9,8.295177873088072e-9,0,0,true,true,true,-9.509803907486957e-12,-9.509803907486957e-12,1.0e-10,-9.509802158496678e-9,8.558823505045198e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,7.898914223885238,direct_finite_q,0.0,-5.1972137232912e-12,2.4488086608916632e-9,7.723910012322602e-9,0,0,true,true,true,-9.028173684611325e-12,-9.028173684611325e-12,1.0e-10,-9.028172067944566e-9,8.125356305613916e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_plus,7.980748879988085,direct_finite_q,0.0,-4.6974417890259754e-12,2.3014517811831688e-9,7.410919499485701e-9,0,0,true,true,true,-8.76805026309292e-12,-8.76805026309292e-12,1.0e-10,-8.76804871594165e-9,7.891245226846972e-11,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,0.019251120011914757,direct_finite_q,0.04929535395955591,-0.0007843078394107124,2.83065434061561e-8,9.10800279689589e-7,1,1,true,true,true,-6.025962062672363e-9,0.9999999939740379,1.0e-10,0.9999939743149153,5.423361999531191e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,0.1010857761147621,direct_finite_q,0.04356415123460128,-0.0008018264060246826,2.1630740777585004e-8,2.2136649386492855e-5,1,1,true,true,true,-6.198273116986286e-9,0.9999999938017269,1.0e-10,0.9999938020189381,5.578441802960957e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,0.2469017919890688,direct_finite_q,0.035176158828831676,-0.0008323849335849989,1.4053131065110867e-8,0.00010606373997170589,1,1,true,true,true,-6.5369831769857e-9,0.9999999934630168,1.0e-10,0.9999934633398475,5.8832803418384005e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,0.4543378919823957,direct_finite_q,0.026270171900264046,-0.000873914647041281,9.216631106574114e-9,0.00026558164193176483,1,1,true,true,true,-7.1003768420396796e-9,0.9999999928996232,1.0e-10,0.9999929000008412,6.390333826006567e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,0.7199920561043887,direct_finite_q,0.01840743467798999,-0.0009227412779207402,7.647383676605925e-9,0.00045918096838517023,1,1,true,true,true,-7.998008588749883e-9,0.9999999920019914,1.0e-10,0.9999920024644384,7.198200920713879e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,1.0395032336857826,direct_finite_q,0.01228703096142916,-0.0009731841976931686,8.438272744338065e-9,0.0006193448982348003,1,1,true,true,true,-9.437694514780048e-9,0.9999999905623055,1.0e-10,0.99999056295192,8.49391582616383e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,1.4076253922520978,direct_finite_q,0.007936788834394479,-0.0010173129899102764,1.1161120099680143e-8,0.0006945737116598904,1,1,true,true,true,-1.1839707547700584e-8,0.9999999881602925,1.0e-10,0.9999881612839346,1.0655722417356627e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,1.8183141144446417,direct_finite_q,0.005041000179449458,-0.0010449135548903947,1.4819349744004145e-8,0.0006693366154265388,1,1,true,true,true,-1.6148512638203272e-8,0.9999999838514874,1.0e-10,0.9999838532661007,1.4533635213280667e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,2.2648259694958197,direct_finite_q,0.0031975216701826273,-0.0010439090899844758,1.8012884623560787e-8,0.0005596430866622034,1,1,true,true,true,-2.484040984018776e-8,0.9999999751595902,1.0e-10,0.9999751635871172,2.2356308713917844e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,2.7398292812153464,direct_finite_q,0.0020533217742982573,-0.0010020881050742054,1.980183351816788e-8,0.0003997833540583247,1,1,true,true,true,-4.6179209567398516e-8,0.9999999538207904,1.0e-10,0.9999538336048184,4.15610895768517e-7,true,0.0,true,true,,true,conditional_window,false
200.0,48,K_minus,3.2355245301055344,direct_finite_q,0.0013471467818999066,-0.0009118461391823356,1.99947092216462e-8,0.00023087074741254385,1,1,true,true,true,-1.248677816700905e-7,0.9999998751322183,1.0e-10,0.9998752160060873,1.1237963546984899e-6,true,0.0,true,true,,true,conditional_window,false
