window_id,mode_key,plot_panel,plot_series,observable,anchor_left_xi,anchor_right_xi,interior_point_count,source_roughness,candidate_roughness,roughness_ratio,changed_point_count,max_abs_relative_change,action,reason,canonical_data_modified
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_dbar,0.3500000000,0.3900000000,3,0.03658758587713473,0.02569651223092162,0.7023287165546649,3,6.3804860645597e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,tau_sbar,0.3500000000,0.3900000000,3,0.020045280197100723,0.01663340268209801,0.8297914780210358,3,6.311466751231362e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,eta,0.3500000000,0.3900000000,3,0.032354165377335126,0.026192411994885312,0.8095530108538583,3,2.9905308795920318e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,sigma,0.3500000000,0.3900000000,3,0.04025648847569835,0.03328692199948685,0.8268709780680742,3,4.831490317836959e-05,applied,roughness_guard_passed,False
mode_a_muB0p0_alpha1p0_xip0p37_window,mode_a,muB0.0,alpha1.0,zeta,0.3500000000,0.3900000000,3,0.038972546355719964,0.032007189978694436,0.8212753071495614,3,6.25764529489836e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,eta_over_s,0.2400000000,0.2800000000,3,0.0342099161770858,0.023419315994443912,0.6845768306831002,3,8.64842725967429e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,zeta_over_s,0.2400000000,0.2800000000,3,0.04056295011085609,0.027977441568993733,0.6897289643019819,3,7.839470406751006e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,sigma_over_T,0.2400000000,0.2800000000,3,0.0523992979399423,0.04105787743555739,0.7835577774842721,3,7.376734154358572e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_u,0.2400000000,0.2800000000,3,0.036013979835480825,0.02075988492262759,0.5764396219874327,3,0.00011747974229580678,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_d,0.2400000000,0.2800000000,3,0.036013979835480825,0.02075988492262759,0.5764396219874327,3,0.00011747974229580678,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_s,0.2400000000,0.2800000000,3,0.01765373640725265,0.018255657955279503,1.0340959859228194,0,0.0,retained_v2,roughness_guard_candidate_not_smoother,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_ubar,0.2400000000,0.2800000000,3,0.11806536406233636,0.08236383793623903,0.6976121963487312,3,0.00023506536381538931,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_dbar,0.2400000000,0.2800000000,3,0.11806536406233636,0.08236383793623903,0.6976121963487312,3,0.00023506536381538931,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,tau_sbar,0.2400000000,0.2800000000,3,0.02291140430648042,0.025723606133976062,1.122742446943779,0,0.0,retained_v2,roughness_guard_candidate_not_smoother,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,eta,0.2400000000,0.2800000000,3,0.041610988253026865,0.03221053985832387,0.7740873555431793,3,6.466973984056746e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,sigma,0.2400000000,0.2800000000,3,0.05239929793989789,0.04105787743555739,0.7835577774849362,3,7.376734154360435e-05,applied,roughness_guard_passed,False
mode_a_muB450p0_alpha1p0_xip0p26_window,mode_a,muB450.0,alpha1.0,zeta,0.2400000000,0.2800000000,3,0.04722428800027206,0.036657705304826704,0.7762468606115462,3,5.658034776600936e-05,applied,roughness_guard_passed,False
