T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
55.000000,3.750000,0.000000,406.089515,406.089515,406.089515,406.089515,22.006342,0.527695,-18.154946,-0.089195,-0.089195,-2.057760,0.081612,0.106462,22.746027,22.746027,460.754150,3,0.000000,true,
55.000000,3.700000,0.000000,404.088844,404.088844,404.088844,404.088844,21.988214,0.512954,-18.208324,-0.091820,-0.091820,-2.058783,0.080174,0.104686,23.255351,23.255351,460.921842,3,0.000000,true,
55.000000,3.650000,0.000000,402.009903,402.009903,402.009903,402.009903,21.969630,0.498632,-18.261338,-0.094589,-0.094589,-2.059758,0.078780,0.102890,23.792515,23.792515,461.083046,3,0.000000,true,
55.000000,3.600000,0.000000,399.852201,399.852201,399.852201,399.852201,21.950605,0.484888,-18.313933,-0.097518,-0.097518,-2.060686,0.077442,0.101089,24.360451,24.360451,461.237599,3,0.000000,true,
55.000000,3.550000,0.000000,397.617878,397.617878,397.617878,397.617878,21.931175,0.471896,-18.366052,-0.100622,-0.100622,-2.061563,0.076177,0.099300,24.962521,24.962521,461.385334,3,0.000000,true,
55.000000,3.500000,0.000000,395.312434,395.312434,395.312434,395.312434,21.911408,0.459833,-18.417635,-0.103923,-0.103923,-2.062389,0.074998,0.097544,25.602541,25.602541,461.526122,3,0.000000,true,
55.000000,3.450000,0.000000,392.945272,392.945272,392.945272,392.945272,21.891399,0.448863,-18.468629,-0.107442,-0.107442,-2.063162,0.073918,0.095844,26.284799,26.284799,461.659919,3,0.000000,true,
55.000000,3.400000,0.000000,390.529780,390.529780,390.529780,390.529780,21.871275,0.439123,-18.518990,-0.111204,-0.111204,-2.063880,0.072948,0.094223,27.014037,27.014037,461.786828,3,0.000000,true,
55.000000,3.350000,0.000000,388.082777,388.082777,388.082777,388.082777,21.851186,0.430703,-18.568686,-0.115236,-0.115236,-2.064546,0.072093,0.092704,27.795425,27.795425,461.907153,3,0.000000,true,
55.000000,3.300000,0.000000,385.623280,385.623280,385.623280,385.623280,21.831293,0.423627,-18.617710,-0.119566,-0.119566,-2.065161,0.071350,0.091303,28.634536,28.634536,462.021447,3,0.000000,true,
55.000000,3.250000,0.000000,383.170787,383.170787,383.170787,383.170787,21.811755,0.417855,-18.666071,-0.124225,-0.124225,-2.065728,0.070714,0.090033,29.537338,29.537338,462.130515,3,0.000000,true,
55.000000,3.200000,0.000000,380.743505,380.743505,380.743505,380.743505,21.792713,0.413283,-18.713801,-0.129247,-0.129247,-2.066252,0.070171,0.088898,30.510239,30.510239,462.235407,3,0.000000,true,
55.000000,3.150000,0.000000,378.356935,378.356935,378.356935,378.356935,21.774281,0.409760,-18.760945,-0.134666,-0.134666,-2.066739,0.069706,0.087895,31.560184,31.560184,462.337374,3,0.000000,true,
55.000000,3.100000,0.000000,376.023106,376.023106,376.023106,376.023106,21.756539,0.407103,-18.807561,-0.140523,-0.140523,-2.067194,0.069300,0.087016,32.694806,32.694806,462.437827,3,0.000000,true,
55.000000,3.050000,0.000000,373.750463,373.750463,373.750463,373.750463,21.739539,0.405122,-18.853708,-0.146862,-0.146862,-2.067624,0.068936,0.086250,33.922612,33.922612,462.538297,3,0.000000,true,
55.000000,3.000000,0.000000,371.544265,371.544265,371.544265,371.544265,21.723305,0.403629,-18.899447,-0.153731,-0.153731,-2.068037,0.068596,0.085581,35.253199,35.253199,462.640421,3,0.000000,true,
55.000000,2.950000,0.000000,369.407263,369.407263,369.407263,369.407263,21.707839,0.402449,-18.944835,-0.161187,-0.161187,-2.068437,0.068266,0.084994,36.697483,36.697483,462.745947,3,0.000000,true,
55.000000,2.900000,0.000000,367.340466,367.340466,367.340466,367.340466,21.693133,0.401429,-18.989922,-0.169295,-0.169295,-2.068833,0.067933,0.084473,38.267936,38.267936,462.856758,3,0.000000,true,
55.000000,2.850000,0.000000,365.343867,365.343867,365.343867,365.343867,21.679169,0.400435,-19.034755,-0.178127,-0.178127,-2.069229,0.067585,0.084005,39.978835,39.978835,462.974921,3,0.000000,true,
55.000000,2.800000,0.000000,363.417077,363.417077,363.417077,363.417077,21.665928,0.399357,-19.079373,-0.187769,-0.187769,-2.069634,0.067215,0.083575,41.846521,41.846521,463.102753,3,0.000000,true,
