xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
-0.30625,239.75629721504416,244.18567446997528,142.87587704778826,141.03125,4.429377254931126,-1.844627047788265,added_boundary_constrained_display_endpoint
-0.3,241.59009941532776,245.3123308500414,142.40583710269084,140.84375,3.722231434713649,-1.562087102690839,added_boundary_constrained_display_endpoint
-0.29375,241.59009941532776,246.41882555892587,142.68959721993517,140.65625,4.828726143598118,-2.033347219935166,added_boundary_constrained_display_endpoint
-0.2875,243.3753785047283,247.52532026781037,142.22544521852896,140.46875,4.149941763082069,-1.7566952185289608,added_boundary_constrained_display_endpoint
-0.28125,243.3753785047283,248.61236834884747,142.50671866150446,140.28125,5.236989844119165,-2.2254686615044648,added_boundary_constrained_display_endpoint
-0.275,245.12951311201635,249.69941642988456,142.04916411898253,140.09375,4.56990331786821,-1.9554141189825316,added_boundary_constrained_display_endpoint
-0.26875,245.12951311201635,250.83732457597637,142.32829752036147,139.875,5.707811463960013,-2.453297520361474,added_boundary_constrained_display_endpoint
-0.2625,246.95802515991713,251.97523272206814,141.83434426989174,139.65625,5.017207562151015,-2.1780942698917443,added_boundary_constrained_display_endpoint
-0.25625,246.95802515991713,253.02459711326827,142.10622372410958,139.46875,6.0665719533511435,-2.637473724109583,added_boundary_constrained_display_endpoint
-0.25,248.651867682427,254.0739615044684,141.65452211011925,139.28125,5.422093822041404,-2.3732721101192453,added_boundary_constrained_display_endpoint
-0.24375,248.651867682427,255.10579179324188,141.8395191421044,139.09375,6.4539241108148815,-2.7457691421043933,added_boundary_constrained_display_endpoint
-0.2375,256.13157377841543,256.13762208201535,138.873247075514,138.90625,0.006048303599925475,0.03300292448599862,added_boundary_constrained_display_endpoint
-0.23125,256.13157377841543,257.1524767836227,139.14379625365913,138.71875,1.0209030052072876,-0.42504625365913284,added_boundary_constrained_display_endpoint
-0.225,257.7892107525107,258.1673314852301,138.67442615071934,138.53125,0.37812073271936697,-0.14317615071934142,added_boundary_constrained_display_endpoint
-0.21875,258.6042893408891,259.1697868888465,138.58028531314267,138.34375,0.5654975479573636,-0.2365353131426673,added_boundary_constrained_display_endpoint
-0.2125,259.5127201968113,260.29732418839416,138.4278265883615,138.09375,0.7846039915828555,-0.334076588361512,added_boundary_constrained_display_endpoint
-0.20625,260.3142929356112,261.28298681412605,138.32942029255767,137.90625,0.9686938785148413,-0.42317029255767125,added_boundary_constrained_display_endpoint
-0.2,261.1095335055075,262.2608016265691,138.22677891510818,137.71875,1.1512681210616051,-0.5080289151081843,added_boundary_constrained_display_endpoint
-0.19375,261.1095335055075,263.2270726703093,138.49705208199117,137.53125,2.1175391648018262,-0.9658020819911712,added_boundary_constrained_display_endpoint
-0.1875,262.68138627826744,264.1933437140495,138.02964038902562,137.34375,1.511957435782051,-0.6858903890256158,added_boundary_constrained_display_endpoint
-0.18125,262.68138627826744,265.16070031292475,138.29830492234436,137.15234375,2.479314034657307,-1.1459611723443572,added_boundary_constrained_display_endpoint
-0.175,264.2531567790758,266.12805691179994,137.82755707474342,136.9609375,1.8749001327241217,-0.8666195747434244,added_boundary_constrained_display_endpoint
-0.16875,264.2531567790758,267.11231887833975,138.09042830422476,136.74609375,2.8591620992639264,-1.3443345542247584,added_boundary_constrained_display_endpoint
