# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-01
# bridge: path_strategy x density_regime
# path_strategy: tmu
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: 0.000000,50.000000,100.000000,150.000000,200.000000,250.000000,300.000000
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: strict_normal_domain
# noanom_policy: none
# gamma_zero_tol: 1.0e-6
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
tmu,11,220.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.686928,0.686928,0.198347,0.198347,1.921126,240.981980,533.090911,NaN,NaN,0.208375,0.186939,0.897131,0,0.050000,0.000000,0,ok,
tmu,12,230.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.715809,0.715809,0.135191,0.135191,1.814213,296.678277,546.559200,NaN,NaN,0.372831,0.269150,0.721907,,,,,ok,
tmu,12,230.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.715809,0.715809,0.135191,0.135191,1.814213,296.678277,546.559200,140.255442,170.845968,0.059311,0.040607,0.684640,,,,,ok,
tmu,12,230.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.715809,0.715809,0.135191,0.135191,1.814213,296.678277,546.559200,NaN,NaN,2.788661,3.954947,1.418224,0,0.050000,0.000000,0,ok,
tmu,12,230.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.715809,0.715809,0.135191,0.135191,1.814213,296.678277,546.559200,NaN,NaN,0.179007,0.176818,0.987770,0,0.050000,0.000000,0,ok,
tmu,13,240.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.740642,0.740642,0.101952,0.101952,1.700664,347.707221,556.588657,NaN,NaN,0.390634,0.316795,0.810977,,,,,ok,
tmu,13,240.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.740642,0.740642,0.101952,0.101952,1.700664,347.707221,556.588657,192.756980,213.671565,0.056852,0.044761,0.787325,,,,,ok,
tmu,13,240.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.740642,0.740642,0.101952,0.101952,1.700664,347.707221,556.588657,NaN,NaN,2.772014,3.908064,1.409828,0,0.050000,0.000000,0,ok,
tmu,13,240.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.740642,0.740642,0.101952,0.101952,1.700664,347.707221,556.588657,NaN,NaN,0.154258,0.165620,1.073654,0,0.050000,0.000000,0,ok,
tmu,14,120.000000,50.000000,150.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.008784,0.017468,1.861475,1.861475,2.783651,134.961799,497.655581,NaN,NaN,0.057376,0.011465,0.199816,,,,,ok,
tmu,14,120.000000,50.000000,150.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.008784,0.017468,1.861475,1.861475,2.783651,134.961799,497.655581,0.000000,0.000000,0.057375,0.011464,0.199815,,,,,ok,
tmu,14,120.000000,50.000000,150.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.008784,0.017468,1.861475,1.861475,2.783651,134.961799,497.655581,NaN,NaN,1.881313,2.499744,1.328723,0,0.050000,0.000000,0,ok,
tmu,14,120.000000,50.000000,150.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.008784,0.017468,1.861475,1.861475,2.783651,134.961799,497.655581,NaN,NaN,0.166190,0.115161,0.692949,0,0.050000,0.000000,0,ok,
