sample_id,field,S2,S1jump,N_spike,label,reason
S034,tau_u,0.13789363,0.69975164,0,not_smooth,S1jump_above_suspect
S034,tau_s,0.15789789,0.80004808,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S034,eta_over_s,0.081090768,0.39952162,0,suspect,S2_above_smooth;S1jump_above_smooth
S034,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S034,sigma_over_T,0.23146021,1.1943249,2,not_smooth,S2_above_suspect;S1jump_above_suspect
S035,tau_u,0.13953963,0.73812436,0,not_smooth,S1jump_above_suspect
S035,tau_s,0.19128683,1.0070413,0,not_smooth,S2_above_suspect;S1jump_above_suspect
S035,eta_over_s,0.015702683,0.053019984,0,smooth,all_metrics_within_smooth_thresholds
S035,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S035,sigma_over_T,0.065864353,0.35558485,0,suspect,S2_above_smooth;S1jump_above_smooth
S036,tau_u,0.0010299108,0.012671025,0,smooth,all_metrics_within_smooth_thresholds
S036,tau_s,0.00060386065,0.0081599746,0,smooth,all_metrics_within_smooth_thresholds
S036,eta_over_s,0.0013964065,0.035272587,0,smooth,all_metrics_within_smooth_thresholds
S036,zeta_over_s,NaN,NaN,0,not_smooth,exceeds_dual_threshold_policy
S036,sigma_over_T,0.0015709002,0.0492677,0,smooth,all_metrics_within_smooth_thresholds
