method,xi,T_MeV,status,reason,legacy_converged,legacy_mu,legacy_area,candidate_count,candidate_mu,candidate_area,rho_hadron,rho_quark,endpoint_dependent,endpoint_mu_zero,source_point_count
memoized_dense,0.5,106.959961,first_order,unique_three_crossing_candidate,true,348.3789877032052,4.302215641983084e-6,1,348.37898271447796,4.926898653234216e-6,1.4810984738572786,1.6063146670950765,false,-0.0,595
memoized_dense,0.5,107.084961,monotone,no_s_shape,false,,,0,,,,,false,-0.0,595
memoized_dense,0.5,120.0,monotone,no_s_shape,false,,,0,,,,,false,0.0,595
production_hybrid,-0.5,5.0,first_order,unique_three_crossing_candidate,true,316.867039999,38.09569112195459,1,331.4727727187154,3.313719916179039e-6,0.0034634066344651927,2.8016769315303045,false,316.86704,599
production_hybrid,-0.5,20.0,first_order,unique_three_crossing_candidate,true,330.82674593100194,6.17108749921243e-7,1,330.8267458636691,-4.288363499792519e-7,0.0028827587220790654,2.7990275140373364,true,93.171472,653
production_hybrid,-0.5,60.0,first_order,unique_three_crossing_candidate,true,322.2137970343157,2.845195258532854e-6,1,322.2137951572803,2.3214227612310115e-6,0.032900608055064305,2.785442194188168,false,5.413601,653
production_hybrid,-0.5,130.0,first_order,unique_three_crossing_candidate,true,245.5925454107493,1.7647002627792192e-7,1,245.5925461175764,-1.2923782190527841e-6,0.8111156474984316,2.8892026702531264,false,0.0,595
production_hybrid,-0.5,147.094727,first_order,unique_three_crossing_candidate,true,202.24667888959345,3.304456382762666e-6,1,202.24664867400654,4.997751211699057e-6,2.1974872658802407,2.252794603199192,false,0.0,653
production_hybrid,-0.5,147.219727,monotone,no_s_shape,false,,,0,,,,,false,0.0,99
production_hybrid,0.0,5.0,first_order,unique_three_crossing_candidate,true,361.033806292108,3.2384950357013944e-6,1,361.0338068823952,1.7617911070901817e-6,0.0026894020085418,2.5043597109230067,true,318.908229,653
production_hybrid,0.0,20.0,first_order,unique_three_crossing_candidate,true,360.397694566438,2.0685552040615527e-6,1,360.397695218442,4.4490244502433276e-7,0.009243744364644549,2.499493583923618,false,102.478635,653
production_hybrid,0.0,60.0,first_order,unique_three_crossing_candidate,true,353.43427628650306,1.9617809677623262e-7,1,353.4342764503467,-1.9151596624298656e-7,0.11816162697719389,2.484405613225593,false,3.0e-6,653
production_hybrid,0.0,120.0,first_order,unique_three_crossing_candidate,true,308.6045881892352,1.5824919975407435e-6,1,308.6045901378782,-4.58626790354951e-6,0.9620083838994573,2.5034789862649416,false,-0.0,596
production_hybrid,0.0,131.086914,monotone,no_s_shape,false,,,0,,,,,false,0.0,99
production_hybrid,0.0,145.0,monotone,no_s_shape,false,,,0,,,,,false,0.0,99
production_hybrid,0.5,5.0,first_order,unique_three_crossing_candidate,true,378.93821259223785,3.4176989639744217e-6,1,378.93820997032446,2.151629607551047e-6,0.08291176377693724,2.2070583986190497,false,320.793274,600
production_hybrid,0.5,60.0,first_order,unique_three_crossing_candidate,true,372.80961499958016,4.3351019728427725e-6,1,372.80961996084534,-4.765006037226816e-6,0.3218334523221978,2.1560648379763485,false,-0.000356,597
production_hybrid,0.5,90.0,first_order,unique_three_crossing_candidate,true,360.766490471521,8.261989676988047e-7,1,360.7664867934612,4.103966851526972e-6,0.7184773506242131,2.0589029833144745,false,3.7e-5,597
production_hybrid,0.5,106.959961,first_order,unique_three_crossing_candidate,true,348.3789875765216,4.318042387550734e-6,1,348.37898259021983,4.9424998261429e-6,1.4810857231119445,1.6063171822571056,false,-1.0e-6,653
production_hybrid,0.5,107.084961,monotone,no_s_shape,false,,,0,,,,,false,-0.0,99
production_hybrid,0.5,120.0,monotone,no_s_shape,false,,,0,,,,,false,1.0e-6,99
