window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.02,4.6427056786106995,-0.41759260917307106,-0.020626766215747216,-3.1096780040458104e-6,-0.00011319496633619967,5.720527603567456,7.798626668947418e7,1.3257984679387007,544.3164938715565,541.5190603876705,31.630699095404843
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.05,4.6727056786107,-0.419730946043146,-0.032803612381470205,-1.7329569772608932e-5,-0.0001796422181286305,5.641744357111378,3.070155460249982e7,1.3075395389221598,213.3905923452884,208.90907396490965,12.33439165638759
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.1,4.7227056786107,-0.4232726365317896,-0.04683761545068128,-4.080942152659623e-5,-0.00025559834959290714,5.514093035784617,1.4926280919555027e7,1.2779548680711994,103.01953268671784,98.2089368356588,5.939374658406331
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.2,4.8227056786107,-0.43027317059418957,-0.06749475420894431,-8.69502046178277e-5,-0.00036572582457910824,5.271744090357063,7.076353729865839e6,1.221787695596753,48.15286995819103,43.55642734528181,3.9058545476790743
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,0.5,5.1227056786107,-0.450621093783919,-0.11260405567228021,-0.00021894365325369436,-0.0005969697961682671,4.63522959821523,2.473354179246769e6,1.0742680965345701,16.11107017801169,12.512011200900643,1.1127803291910032
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,1.0,5.6227056786107,-0.4824134565905909,-0.17278344363448148,-0.00041829791264048606,-0.00088141256858327,3.808408685787183,1.0505732739195477e6,0.8826427824161356,6.33609970913715,3.868878012354235,0.5101349341051045
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.37,2.0,6.6227056786107,-0.5384398734700264,-0.28099896456212303,-0.0007452756344415599,-0.0013151819560950362,2.7109240162598023,437610.0741813141,0.6282880105698793,2.221728484201626,0.8660808629266207,0.3191229959229782
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.0001,4.675114717994345,-0.4210402712168908,-0.0014676562239291186,-2.8487930783571474e-5,-8.04329837534038e-6,5.640887644626818,1.1412178986617897e9,1.3077373315017369,7946.233533982557,7751.141631891533,454.45036263435657
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.0005,4.675514717994345,-0.4210688212092786,-0.0032820323855292078,-2.867744229414728e-5,-1.7986249238666096e-5,5.6398486097034235,8.726758452406347e8,1.3074964501292188,6076.052496748616,5925.608609593107,347.4678476156408
mode_a_muB0p0_alpha1p0_xip0p37_supplement,uubar_to_ddbar,0.38,0.001,4.676014717994345,-0.4211045111594187,-0.004641942476457648,-2.8914334075222565e-5,-2.5437965914319273e-5,5.638550096512387,6.742502628431773e8,1.3071954134338715,4694.176878127194,4576.724448818099,268.41856234911387
