# schema: M2_vs_s_mid_t_v1
# T_MeV: 150.0
# muB_MeV: 800.0
# xi: 0.0
# delta_sqrt_mev_min: 0.001
# delta_sqrt_mev_max: 60.0
# n_threshold: 240
process,T_MeV,muB_MeV,xi,s_th,sqrt_s_th_MeV,delta_sqrt_MeV,s,sqrt_s_MeV,t_min,t_max,t_mid,M2
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.020868415091018496,0.684693783731947,163.28064442604085,-0.00017500618099164367,0.0,-8.750309049582183e-5,1574.8728682630187
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.021851523986627975,0.6847020288069021,163.28162753493646,-0.00018325125594675917,0.0,-9.162562797337959e-5,1574.9753393350047
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.022880947041526076,0.6847106623596992,163.28265695799135,-0.0001918848087438807,0.0,-9.594240437194035e-5,1575.1162233458572
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.023958866111008982,0.6847197026966212,163.28373487706082,-0.0002009251456658312,0.0,-0.0001004625728329156,1575.2638121447237
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.025087565837352208,0.6847291689868524,163.28486357678716,-0.00021039143589707265,0.0,-0.00010519571794853633,1575.4184334545496
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.026269438492094642,0.6847390813031784,163.28604544944193,-0.00022030375222303888,0.0,-0.00011015187611151944,1575.5835915552464
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.027506989046442172,0.6847494606646056,163.28728299999625,-0.00023068311365026517,0.0,-0.00011534155682513259,1575.7689715592635
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.02880284048053735,0.6847603290809973,163.28857885143034,-0.00024155153004190577,0.0,-0.00012077576502095289,1575.9319780795938
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.03015973934284837,0.6847717095998131,163.28993575029267,-0.0002529320488577902,0.0,-0.0001264660244288951,1576.1204650135883
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.031580561571460185,0.6847836263550615,163.2913565725213,-0.00026484880410615474,0.0,-0.00013242440205307737,1576.3179285300082
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.033068318589606106,0.6847961046185598,163.29284432953943,-0.00027732706760441594,0.0,-0.00013866353380220797,1576.524834146453
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.03462616368835929,0.6848091708536219,163.29440217463818,-0.0002903933026665584,0.0,-0.0001451966513332792,1576.7417169873665
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.036257398710012025,0.684822852771279,163.29603340965983,-0.00030407522032360745,0.0,-0.00015203761016180373,1577.0489452130337
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.03796548104630855,0.6848371793891598,163.29774149199613,-0.0003184018382044185,0.0,-0.00015920091910220924,1577.2489721556426
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.03975403096636371,0.6848521810931518,163.29953004191617,-0.0003334035421964643,0.0,-0.00016670177109823214,1577.4515273354868
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.041626839289799204,0.6848678897019828,163.3014028502396,-0.00034911215102739757,0.0,-0.00017455607551369878,1578.7449981411808
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.043587875421360577,0.6848843385348494,163.3033638863712,-0.00036556098389406433,0.0,-0.00018278049194703216,1579.0438040231286
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.04564129576404391,0.6849015624822515,163.30541730671388,-0.0003827849312961762,0.0,-0.0001913924656480881,1579.3564071545104
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.0477914525285644,0.684919598080172,163.3075674634784,-0.0004008205292166389,0.0,-0.00020041026460831945,1579.6834650949902
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.05004290295783783,0.6849384835877689,163.30981891390766,-0.00041970603681351637,0.0,-0.00020985301840675818,1580.0334352723235
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.05240041898602656,0.6849582590687446,163.31217642993585,-0.00043948151778927524,0.0,-0.00021974075889463762,1580.3831604557622
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.05486899735262221,0.6849789664765655,163.31464500830245,-0.0004601889256101721,0.0,-0.00023009446280508605,1580.7733137044493
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.05745387019300154,0.6850006497437165,163.31722988114282,-0.0004818721927611902,0.0,-0.0002409360963805951,1581.2053574059028
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.060160516127902554,0.685023354875183,163.31993652707772,-0.0005045773242275953,0.0,-0.00025228866211379763,1581.5692630226326
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.06299467187532458,0.6850471300463605,163.32277068282514,-0.000528352495405171,0.0,-0.0002641762477025855,1582.0018415805114
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.06596234440946375,0.685072025705604,163.32573835535928,-0.0005532481546486334,0.0,-0.0002766240773243167,1582.454478437874
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.06906982369245492,0.6850980946816352,163.32884583464227,-0.0005793171306798239,0.0,-0.00028965856533991197,1582.9282418248602
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.07232369600590412,0.6851253922960451,163.33209970695572,-0.0006066147450897175,0.0,-0.00030330737254485873,1583.5240053400041
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.07573085791046875,0.6851539764811274,163.33550686886028,-0.000635198930172054,0.0,-0.000317599465086027,1584.0143486527468
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.07929853086307177,0.6851839079033054,163.3390745418129,-0.0006651303523500518,0.0,-0.0003325651761750259,1584.4992419908006
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.0830342765227314,0.6852152500924107,163.34281028747256,-0.0006964725414553286,0.0,-0.0003482362707276643,1585.0689000437574
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.08694601277744717,0.6852480695771037,163.34672202372727,-0.0007292920261483538,0.0,-0.0003646460130741769,1585.6654660640504
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.09104203052611042,0.6852824360267196,163.35081804147592,-0.0007636584757642062,0.0,-0.0003818292378821031,1586.28993006305
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.09533101125100937,0.6853184223998544,163.35510702220083,-0.0007996448488990504,0.0,-0.0003998224244495252,1586.9603525001467
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.09982204541817283,0.6853561051000097,163.359598056368,-0.0008373275490543008,0.0,-0.0004186637745271504,1587.6270895167936
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.10452465174455243,0.6853955641386389,163.36430066269438,-0.0008767865876835312,0.0,-0.0004383932938417656,1588.3444878611383
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.1094487973728795,0.685436883305945,163.3692248083227,-0.0009181057549896288,0.0,-0.0004590528774948144,1589.1182365195996
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.11460491899695749,0.6854801503498053,163.37438092994677,-0.000961372798849891,0.0,-0.0004806863994249455,1589.881514030909
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.12000394498216528,0.6855254571632133,163.37977995593198,-0.0010066796122579769,0.0,-0.0005033398061289884,1590.7171639555104
udbar_to_udbar,150.0,800.0,0.0,0.6845187775509554,163.25977601094982,0.12565731852805448,0.6855728999806471,163.38543332947788,-0.0010541224296917173,0.0,-0.0005270612148458587,1591.5836768020265
