point_id,series,process,T_MeV,muB_MeV,sqrt_s_GeV,literature_sigma_mb,model_sigma_mb,relative_error,abs_relative_error,scan_file
T160MeV_ustous_6,T160MeV_ustous,us_to_us,160.0,0.0,0.9035292671516459,2.7275378454398114,2.56227784496,-0.0605894436116,0.0605894436116,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_7,T160MeV_ustous,us_to_us,160.0,0.0,0.9035227577176514,2.638716618583884,2.56142816001,-0.0292901700882,0.0292901700882,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_8,T160MeV_ustous,us_to_us,160.0,0.0,0.903516248283657,2.549895391727956,2.56057847507,0.00418961631668,0.00418961631668,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_9,T160MeV_ustous,us_to_us,160.0,0.0,0.9035097388496625,2.461074164872029,2.55972879012,0.0400860025509,0.0400860025509,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_10,T160MeV_ustous,us_to_us,160.0,0.0,0.903503229415668,2.372252938016101,2.55887910518,0.0786704335664,0.0786704335664,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_11,T160MeV_ustous,us_to_us,160.0,0.0,0.903496719981673,2.2834317111601727,2.55802942023,0.120256589121,0.120256589121,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_12,T160MeV_ustous,us_to_us,160.0,0.0,0.9034902105476785,2.1946104843042455,2.55717973529,0.165208930505,0.165208930505,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_13,T160MeV_ustous,us_to_us,160.0,0.0,0.903483701113684,2.1057892574483175,2.55633523952,0.213955874491,0.213955874491,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_14,T160MeV_ustous,us_to_us,160.0,0.0,0.902180630781316,2.033117344566195,,,,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_15,T160MeV_ustous,us_to_us,160.0,0.0,0.9021741213473216,1.944296117710267,,,,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_16,T160MeV_ustous,us_to_us,160.0,0.0,0.9066788469271412,4.385534080083795,3.38464430072,-0.228225288207,0.228225288207,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_17,T160MeV_ustous,us_to_us,160.0,0.0,0.9062383752268417,4.277871986925096,3.15857244465,-0.261648676187,0.261648676187,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_18,T160MeV_ustous,us_to_us,160.0,0.0,0.9062318657928472,4.1890507600691675,3.15571370295,-0.246675706813,0.246675706813,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_19,T160MeV_ustous,us_to_us,160.0,0.0,0.9062253563588527,4.1002295332132395,3.15285496126,-0.231054033507,0.231054033507,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_20,T160MeV_ustous,us_to_us,160.0,0.0,0.9062188469248582,4.011408306357312,3.14999621957,-0.214740565159,0.214740565159,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_21,T160MeV_ustous,us_to_us,160.0,0.0,0.9062123374908633,3.9225870795013846,3.14713747787,-0.19768830772,0.19768830772,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_22,T160MeV_ustous,us_to_us,160.0,0.0,0.9062058280568688,3.833765852645457,3.14427873618,-0.17984591208,0.17984591208,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_23,T160MeV_ustous,us_to_us,160.0,0.0,0.9061993186228743,3.744944625789529,3.14141999448,-0.161157157612,0.161157157612,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_24,T160MeV_ustous,us_to_us,160.0,0.0,0.9061928091888798,3.6561233989336013,3.13888420075,-0.141472029728,0.141472029728,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_25,T160MeV_ustous,us_to_us,160.0,0.0,0.9061862997548853,3.5673021720776736,3.13647253445,-0.120771837328,0.120771837328,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_26,T160MeV_ustous,us_to_us,160.0,0.0,0.9061797903208904,3.478480945221746,3.13406086815,-0.099014507337,0.099014507337,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_27,T160MeV_ustous,us_to_us,160.0,0.0,0.9061738726536226,3.3977343753527207,3.13186844424,-0.0782480034466,0.0782480034466,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_28,T160MeV_ustous,us_to_us,160.0,0.0,0.9048713940879813,3.3331371194575006,2.77635937082,-0.167043157447,0.167043157447,xs_T160_muB0_xi0p0.csv
T160MeV_ustous_29,T160MeV_ustous,us_to_us,160.0,0.0,0.9048648846539868,3.2443158926015725,2.775056899,-0.144640352275,0.144640352275,xs_T160_muB0_xi0p0.csv
