xi,T_MeV,mu_transition_MeV,rho_hadron,rho_quark,curve_parameter,plot_order_key
-0.35,80.0,324.15037180859116,0.13301049383703029,2.7032389066513782,80.0,80.0
-0.35,85.0,320.82460768692846,0.16131950475756493,2.713492487136019,85.0,85.0
-0.35,90.0,317.04343954446676,0.19585984848966217,2.72644356901181,90.0,90.0
-0.35,95.0,312.75150664856585,0.2388920300237288,2.741731489686301,95.0,95.0
-0.35,100.0,307.89259175555503,0.28947963360409157,2.7587005209168276,100.0,100.0
-0.35,105.0,302.4064371632503,0.349584734806019,2.776265717064164,105.0,105.0
-0.35,110.0,296.2309144052032,0.42528198031914216,2.7930439219486676,110.0,110.0
-0.35,115.0,289.3020465079065,0.5160485797075949,2.806419251517203,115.0,115.0
-0.35,120.0,281.55711693455487,0.6294252520513007,2.8127026592803768,120.0,120.0
-0.35,125.0,272.93790515614523,0.7740587104202502,2.806767604148436,125.0,125.0
-0.35,130.0,263.39986548287493,0.966520400157171,2.778816222827121,130.0,130.0
-0.35,135.0,252.93058978949978,1.239677592748914,2.711772392567472,135.0,135.0
-0.35,140.0,241.58331565512742,1.6763578481274943,2.5449188722828504,140.0,140.0
-0.3,60.0,337.12197231443986,0.06227318060583382,2.6678591360614465,60.0,60.0
-0.3,65.0,335.22245942920125,0.07999171938981624,2.6639543272210267,65.0,65.0
-0.3,70.0,333.04479940415445,0.09575626684703113,2.6637034793803798,70.0,70.0
-0.3,75.0,330.5507434406127,0.11944854064018351,2.6668015766423556,75.0,75.0
-0.3,80.0,327.70619836329297,0.14434434635030158,2.673213421238609,80.0,80.0
-0.3,85.0,324.46308384016953,0.1768396072850228,2.682640716747761,85.0,85.0
-0.3,90.0,320.7752418962975,0.21317517884124426,2.6949166487898046,90.0,90.0
-0.3,95.0,316.59059976319395,0.2568953174826605,2.709533262690511,95.0,95.0
-0.3,100.0,311.85286883292196,0.3103682248211756,2.7258314475726833,100.0,100.0
-0.3,105.0,306.50310336455095,0.374965277040622,2.7429415685900196,105.0,105.0
-0.3,110.0,300.4794918114373,0.45139888094018943,2.7589715447485466,110.0,110.0
-0.3,115.0,293.71962569785796,0.5469970990999742,2.7713288649632517,115.0,115.0
-0.3,120.0,286.1617493639602,0.6668840103657214,2.7763033986106027,120.0,120.0
-0.3,125.0,277.7501648063421,0.820133780574611,2.767666942385781,125.0,125.0
-0.3,130.0,268.4441932686783,1.0267550464818849,2.734319024519637,130.0,130.0
-0.3,135.0,258.2385683959115,1.3277524700553713,2.6522531030031185,135.0,135.0
-0.3,140.0,247.1986729391508,1.870331712328899,2.3961046872237004,140.0,140.0
-0.25,60.0,340.2434388185085,0.0717442920505409,2.6471679487883426,60.0,60.0
-0.25,65.0,338.3867818507331,0.08824563698961461,2.640328195447684,65.0,65.0
-0.25,70.0,336.2556739261639,0.1058516777715785,2.6378568595228886,70.0,70.0
-0.25,75.0,333.8210364169704,0.13171882958723743,2.63944081820154,75.0,75.0
-0.25,80.0,331.04095214930976,0.15795458404435436,2.6446299833404745,80.0,80.0
-0.25,85.0,327.87506230081453,0.19137887870188036,2.6531390427022226,85.0,85.0
-0.25,90.0,324.27417674626486,0.23112515013872403,2.664452113452109,90.0,90.0
-0.25,95.0,320.18817727575447,0.27761080921401565,2.678238005208663,95.0,95.0
-0.25,100.0,315.5623001272678,0.3330827468837139,2.693880787151976,100.0,100.0
-0.25,105.0,310.33796353454005,0.39884285093484656,2.70998569044555,105.0,105.0
-0.25,110.0,304.4547012523753,0.48144635367731675,2.7248226649495306,110.0,110.0
-0.25,115.0,297.8505601718539,0.5814836711159824,2.735903783193686,115.0,115.0
-0.25,120.0,290.465328344091,0.7064116303633622,2.738747047372209,120.0,120.0
-0.25,125.0,282.24509246523826,0.8697821003340838,2.725833054902642,125.0,125.0
-0.25,130.0,273.1525860182742,1.0922443551577325,2.683857165152718,130.0,130.0
-0.25,135.0,263.1894933822598,1.4297934783302424,2.575460269441265,135.0,135.0
-0.2,60.0,343.19475350497487,0.08065427096908029,2.6271408304688215,60.0,60.0
-0.2,65.0,341.37348852711455,0.09601480965423287,2.6175198611694817,65.0,65.0
-0.2,70.0,339.28637184843114,0.11916503036713585,2.6129728465052486,70.0,70.0
-0.2,75.0,336.9042172708631,0.14324023223825336,2.6129638226374903,75.0,75.0
-0.2,80.0,334.1848052800208,0.17389392224005493,2.6168419472009705,80.0,80.0
-0.2,85.0,331.0884309875205,0.2073415523409794,2.624223073883588,85.0,85.0
-0.2,90.0,327.56860478169676,0.2479683488938702,2.634671143562407,90.0,90.0
-0.2,95.0,323.57443111806435,0.29703963877966133,2.6476877730214388,95.0,95.0
-0.2,100.0,319.05196386109253,0.35567035598553404,2.6620873093840776,100.0,100.0
-0.2,105.0,313.9443286067009,0.4268453036557782,2.676932040518702,105.0,105.0
-0.2,110.0,308.1911841307224,0.5117415366332425,2.690510695680507,110.0,110.0
-0.2,115.0,301.73173302524776,0.6171884102561848,2.6998200082118804,115.0,115.0
-0.2,120.0,294.5066505733988,0.7489310216626287,2.6994931491849985,120.0,120.0
-0.2,125.0,286.4637443423509,0.9237466341232893,2.6803059835615444,125.0,125.0
-0.2,130.0,277.56897127293144,1.166325226227335,2.6255257684076834,130.0,130.0
-0.2,135.0,267.8301195704883,1.5540587631547291,2.4758812665018417,135.0,135.0
-0.15,60.0,345.99521949103917,0.0890639541081461,2.6068849928365885,60.0,60.0
-0.15,65.0,344.20331975481173,0.10661656658808545,2.594750089814137,65.0,65.0
-0.15,70.0,342.1577851906866,0.13167831222482484,2.588307793963326,70.0,70.0
-0.15,75.0,339.8217433247621,0.1565810093418156,2.5867701718500538,75.0,75.0
-0.15,80.0,337.1597283803623,0.1888618464075311,2.5895050211244417,80.0,80.0
-0.15,85.0,334.12818175555753,0.22602477339319435,2.595895619512185,85.0,85.0
-0.15,90.0,330.68285156261686,0.2690258426300548,2.6052781845286477,90.0,90.0
-0.15,95.0,326.77422097144165,0.32031029398829186,2.616928702810021,95.0,95.0
