xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
-0.15,143.99566164087304,179.17078158005228,2.11183637710132,peak,true,13.09903071426348,phi_u,143.99566164087304,143.99566164087304
-0.15,161.99511934598218,174.7526716224285,2.2294252599168085,peak,true,14.051527085485395,phi_u,161.99511934598218,161.99511934598218
-0.15,179.99457705109128,169.78692731000496,2.299577805751989,peak,true,15.496380500954617,phi_u,179.99457705109128,179.99457705109128
-0.15,197.99403475620042,164.28493664237826,2.322582905217454,peak,true,17.807177754616113,phi_u,197.99403475620042,197.99403475620042
-0.15,215.9934924613096,158.24264553243546,2.300424514108294,peak,true,21.829599673671762,phi_u,215.9934924613096,215.9934924613096
-0.15,233.9929501664187,151.6567741548058,2.246359339855853,peak,true,30.021539313842776,phi_u,233.9929501664187,233.9929501664187
-0.15,251.99240787152786,144.37854740111996,2.1656994170898938,peak,true,54.456119789328675,phi_u,251.99240787152786,251.99240787152786
-0.15,269.99186557663694,136.09941418591407,1.9434532645257105,peak,true,949.3525504274569,phi_u,269.99186557663694,269.99186557663694
-0.1,0.0,197.03283433005404,0.0,peak,true,10.587963791848173,phi_u,0.0,0.0
-0.1,18.489688312968067,196.77233192316726,0.3334056695761959,peak,true,10.604688562706968,phi_u,18.489688312968067,18.489688312968067
-0.1,36.97937662593613,195.99511726533228,0.6606483102901398,peak,true,10.656454436619146,phi_u,36.97937662593613,36.97937662593613
-0.1,55.4690649389042,194.68995228117356,0.9753893495399691,peak,true,10.748281880559107,phi_u,55.4690649389042,55.4690649389042
-0.1,73.95875325187227,192.86030972696622,1.2717655145778861,peak,true,10.889384632531094,phi_u,73.95875325187227,73.95875325187227
-0.1,92.44844156484032,190.48106050223416,1.5429143887868868,peak,true,11.09471397350189,phi_u,92.44844156484032,92.44844156484032
-0.1,110.9381298778084,187.55915011952774,1.7836478281980892,peak,true,11.387732494133019,phi_u,110.9381298778084,110.9381298778084
-0.1,129.42781819077646,184.05739159644506,1.9862786154381478,peak,true,11.805449232599809,phi_u,129.42781819077646,129.42781819077646
-0.1,147.91750650374453,179.98784281491191,2.146798064439356,peak,true,12.407816061459737,phi_u,147.91750650374453,147.91750650374453
-0.1,166.40719481671258,175.32802762417725,2.2589870030811343,peak,true,13.296194495556758,phi_u,166.40719481671258,166.40719481671258
-0.1,184.89688312968065,170.08918409961657,2.320574182916524,peak,true,14.652695262445077,phi_u,184.89688312968065,184.89688312968065
-0.1,203.38657144264872,164.27825775378008,2.330879811625157,peak,true,16.83390073388054,phi_u,203.38657144264872,203.38657144264872
-0.1,221.8762597556168,157.92814300624428,2.2985630753899335,peak,true,20.640404222016535,phi_u,221.8762597556168,221.8762597556168
-0.1,240.36594806858486,150.98776184950697,2.2312756285734223,peak,true,28.376207200581113,phi_u,240.36594806858486,240.36594806858486
-0.1,258.8556363815529,143.29182237913554,2.1365647815470976,peak,true,51.28425050066441,phi_u,258.8556363815529,258.8556363815529
-0.1,277.34532469452097,134.47501322351394,2.115691090944246,peak,true,1379.0336256422909,phi_u,277.34532469452097,277.34532469452097
-0.05,0.0,198.62363082157552,0.0,peak,true,10.126423914100297,phi_u,0.0,0.0
-0.05,18.960283860512344,198.35618290213858,0.3413476590451137,peak,true,10.141474826654708,phi_u,18.960283860512344,18.960283860512344
-0.05,37.92056772102469,197.5383085056267,0.6760809309463908,peak,true,10.188143602965162,phi_u,37.92056772102469,37.92056772102469
-0.05,56.88085158153703,196.1785927576906,0.997871659270715,peak,true,10.271189449009157,phi_u,56.88085158153703,56.88085158153703
-0.05,75.84113544204938,194.2572124573041,1.2998490882017957,peak,true,10.399373235187241,phi_u,75.84113544204938,75.84113544204938
-0.05,94.80141930256171,191.76804189846712,1.5755340110272802,peak,true,10.586927677056513,phi_u,94.80141930256171,94.80141930256171
-0.05,113.76170316307406,188.69902319925393,1.8184477765172893,peak,true,10.856257065762248,phi_u,113.76170316307406,113.76170316307406
-0.05,132.7219870235864,185.032792578289,2.021957483657635,peak,true,11.242813957530329,phi_u,132.7219870235864,132.7219870235864
-0.05,151.68227088409876,180.75811196019663,2.1800973095082132,peak,true,11.80422926514288,phi_u,151.68227088409876,151.68227088409876
-0.05,170.64255474461106,175.855977950501,2.286457007011691,peak,true,12.638272691548547,phi_u,170.64255474461106,170.64255474461106
-0.05,189.60283860512342,170.33844843112777,2.3383362039346274,peak,true,13.920790085318721,phi_u,189.60283860512342,189.60283860512342
-0.05,208.5631224656358,164.22635993972762,2.3365370091875253,peak,true,15.994973884646368,phi_u,208.5631224656358,208.5631224656358
-0.05,227.52340632614812,157.55424650897749,2.2905111852100197,peak,true,19.624161648075155,phi_u,227.52340632614812,227.52340632614812
-0.05,246.48369018666043,150.27633603082492,2.2127818638084378,peak,true,26.979994060099624,phi_u,246.48369018666043,246.48369018666043
-0.05,265.4439740471728,142.17013288733514,2.1092829885739306,peak,true,48.598679690731565,phi_u,265.4439740471728,265.4439740471728
-0.05,284.4042579076851,132.7734755913373,1.947519557559542,peak,true,10014.852105755057,phi_u,284.4042579076851,284.4042579076851
0.0,0.0,200.15640379304457,0.0,peak,true,9.717598737924988,phi_u,0.0,0.0
0.0,19.41370096438001,199.87771779823203,0.3489749163944946,peak,true,9.731190790211059,phi_u,19.41370096438001,19.41370096438001
0.0,38.82740192876002,199.02347622586856,0.690971764053174,peak,true,9.77341364388057,phi_u,38.82740192876002,38.82740192876002
0.0,58.24110289314003,197.59715183222937,1.0191122599422284,peak,true,9.848802697117286,phi_u,58.24110289314003,58.24110289314003
0.0,77.65480385752004,195.59874461731437,1.3268904071210534,peak,true,9.96572772906209,phi_u,77.65480385752004,77.65480385752004
0.0,97.06850482190005,193.0031254806476,1.6069712324349283,peak,true,10.137805001170571,phi_u,97.06850482190005,97.06850482190005
0.0,116.48220578628006,189.7878182714779,1.8518084101003351,peak,true,10.386536441515625,phi_u,116.48220578628006,116.48220578628006
0.0,135.8959067506601,185.95282298980533,2.055483429103839,peak,true,10.746074717627238,phi_u,135.8959067506601,135.8959067506601
0.0,155.30960771504007,181.4764832914289,2.211120920919743,peak,true,11.272157773260885,phi_u,155.30960771504007,155.30960771504007
0.0,174.72330867942011,176.33632302559764,2.3116945928417243,peak,true,12.059723797465326,phi_u,174.72330867942011,174.72330867942011
0.0,194.1370096438001,170.54358026768693,2.3539417554216118,peak,true,13.279826255111773,phi_u,194.1370096438001,194.1370096438001
0.0,213.55071060818014,164.13114943727336,2.3397777722651507,peak,true,15.265130749530469,phi_u,213.55071060818014,213.55071060818014
0.0,232.96441157256012,157.13969027303378,2.2800860677640356,peak,true,18.747326841795775,phi_u,232.96441157256012,232.96441157256012
0.0,252.37811253694014,149.5285430362913,2.192774120323707,peak,true,25.780157955617373,phi_u,252.37811253694014,252.37811253694014
0.0,271.7918135013202,141.00431090058268,2.0808467793728185,peak,true,46.272528095868815,phi_u,271.7918135013202,271.7918135013202
0.0,291.20551446570016,130.99532094790726,1.869792039646817,peak,true,2065.3944723794893,phi_u,291.20551446570016,291.20551446570016
0.05,0.0,201.62752391906702,0.0,peak,true,9.352577474009152,phi_u,0.0,0.0
0.05,19.846432509301568,201.34068674334569,0.35620646850682564,peak,true,9.364880634098558,phi_u,19.846432509301568,19.846432509301568
0.05,39.692865018603136,200.45084971874735,0.7050751692251427,peak,true,9.403167049077563,phi_u,39.692865018603136,39.692865018603136
0.05,59.53929752790471,198.97267559398924,1.039626847210079,peak,true,9.471780198025154,phi_u,59.53929752790471,59.53929752790471
0.05,79.38573003720627,196.89063626899556,1.3526065477053886,peak,true,9.578729436573145,phi_u,79.38573003720627,79.38573003720627
0.05,99.23216254650785,194.1855379565113,1.6364827150342305,peak,true,9.737087664881082,phi_u,99.23216254650785,99.23216254650785
