T_MeV,T_fm,converged,status,error,meson,omega,q,xi,temperature,eta,fd_step,scheme,reD,imD,phase,weighted_phase,dReD_domega,dImD_domega,dReD_fd,dImD_fd,dphase_ad,dphase_formula,dphase_fd,dphase_raw_fd,dphase_abs_diff,dphase_formula_abs_diff,dphase_raw_fd_abs_diff,dweighted_ad,dweighted_fd,dweighted_abs_diff
208.0,1.0540879892773143,true,ok,,K,1.0,1.0,0.0,1.0540879892773143,1.0e-6,1.0e-5,phase_shift_current,0.836352043062586,0.4939280967641404,0.5334600760126879,0.5334600760126879,0.2925245115358601,-0.21768382616158585,0.32228978528170416,0.21882496982067454,-0.346119550795508,-0.346119550795508,0.025254902527409796,0.18025823540768202,0.3713744533229178,0.0,0.52637778620319,-0.346119550795508,0.18025823540768202,0.52637778620319
210.0,1.064223450712673,true,ok,,pi,0.3,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,6.348767515693394,-4.118562149574005e-6,-6.48718375557592e-7,-6.48718375557592e-7,4.213613363226793,-1.982911208887584e-5,4.213613365022795,-1.9829112098961342e-5,-2.69275314151756e-6,-2.6927531415175588e-6,-2.6927531429226196e-6,-2.692753142265179e-6,1.4050595234548543e-15,1.2705494208814505e-21,7.476188078174312e-16,-2.69275314151756e-6,-2.692753142265179e-6,7.476188078174312e-16
210.0,1.064223450712673,true,ok,,pi,0.6,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,9.457576324380502,-2.0006802754336662e-5,-2.115425989503428e-6,-2.115425989503428e-6,23.449734850821965,-0.0001440334686819883,23.449734896097137,-0.00014403346915935992,-9.984301145704347e-6,-9.98430114570436e-6,-9.98430118605247e-6,-9.984301165471723e-6,4.034812306312474e-14,1.1858461261560205e-20,1.9767375602597163e-14,-9.984301145704347e-6,-9.984301165471723e-6,1.9767375602597163e-14
210.0,1.064223450712673,true,ok,,pi,1.0,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,-8.925141752832449,15.345909684275131,2.0975746207225843,2.0975746207225843,-25.066417804363056,-75.09547183515288,-7.540590790089396,-132.35650158627266,3.347255738674289,3.3472557386742827,4.115490329962792,4.115490304612557,0.7682345912885027,6.217248937900877e-15,0.7682345659382679,3.347255738674289,4.115490304612557,0.7682345659382679
210.0,1.064223450712673,true,ok,,pi,0.3,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,4.8683730290947285,0.15171306568057275,0.03115290924336298,0.03115290924336298,4.476153818458711,-0.2907927380491011,3.027863081195292,0.32305112383362866,-0.08829759369203616,-0.08829759369203613,0.04692984197721453,0.046929841992712766,0.1352274356692507,2.7755575615628914e-17,0.13522743568474893,-0.08829759369203616,0.046929841992712766,0.13522743568474893
210.0,1.064223450712673,true,ok,,pi,0.6,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,6.379280612048526,-7.13887266834652e-6,-1.119071742174247e-6,-1.119071742174247e-6,8.342766085007177,-4.3703811396772916e-5,8.342766089253217,-4.370381146991911e-5,-5.3873876553595605e-6,-5.3873876553595546e-6,-5.3873876660809164e-6,-5.3873876638519814e-6,1.0721355952288038e-14,5.929230630780102e-21,8.492420938840343e-15,-5.3873876553595605e-6,-5.3873876638519814e-6,8.492420938840343e-15
210.0,1.064223450712673,true,ok,,pi,1.0,0.5,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,15.386135836553006,22.098910925968738,0.9625986143668687,0.9625986143668687,-147.99542116235324,230.14588088070732,-217.75770038310324,214.24554324855902,9.394069795707857,9.394069795707871,11.182836189237635,11.182836274192807,1.7887663935297784,1.4210854715202004e-14,1.7887664784849502,9.394069795707857,11.182836274192807,1.7887664784849502
210.0,1.064223450712673,true,ok,,pi,0.3,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,2.7931534835174583,0.17371411911770604,0.06211282913751294,0.06211282913751294,1.3744192371470998,0.05619206200032395,0.9643048832552735,0.6036206802992328,-0.01044486665473347,-0.01044486665473348,0.1938859195005248,0.1938859194892256,0.20433078615525826,1.0408340855860843e-17,0.20433078614395905,-0.01044486665473347,0.1938859194892256,0.20433078614395905
210.0,1.064223450712673,true,ok,,pi,0.6,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,3.3119283615162423,0.36551557285773284,0.1099185376766929,0.1099185376766929,3.8475101005435226,0.15747001270711525,2.754385667391723,0.6599700896142702,-0.07969356090820802,-0.07969356090820802,0.10619282781473402,0.10619282782287075,0.18588638872294205,0.0,0.18588638873107877,-0.07969356090820802,0.10619282782287075,0.18588638873107877
210.0,1.064223450712673,true,ok,,pi,1.0,1.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,5.785767465013604,6.32618249544774e-20,1.093404208465344e-20,1.093404208465344e-20,-3.0323324034917926e-10,-0.0006063399570484762,-5.39523981046841e-6,-0.0006063405896356816,-0.00010479853549507468,-0.00010479853549507462,-0.00010479864483012985,-0.00010479864373185343,1.0933505516967992e-10,6.776263578034403e-20,1.0823677875195295e-10,-0.00010479853549507468,-0.00010479864373185343,1.0823677875195295e-10
210.0,1.064223450712673,true,ok,,K,0.3,0.0,0.0,1.064223450712673,1.0e-6,1.0e-5,phase_shift_current,1.2879406914112677,-4.563374691555197e-8,-3.5431559247925105e-8,-3.5431559247925105e-8,0.1897114421408925,-1.3403265092498303e-7,0.18971144225554679,-1.3403265088312224e-7,-9.884840161642616e-8,-9.884840161642612e-8,-9.884840158076986e-8,-9.884840157859584e-8,3.5656301900923e-17,3.970466940254533e-23,3.783031783916957e-17,-9.884840161642616e-8,-9.884840157859584e-8,3.783031783916957e-17
