T_MeV,xi,method,m0,g0,mass,gamma,residual,converged
255.0,-0.3,trust_region,2.64,2.44,2.614544537278058,1.221751406869361,0.06476314182035708,false
255.0,-0.3,newton,2.64,2.46,2.678741664492586,2.542262340415963,0.141216194717433,false
255.0,-0.3,trust_region,2.64,2.46,2.6141793560413986,1.220312230821067,0.0648433692738519,false
255.0,-0.3,newton,2.64,2.48,2.586036810826089,2.5237491244282073,0.11652120100636948,false
255.0,-0.3,trust_region,2.64,2.48,2.620252865683401,1.2450028191634046,0.06348226755106079,false
255.0,-0.3,newton,2.64,2.5,2.8032174390116844,-0.8683533966140198,0.17082950161141636,false
255.0,-0.3,trust_region,2.64,2.5,2.6168431247979616,1.2309499042370688,0.06425321494922429,false
255.0,-0.3,newton,2.64,2.52,3.5760453045335483,-1.478428818033073,0.3125774065086789,false
255.0,-0.3,trust_region,2.64,2.52,2.616677296775272,1.2302822584550064,0.06429015538064896,false
255.0,-0.3,newton,2.64,2.54,3.598353628936448,-1.459539119768468,0.31617306371377735,false
255.0,-0.3,trust_region,2.64,2.54,2.5091018614886327,0.9272336104409439,0.08340753234897053,false
255.0,-0.3,newton,2.64,2.56,2.6068373654694157,2.5398262132508957,0.12124830072972356,false
