T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
60.000000,1.600000,0.000000,352.782270,352.782270,352.782270,352.782270,1058.346809,0.000000,0.000000,21.605438,0.230050,-20.162453,0.383058,0.383058,0.001884,-0.828743,-0.828743,-2.105910,0.044841,0.075145,166.473475,166.473475,480.738736,3,0.000000,true,
60.000000,1.550000,0.000000,349.941074,349.941074,349.941074,349.941074,1049.823221,0.000000,0.000000,21.594554,0.214144,-20.210025,0.371167,0.371167,0.001666,-0.866343,-0.866343,-2.109411,0.043171,0.071019,173.832786,173.832786,482.456666,3,0.000000,true,
60.000000,1.500000,0.000000,347.204575,347.204575,347.204575,347.204575,1041.613724,0.000000,0.000000,21.584399,0.204918,-20.255222,0.359252,0.359252,0.001496,-0.905456,-0.905456,-2.113108,0.042232,0.067559,181.494092,181.494092,484.307315,3,0.000000,true,
60.000000,1.450000,0.000000,345.040817,345.040817,345.040817,345.040817,1035.122450,0.000000,0.000000,21.576628,0.202427,-20.298070,0.347311,0.347311,0.001377,-0.945804,-0.945804,-2.116980,0.041984,0.065082,189.403975,189.403975,486.284567,3,0.000000,true,
60.000000,1.400000,0.000000,343.711103,343.711103,343.711103,343.711103,1031.133308,0.000000,0.000000,21.572010,0.204892,-20.339196,0.335349,0.335349,0.001302,-0.986663,-0.986663,-2.120977,0.042194,0.063583,197.421258,197.421258,488.359660,3,0.000000,true,
60.000000,1.350000,0.000000,343.198577,343.198577,343.198577,343.198577,1029.595730,0.000000,0.000000,21.570288,0.210090,-20.379381,0.323372,0.323372,0.001256,-1.027305,-1.027305,-2.125042,0.042609,0.062831,205.403650,205.403650,490.498752,3,0.000000,true,
60.000000,1.300000,0.000000,343.351478,343.351478,343.351478,343.351478,1030.054434,0.000000,0.000000,21.570775,0.216353,-20.419222,0.311386,0.311386,0.001228,-1.067250,-1.067250,-2.129135,0.043057,0.062570,213.257136,213.257136,492.675567,3,0.000000,true,
60.000000,1.250000,0.000000,344.003176,344.003176,344.003176,344.003176,1032.009527,0.000000,0.000000,21.572792,0.222663,-20.459099,0.299395,0.299395,0.001210,-1.106255,-1.106255,-2.133229,0.043442,0.062602,220.933312,220.933312,494.872908,3,0.000000,true,
60.000000,1.200000,0.000000,345.015125,345.015125,345.015125,345.015125,1035.045375,0.000000,0.000000,21.575804,0.228447,-20.499238,0.287401,0.287401,0.001197,-1.144220,-1.144220,-2.137307,0.043718,0.062793,228.412679,228.412679,497.080128,3,0.000000,true,
60.000000,1.150000,0.000000,346.281508,346.281508,346.281508,346.281508,1038.844525,0.000000,0.000000,21.579421,0.233390,-20.539773,0.275406,0.275406,0.001187,-1.181131,-1.181131,-2.141362,0.043862,0.063055,235.691621,235.691621,499.290700,3,0.000000,true,
