window_id,channel,xi,ds,s_value,den_simple_re,den_simple_im,detM_re,detM_im,invabs_den_simple,invabs_detM,abs_D_simple_sq,abs_D_mixed_sq,abs_D_total_sq,sigma
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.02,0.8592861659958834,-0.0018364246614215318,-0.0033103469463747173,0.003352877255008081,-2.339113717728618e-5,69779.51967727246,88949.50871084142,15551.88726116802,0.9898156652153242,15434.018909699444,87.53654012319113
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.05,0.8892861659958834,-0.004528765503492682,-0.005424109012857161,0.003327655366424081,-3.825993733513801e-5,20027.7682728008,90295.45889123112,4463.6247958129425,1.0012735023796042,4380.118515771515,25.816354629266904
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.1,0.9392861659958833,-0.008998118032029767,-0.00811820236999193,0.003285866864228321,-5.7095192092395824e-5,6808.680405020384,92591.04160353776,1517.4628679865614,1.020712477784949,1460.9666013938931,9.189242364636515
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.2,1.0392861659958834,-0.01786969908705416,-0.012743721127434642,0.003203217789031365,-8.909636079748144e-5,2075.857764576488,97384.80539967139,462.6501597348792,1.0608982590219391,428.3650716329483,3.091500402547234
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,0.5,1.3392861659958832,-0.04394663210634331,-0.026107996838120776,0.00296264980488252,-0.00017923163162894535,382.7115459352649,113514.87892749057,85.29561171328858,1.192312584494881,69.80161055285629,1.0988139586374095
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,1.0,1.8392861659958832,-0.08561255235131915,-0.050810403927842265,0.002585977541714999,-0.0003378297755136377,100.89589228784442,147028.3626369648,22.48684928231947,1.4485943892638493,14.956652213881705,1.3071739449544089
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.31,2.0,2.8392861659958832,-0.1622194213017203,-0.11026209171961993,0.0019208774022508096,-0.0006829943347341471,25.992342461900673,240601.43106481244,5.792960190764971,2.057477423645224,3.7703021049323753,0.3522671686298347
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.32,0.0001,0.8733430389888266,-0.004131329685801655,-0.00023768215749914824,0.0033312357907099624,-1.6770176266143405e-6,58396.28235265919,90113.35146601322,13019.850150282193,1.000211908390282,12793.000474416584,73.50071451714578
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.32,0.0005,0.8737430389888265,-0.0041673286177006386,-0.0005317272998371089,0.0033308991824042545,-3.7516288925273106e-6,56659.272745254726,90131.47393149316,12632.57198998009,1.0003663767313806,12410.582050482526,71.34026953156227
mode_b_T200p0_muB450p0_xip0p31_1,uubar_to_uubar,0.32,0.001,0.8742430389888266,-0.004212326669069455,-0.0007524246812896889,0.003330478440079546,-5.308615609307856e-6,54615.44512821796,90154.13346475942,12176.886658060286,1.0005595072301807,11960.62953111444,68.79802574747453
