xi,T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark,curve_parameter,plot_order_key
-0.1125,111.0,317.3727977018093,308.3862697644767,1.0078541533756216,2.220187192910479,111.0,111.0
-0.1125,112.0,315.9370380980132,307.3923678064533,1.0281883573131654,2.2273059554673273,112.0,112.0
-0.1125,113.0,314.4738958462093,306.3707716271542,1.0492083614634617,2.234311176435047,113.0,113.0
-0.1125,114.0,312.9830215453665,305.32086859293906,1.0709234155147584,2.241160881856916,114.0,114.0
-0.1125,115.0,311.464083544674,304.2420462824449,1.0934023958644963,2.2478254726914524,115.0,115.0
-0.1125,116.0,309.91677789665675,303.13367125518664,1.1166774596764524,2.2542639305477223,116.0,116.0
-0.1125,117.0,308.3408258554206,301.99510087005916,1.1408154004230622,2.260428485389993,117.0,117.0
-0.1125,118.0,306.73598221394224,300.8256776262875,1.1658864683630303,2.2662659402067624,118.0,118.0
-0.1125,119.0,305.10204354846275,299.62472985159104,1.1919645442706328,2.271713027208982,119.0,119.0
-0.1125,120.0,303.43885663771886,298.3915550305128,1.2191294720007937,2.2766863583785644,120.0,120.0
-0.1125,121.0,301.7463271924935,297.1254339266242,1.2474694812695726,2.28111987147625,121.0,121.0
-0.1125,122.0,300.02444027718883,295.8256129814716,1.277119684060219,2.2849278186317843,122.0,122.0
-0.1125,123.0,298.27326290379744,294.49130116831975,1.3082092336983981,2.2879643671227736,123.0,123.0
-0.1125,124.0,296.49297572170025,293.12165058645155,1.3408917979643817,2.290134242471342,124.0,124.0
-0.1125,125.0,294.6838938779049,291.71574953682654,1.3753821648607534,2.291242234552088,125.0,125.0
-0.1125,126.0,292.8464890026934,290.2726119288045,1.4118985415533594,2.2910992598555024,126.0,126.0
-0.1125,127.0,290.9814393215597,288.79113601109236,1.4507480046251755,2.2894386876168813,127.0,127.0
-0.1125,128.0,289.08967152452914,287.27006776686875,1.4923134097156254,2.28593395676472,128.0,128.0
-0.1125,129.0,287.1724374656234,285.70796304336915,1.537111107462029,2.2801246884632995,129.0,129.0
-0.1125,130.0,285.2314108985282,284.1030829649562,1.5858437251431707,2.2713718801967855,130.0,130.0
-0.1125,131.0,283.2688539353759,282.453252871643,1.6395787064037917,2.25865140253899,131.0,131.0
-0.1125,131.5,282.28043260421254,281.6106229675712,1.6688323340959828,2.2503156105744475,131.5,131.5
-0.1125,132.0,281.28789619761767,280.7556008707643,1.7000717598926849,2.2403050805995224,132.0,132.0
-0.1125,132.5,280.29186737085433,279.88762275701686,1.7337694306885552,2.2281101840245805,132.5,132.5
-0.1125,133.0,279.29313664361905,279.00597031147646,1.7706648851576718,2.213020908739399,133.0,133.0
-0.1,9.0,377.155775592726,339.3376152163247,0.20794170949010635,1.9000243506783543,9.0,9.0
-0.1,11.0,377.02225327345207,339.3090326220008,0.21113882054864228,1.90041036284899,11.0,11.0
-0.1,13.0,376.8582830025416,339.2736298534697,0.21504405226564655,1.9008895098500411,13.0,13.0
-0.1,15.0,376.6626000241479,339.2310080852004,0.2197150018866156,1.9014673505832071,15.0,15.0
-0.1,17.0,376.4343254191109,339.18075079454275,0.22506763468519925,1.9021496067560513,17.0,17.0
-0.1,19.0,376.1728624474058,339.1224200412846,0.2310643762419119,1.9029422129835503,19.0,19.0
-0.1,21.0,375.87789656913213,339.0555491921416,0.23764711184003967,1.9038460241785722,21.0,21.0
-0.1,23.0,375.54932498048345,338.9796544458151,0.24471780662538747,1.9048759127879813,23.0,23.0
-0.1,25.0,375.18718194104446,338.8942065184423,0.2522855760524446,1.9060275456123534,25.0,25.0
-0.1,27.0,374.79158993279344,338.7986478143889,0.26027251883298014,1.9073176702943824,27.0,27.0
-0.1,29.0,374.36266186326384,338.6923816717057,0.26864745397361417,1.9087462667116897,29.0,29.0
-0.1,31.0,373.90050247615295,338.57477492005785,0.2773372228756652,1.9103223300935663,31.0,31.0
-0.1,33.0,373.4051567321159,338.4451501005883,0.28635522906922206,1.9120524796921892,33.0,33.0
-0.1,35.0,372.8766022533788,338.30278845745374,0.29566475406064086,1.913951692498314,35.0,35.0
-0.1,37.0,372.31472498414297,338.14692364738426,0.3052646394497615,1.9160151235973075,37.0,37.0
-0.1,39.0,371.7193271367673,337.976744552912,0.3151294747031665,1.9182582376272266,39.0,39.0
-0.1,45.0,369.7285082826649,337.3714281040717,0.34632543670370497,1.9261651256791037,45.0,45.0
-0.1,47.0,368.9950358953335,337.13482243142306,0.3572867417344997,1.9292204474758567,47.0,47.0
-0.1,49.0,368.22553065492315,336.87903869436764,0.3685023974399987,1.932508148311643,49.0,49.0
-0.1,51.0,367.41920338046106,336.6029141184897,0.3799741874182208,1.93604593783141,51.0,51.0
-0.1,53.0,366.57514574342264,336.3052301992482,0.3917736354877304,1.93983498217832,53.0,53.0
-0.1,55.0,365.69234251310286,335.9846908741372,0.403888705580248,1.9438876775398417,55.0,55.0
-0.1,57.0,364.76968664188416,335.63992524112945,0.4163313848304927,1.9482287200170558,57.0,57.0
-0.1,59.0,363.8059594676682,335.2694844134535,0.4291352851998645,1.9528613524309655,59.0,59.0
-0.1,61.0,362.7998627599521,334.8718305362521,0.44229922482417716,1.9578038410173915,61.0,61.0
-0.1,63.0,361.7499748026429,334.4453438263563,0.45585362060305995,1.9630772456141088,63.0,63.0
-0.1,65.0,360.6547798877351,333.9883093445126,0.46981849286095767,1.968694691565285,65.0,65.0
-0.1,67.0,359.512653852447,333.4989170428877,0.4842119653533893,1.9746792866949077,67.0,67.0
-0.1,69.0,358.32188797061696,332.9752538124079,0.4991184495596354,1.9810264469373857,69.0,69.0
-0.1,71.0,357.0806730133147,332.41530247765616,0.5145080057236034,1.9877745486723162,71.0,71.0
-0.1,73.0,355.7870726665655,331.81693379176306,0.530455022126259,1.9949334992795327,73.0,73.0
-0.1,75.0,354.4390874239555,331.1779059653478,0.5469623551123761,2.0025213848617445,75.0,75.0
-0.1,77.0,353.03461267679313,330.49585357055594,0.5641238334711607,2.010546102297571,77.0,77.0
-0.1,79.0,351.5714202846489,329.7683002186757,0.5819468420847889,2.0190279721864877,79.0,79.0
-0.1,81.0,350.04721700262206,328.99263105473113,0.6004853401258129,2.0279897788304533,81.0,81.0
-0.1,83.0,348.4596058149573,328.16610122328325,0.6197932856055386,2.0374208633600954,83.0,83.0
-0.1,85.0,346.8060977007111,327.285839193488,0.6399225171325358,2.047357118546588,85.0,85.0
