xi,T_MeV,rho,muq_MeV,source,cap,result_status
-0.5,130.0,2.896875,245.778125,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.228125,202.246757,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.246875,202.246622,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.215625,202.246847,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.253125,202.246651,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.196875,202.246633,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.209375,202.246839,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.240625,202.246642,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.203125,202.246773,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.259375,202.24675,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.221875,202.246814,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.234375,202.246693,stage_c_selected,12,confirmed_first_order
-0.5,147.0947265625,2.190625,202.246401,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.059375,362.386819,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.890625,346.486308,stage_c_selected,12,confirmed_first_order
0.0,5.0,2.503125,360.986328,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.884375,346.487508,stage_c_selected,12,confirmed_first_order
0.0,5.0,2.509375,361.226823,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.053125,362.551677,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.065625,362.221925,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.896875,346.488426,stage_c_selected,12,confirmed_first_order
0.0,5.0,2.496875,360.746493,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.878125,346.491997,stage_c_selected,12,confirmed_first_order
0.0,5.0,2.515625,361.467952,stage_c_selected,12,confirmed_first_order
0.0,5.0,1.046875,362.716491,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.078125,361.569367,stage_c_selected,12,confirmed_first_order
0.0,20.0,2.496875,360.297548,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.890625,346.204817,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.896875,346.205059,stage_c_selected,12,confirmed_first_order
0.0,20.0,2.503125,360.53675,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.071875,361.732315,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.084375,361.406394,stage_c_selected,12,confirmed_first_order
0.0,20.0,2.490625,360.059049,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.884375,346.207858,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.903125,346.208615,stage_c_selected,12,confirmed_first_order
0.0,20.0,2.509375,360.776628,stage_c_selected,12,confirmed_first_order
0.0,20.0,1.065625,361.895226,stage_c_selected,12,confirmed_first_order
0.0,60.0,1.203125,354.006895,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,2.484375,353.433189,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.940625,342.248931,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.946875,342.250374,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,2.490625,353.655456,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.196875,354.145477,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.209375,353.868259,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,2.478125,353.211946,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.934375,342.250488,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.953125,342.254848,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,2.496875,353.878716,stage_c_selected,12,ambiguous_near_critical
0.0,60.0,1.190625,354.283993,stage_c_selected,12,ambiguous_near_critical
0.0,100.0,1.484375,331.434313,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.103125,326.072734,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.528125,331.227054,stage_c_selected,12,confirmed_first_order
0.0,100.0,0.865625,336.325075,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.109375,326.073438,stage_c_selected,12,confirmed_first_order
0.0,100.0,0.859375,336.324757,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.534375,331.378276,stage_c_selected,12,confirmed_first_order
0.0,100.0,1.478125,331.509037,stage_c_selected,12,confirmed_first_order
0.0,100.0,1.490625,331.359487,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.096875,326.07394,stage_c_selected,12,confirmed_first_order
0.0,100.0,2.521875,331.077605,stage_c_selected,12,confirmed_first_order
0.0,100.0,0.871875,336.323784,stage_c_selected,12,confirmed_first_order
0.0,120.0,1.746875,308.63748,stage_c_selected,12,confirmed_first_order
0.0,120.0,2.503125,308.600515,stage_c_selected,12,confirmed_first_order
0.0,120.0,2.203125,307.117041,stage_c_selected,12,confirmed_first_order
0.0,120.0,1.296875,309.98868,stage_c_selected,12,confirmed_first_order
0.0,120.0,0.959375,308.579554,stage_c_selected,12,confirmed_first_order
0.0,120.0,1.290625,309.988607,stage_c_selected,12,confirmed_first_order
0.0,120.0,2.196875,307.11741,stage_c_selected,12,confirmed_first_order
0.0,120.0,0.965625,308.638655,stage_c_selected,12,confirmed_first_order
0.0,120.0,2.509375,308.669483,stage_c_selected,12,confirmed_first_order
0.0,120.0,1.753125,308.608301,stage_c_selected,12,confirmed_first_order
0.0,120.0,1.740625,308.666597,stage_c_selected,12,confirmed_first_order
0.0,120.0,2.496875,308.533296,stage_c_selected,12,confirmed_first_order
0.0,130.9619140625,1.990625,291.26123,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,2.015625,291.261784,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.871875,291.261963,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.909375,291.263115,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.903125,291.263113,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.946875,291.262253,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.953125,291.262045,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.996875,291.261253,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.865625,291.261447,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,2.021875,291.262147,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,1.984375,291.261268,stage_c_selected,12,ambiguous_near_critical
0.0,130.9619140625,2.009375,291.26152,stage_c_selected,12,ambiguous_near_critical
0.5,5.0,1.071875,379.026335,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.740625,373.737006,stage_c_selected,12,confirmed_first_order
0.5,5.0,2.209375,378.993521,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.734375,373.737674,stage_c_selected,12,confirmed_first_order
0.5,5.0,2.203125,378.844647,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.065625,379.100999,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.078125,378.951749,stage_c_selected,12,confirmed_first_order
0.5,5.0,1.746875,373.737805,stage_c_selected,12,confirmed_first_order
0.5,5.0,2.215625,379.144543,stage_c_selected,12,confirmed_first_order
