T_MeV,mu_MeV,eB_MeV2,status,reason,omega_fm4,pressure_fm4,baryon_rho0,n_max,nmax_rel_diff
160.000000,240.000000,8000.000000,pass,,-2.1782812177201311e+01,2.1782812177201311e+01,1.5044527314394494e+00,72,1.0759074345664721e-02
160.000000,240.000000,15000.000000,pass,,-2.1766952147524002e+01,2.1766952147524002e+01,1.5081289734731369e+00,38,1.6682311279570216e-02
160.000000,240.000000,25000.000000,pass,,-2.1830101535561329e+01,2.1830101535561329e+01,1.5174264090407961e+00,23,1.8773106981480131e-02
160.000000,240.000000,35000.000000,pass,,-2.1769320243801062e+01,2.1769320243801062e+01,1.5311969650715365e+00,16,2.3298618889631334e-02
175.000000,0.000000,8000.000000,pass,,-2.1319660866240053e+01,2.1319660866240053e+01,0.0000000000000000e+00,72,1.0853490494329945e-02
175.000000,0.000000,15000.000000,pass,,-2.1302410632799905e+01,2.1302410632799905e+01,0.0000000000000000e+00,38,1.6803574303261154e-02
175.000000,0.000000,25000.000000,pass,,-2.1361022469205363e+01,2.1361022469205363e+01,0.0000000000000000e+00,23,1.8839958714739018e-02
175.000000,0.000000,35000.000000,pass,,-2.1295175899755808e+01,2.1295175899755808e+01,0.0000000000000000e+00,16,2.3363842948970787e-02
175.000000,60.000000,8000.000000,pass,,-2.1353048738663450e+01,2.1353048738663450e+01,1.5168751492434684e-01,72,1.0855655275560436e-02
175.000000,60.000000,15000.000000,pass,,-2.1335936858254993e+01,2.1335936858254993e+01,1.5557416537095242e-01,38,1.6810943641958478e-02
175.000000,60.000000,25000.000000,pass,,-2.1395030990760400e+01,2.1395030990760400e+01,1.6475803567409686e-01,23,1.8859959254146956e-02
175.000000,60.000000,35000.000000,pass,,-2.1329653313465933e+01,2.1329653313465933e+01,1.7747809593056629e-01,16,2.3392439347698954e-02
175.000000,120.000000,8000.000000,pass,,-2.1460134502519683e+01,2.1460134502519683e+01,3.9911569627064891e-01,72,1.0861217844141104e-02
175.000000,120.000000,15000.000000,pass,,-2.1443356912406358e+01,2.1443356912406358e+01,4.0431035376236329e-01,38,1.6832130804132733e-02
175.000000,120.000000,25000.000000,pass,,-2.1503738027433599e+01,2.1503738027433599e+01,4.1726865326299734e-01,23,1.8920389616686732e-02
175.000000,120.000000,35000.000000,pass,,-2.1439535888305674e+01,2.1439535888305674e+01,4.3647239919989667e-01,16,2.3479458195940897e-02
175.000000,180.000000,8000.000000,pass,,-2.1661901991719080e+01,2.1661901991719080e+01,8.4832972562177400e-01,72,1.0867804842553733e-02
175.000000,180.000000,15000.000000,pass,,-2.1645492862151169e+01,2.1645492862151169e+01,8.5297013543098410e-01,38,1.6864981748236280e-02
175.000000,180.000000,25000.000000,pass,,-2.1707644972590344e+01,2.1707644972590344e+01,8.6472153702472943e-01,23,1.9023137557628744e-02
175.000000,180.000000,35000.000000,pass,,-2.1644784189939855e+01,2.1644784189939855e+01,8.8259730457498409e-01,16,2.3629180759717646e-02
175.000000,240.000000,8000.000000,pass,,-2.1993682696117961e+01,2.1993682696117961e+01,1.6121351945271314e+00,72,1.0873218238865997e-02
175.000000,240.000000,15000.000000,pass,,-2.1977548126301048e+01,2.1977548126301048e+01,1.6157961273906090e+00,38,1.6908575161338268e-02
175.000000,240.000000,25000.000000,pass,,-2.2041752844437035e+01,2.2041752844437035e+01,1.6251999245455759e+00,23,1.9174237636657019e-02
175.000000,240.000000,35000.000000,pass,,-2.1979884062134698e+01,2.1979884062134698e+01,1.6389621499346254e+00,16,2.3851931401834260e-02
