center_xi,scenario,sigma_grid_n,adaptive_refinement,species,xi,process,apply_s_cut_requested,apply_s_cut_effective,disabled_by_scenario,sigma_cutoff,cache_n_points,cache_s_min,cache_s_max,cache_sigma_min,cache_sigma_max,cache_sigma_mean,s_peak,s_peak_minus_bo,cache_asym_enabled,cache_asym_s0,cache_asym_A,s_bo,s_up,rate
0.06,baseline,256,true,u,0.04,ssbar_to_uubar,true,true,false,3.0522942112582996,256,22.488699745268537,42.608857442901815,0.19990796414161777,3170.0429282893256,12.654332866572876,22.488699745268537,3.5665166819853766e-8,false,0.0,0.0,22.48869970960337,42.612326274430224,1.6227390063598797
0.06,baseline,256,true,u,0.04,ubarubar_to_ubarubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.09915020720380799,0.1349671106617782,0.1171108602085625,42.246450194910885,36.900123728804346,false,0.0,0.0,5.346326466106536,42.612326274430224,0.15754189597144172
0.06,baseline,256,true,u,0.04,ubarsbar_to_ubarsbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11698053874578236,0.28364341514611946,0.19450847829922868,13.264979269353885,0.8237066414150078,false,0.0,0.0,12.441272627938877,50.822128781293436,0.20030439887270585
0.06,baseline,256,true,u,0.04,dubar_to_dubar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.03054291896030063,0.37135765586329456,0.2722685711053559,11.055696090287729,5.709369624181193,false,0.0,0.0,5.346326466106536,42.612326274430224,0.29607259779291
0.06,baseline,256,true,u,0.04,uubar_to_ssbar,true,true,false,3.0522942112582996,256,22.49074516637564,42.246450194910885,0.0015773385303758886,0.10701013921468304,0.057166280069681885,42.246450194910885,19.757750485307515,false,0.0,0.0,22.48869970960337,42.612326274430224,0.03434891589787079
0.06,baseline,256,true,u,0.04,us_to_us,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.11698053874578236,0.28364341514611946,0.19450847829922868,13.264979269353885,0.8237066414150078,false,0.0,0.0,12.441272627938877,50.822128781293436,0.20030439887270585
0.06,baseline,256,true,u,0.04,ssbar_to_ssbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.16760203296952036,0.42498264055341184,0.335736304276254,28.388787918828502,5.900088209225132,false,0.0,0.0,22.48869970960337,59.754699517927065,0.26320794157378125
0.06,baseline,256,true,u,0.04,uubar_to_ddbar,true,true,false,3.0522942112582996,256,5.3463265017717045,42.246450194910885,0.14190700190845856,0.8341549395560299,0.21046352714012745,5.3463265017717045,3.5665168596210606e-8,false,0.0,0.0,5.346326466106536,42.612326274430224,0.24537525988881323
0.06,baseline,256,true,u,0.04,sbarsbar_to_sbarsbar,true,true,false,3.0522942112582996,256,22.488699745268537,59.38882343840773,0.07043920669432062,0.11726558882267472,0.07942519290721363,59.38882343840773,36.90012372880436,false,0.0,0.0,22.48869970960337,59.754699517927065,0.08038354802153515
0.06,baseline,256,true,u,0.04,usbar_to_usbar,true,true,false,3.0522942112582996,256,12.441288537557085,50.45530157882119,0.026584220151914903,0.3845117409631291,0.2698959122754864,18.315815705828424,5.874543077889546,false,0.0,0.0,12.441272627938877,50.822128781293436,0.232937838789782
