# git_commit: f196bce86483267108100538d0befbf4ca99803a
# script: scripts/relaxtime/run_gap_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/scan/_ab_fullcoupled_t190_sigma128_ch.csv
# title: gap_transport_scan_channel_diagnostics
# schema: scan_csv_v1
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
190.0,0.0,0.0,-0.08,u,uu_to_uu,u,1.0,0.24341280644978802,0.15801364466123582,0.038462544704350975,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,ud_to_ud,u,1.0,0.24341280644978802,0.20502590971649745,0.049905932079013504,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,uubar_to_uubar,ubar,1.0,0.24341280644978802,0.5508170990018814,0.13407593590857866,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,uubar_to_ddbar,ubar,1.0,0.24341280644978802,0.293389338254298,0.07141472220692484,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,uubar_to_ssbar,ubar,1.0,0.24341280644978802,0.032144761695446826,0.007824446656948357,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,udbar_to_udbar,ubar,1.0,0.24341280644978802,0.30843045578116707,0.07507592283628112,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,us_to_us,s,1.0,0.12294920757776222,0.19875980865483422,0.02443736097241951,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,u,usbar_to_usbar,sbar,1.0,0.12294920757776222,0.24079361862956083,0.029605384600286385,0.4308022499648034,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,uu_to_uu,d,1.0,0.24341280644978816,0.15801364466123582,0.038462544704350995,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,ud_to_ud,d,1.0,0.24341280644978816,0.20502590971649745,0.04990593207901354,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,uubar_to_uubar,dbar,1.0,0.24341280644978816,0.5508170990018814,0.13407593590857875,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,uubar_to_ddbar,dbar,1.0,0.24341280644978816,0.293389338254298,0.07141472220692488,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,uubar_to_ssbar,dbar,1.0,0.24341280644978816,0.032144761695446826,0.007824446656948363,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,udbar_to_udbar,dbar,1.0,0.24341280644978816,0.30843045578116707,0.07507592283628116,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,us_to_us,s,1.0,0.12294920757776222,0.19875980865483422,0.02443736097241951,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,d,usbar_to_usbar,sbar,1.0,0.12294920757776222,0.24079361862956083,0.029605384600286385,0.4308022499648036,0.4308022499648034,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,s,us_to_us,u,2.0,0.24341280644978802,0.19875980865483422,0.09676136566819213,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,s,usbar_to_usbar,ubar,2.0,0.24341280644978802,0.24079361862956083,0.11722450097164272,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,s,ss_to_ss,s,1.0,0.12294920757776222,0.07796946048612101,0.009586283382034221,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,s,ssbar_to_ssbar,sbar,1.0,0.12294920757776222,0.2602154501098627,0.03199328339049834,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,s,ssbar_to_uubar,sbar,2.0,0.12294920757776222,0.137825913180007,0.03389117361832663,0.289456607030694,0.28945660703069404,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,uubar_to_uubar,u,1.0,0.24341280644978802,0.5508170990018814,0.13407593590857866,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,uubar_to_ddbar,u,1.0,0.24341280644978802,0.293389338254298,0.07141472220692484,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,uubar_to_ssbar,u,1.0,0.24341280644978802,0.032144761695446826,0.007824446656948357,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,dubar_to_dubar,u,1.0,0.24341280644978802,0.3084304557794863,0.075075922835872,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
190.0,0.0,0.0,-0.08,ubar,ubardbar_to_ubardbar,ubar,1.0,0.24341280644978802,0.20502590971649745,0.049905932079013504,0.43080224996439453,0.4308022499643946,models,hadron,crossover_possible
