# sigma_grid_n: 128
# provenance.equilibrium_backend: TransportWorkflow.EquilibriumFacade.solve_equilibrium_backend(:models)
# provenance.tau_path: TransportWorkflow.solve_gap_and_transport
# x_unit: MeV
# gc_every_n: 5
# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# schema: scan_csv_v1
# provenance.entrypoint: workflow
# y_unit.tau_sbar: fm
# git_commit: 9765c65b60195aa39b55f1db62e2d0bda6505c80
# provenance.integration_mode: semi_infinite
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_scale.tau_u: log
# title: relaxation_times_vs_T
# y_scale.tau_ubar: log
# integration_mode: semi_infinite
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,integration_mode,gc_every_n
265.0,0.0,0.0,0.0,1.34294864018504,0.0,true,missing,missing,0.7899015188795457,0.7899015188795457,0.06291434647859709,1.4047542537615267,1.0802353093081352,0.8780854223773105,1.0802353093081352,0.8780854223773105,0.5806296557711725,0.6511738067300997,0.5806296557711794,0.6511738067300997,1.7222682135858771,1.5356883057405941,1.7222682135858565,1.5356883057405941,28,8,8,6,128,semi_infinite,5
270.0,0.0,0.0,0.0,1.3682872937734367,0.0,true,missing,missing,0.7980353184050004,0.7980353184050004,0.05845855416642408,1.3475806144891165,1.148869514179484,0.9546558972423458,1.148869514179484,0.9546558972423458,0.5818643640234478,0.6374675943853781,0.581864364023448,0.6374675943853781,1.7186135839033825,1.5687071920325013,1.718613583903382,1.5687071920325013,28,8,8,6,128,semi_infinite,5
275.0,0.0,0.0,0.0,1.3936259473618338,0.0,true,missing,missing,0.8057014069604015,0.8057014069604015,0.054607853776892194,1.2921182617640288,1.2197119124642601,1.0337824939213809,1.2197119124642601,1.0337824939213809,0.5841160237015558,0.6281714675827148,0.5841160237015618,0.6281714675827148,1.7119886451033794,1.591922033402965,1.711988645103362,1.591922033402965,28,8,8,6,128,semi_infinite,5
280.0,0.0,0.0,0.0,1.4189646009502308,0.0,true,missing,missing,0.8129360483890665,0.8129360483890665,0.05124831351250307,1.2386701224387493,1.292758297712962,1.1152736715038978,1.292758297712962,1.1152736715038978,0.5874427952401556,0.6209139945071578,0.587442795240159,0.6209139945071578,1.702293411550285,1.6105290086008395,1.7022934115502752,1.6105290086008395,28,8,8,6,128,semi_infinite,5
285.0,0.0,0.0,0.0,1.4443032545386276,0.0,true,missing,missing,0.8197721884172969,0.8197721884172969,0.04829200919470872,1.1874517194830057,1.3680010665074602,1.1989641037928032,1.3680010665074602,1.1989641037928032,0.5916667380806472,0.6173123727578461,0.5916667380806521,0.6173123727578461,1.690140641070979,1.6199254123686115,1.690140641070965,1.6199254123686115,28,8,8,6,128,semi_infinite,5
290.0,0.0,0.0,0.0,1.4696419081270247,0.0,true,missing,missing,0.8262397805402444,0.8262397805402444,0.04567016404190184,1.138597184126159,1.445429505391455,1.2847166792272828,1.445429505391455,1.2847166792272828,0.5971059098641717,0.617480436458102,0.5971059098641673,0.617480436458102,1.6747447705340544,1.6194845066445325,1.6747447705340666,1.6194845066445325,28,8,8,6,128,semi_infinite,5
295.0,0.0,0.0,0.0,1.4949805617154217,0.0,true,missing,missing,0.8323660565819615,0.8323660565819615,0.043328352286220645,1.09216997999715,1.5250299788170931,1.3724214968266055,1.5250299788170931,1.3724214968266055,0.6036340303080463,0.6191813353702877,0.6036340303080583,0.6191813353702877,1.6566329096616377,1.6150357623457303,1.656632909661605,1.6150357623457303,28,8,8,6,128,semi_infinite,5
300.0,0.0,0.0,0.0,1.5203192153038187,0.0,true,missing,missing,0.8381757677957731,0.8381757677957731,0.04122306475466912,1.0481758132068388,1.6067860690728226,1.461992904651655,1.6067860690728226,1.461992904651655,0.611242922508409,0.6234347816777527,0.611242922508409,0.6234347816777527,1.6360107629487404,1.604017018923545,1.6360107629487406,1.604017018923545,28,8,8,6,128,semi_infinite,5
305.0,0.0,0.0,0.0,1.5456578688922156,0.0,true,missing,missing,0.8436914091842544,0.8436914091842544,0.03931919921287242,1.0065757540582965,1.6906786985363016,1.5533655476413906,1.6906786985363016,1.5533655476413906,0.6198795388781169,0.6269392501188632,0.619879538878119,0.6269392501188632,1.613216661111029,1.595050875839098,1.6132166611110237,1.595050875839098,28,8,8,6,128,semi_infinite,5
310.0,0.0,0.0,0.0,1.5709965224806126,0.0,true,missing,missing,0.848933431501637,0.848933431501637,0.03758819537307981,0.9672982824136968,1.7766862504535592,1.6464901670146856,1.7766862504535592,1.6464901670146856,0.6296112682319621,0.634949906248849,0.6296112682319622,0.634949906248849,1.5882816119351582,1.5749273921588407,1.588281611935158,1.5749273921588407,28,8,8,6,128,semi_infinite,5
315.0,0.0,0.0,0.0,1.5963351760690097,0.0,true,missing,missing,0.853920441173169,0.853920441173169,0.03600662983664596,0.9302495870073728,1.8647846953426799,1.7413296361681652,1.8647846953426799,1.7413296361681652,0.6404010082454978,0.6445287357894713,0.640401008245498,0.6445287357894713,1.5615215890113805,1.5515212037444979,1.5615215890113803,1.5515212037444979,28,8,8,6,128,semi_infinite,5
320.0,0.0,0.0,0.0,1.6216738296574065,0.0,true,missing,missing,0.8586693868104688,0.8586693868104688,0.03455514561498393,0.8953219077929646,1.9549477247877323,1.8378554953396082,1.9549477247877323,1.8378554953396082,0.6522223048741642,0.6532841566671523,0.652222304874159,0.6532841566671523,1.5332195672040592,1.5307274633777765,1.5332195672040714,1.5307274633777765,28,8,8,6,128,semi_infinite,5
325.0,0.0,0.0,0.0,1.6470124832458035,0.0,true,missing,missing,0.863195730936303,0.863195730936303,0.03321762890463239,0.8623999997508811,2.0471468916512747,1.9360450849010211,2.0471468916512747,1.9360450849010211,0.6650715222955503,0.6648109200453302,0.6650715222955458,0.6648109200453302,1.503597683070861,1.5041870851516925,1.5035976830708713,1.5041870851516925,28,8,8,6,128,semi_infinite,5
330.0,0.0,0.0,0.0,1.6723511368342006,0.0,true,missing,missing,0.8675136061094415,0.8675136061094415,0.03198057089759307,0.8313659477994964,2.1413517546140586,2.035879274326045,2.1413517546140586,2.035879274326045,0.6789146178123625,0.6781450727810435,0.6789146178123646,0.6781450727810435,1.4729392677127164,1.4746107287914714,1.472939267712712,1.4746107287914714,28,8,8,6,128,semi_infinite,5
335.0,0.0,0.0,0.0,1.6976897904225976,0.0,true,missing,missing,0.8716359553566978,0.8716359553566978,0.030832569472060874,0.802102618276271,2.237530024730974,2.137340728178983,2.237530024730974,2.137340728178983,0.6937220429876818,0.6926529603260692,0.6937220429876859,0.6926529603260692,1.4414995315605916,1.4437244295169778,1.4414995315605832,1.4437244295169778,28,8,8,6,128,semi_infinite,5
340.0,0.0,0.0,0.0,1.7230284440109944,0.0,true,missing,missing,0.8755746574448764,0.8755746574448764,0.029763937512553403,0.7744960310319048,2.3356477119300068,2.2404126270959845,2.3356477119300068,2.2404126270959845,0.709570158649271,0.7083811146603837,0.7095701586492764,0.7083811146603837,1.409303911404036,1.4116694803184102,1.4093039114040253,1.4116694803184102,28,8,8,6,128,semi_infinite,5
345.0,0.0,0.0,0.0,1.7483670975993915,0.0,true,missing,missing,0.8793406379454625,0.8793406379454625,0.028766393095004214,0.7484369055927388,2.4356692697402758,2.345077757934196,2.4356692697402758,2.345077757934196,0.7264640322950169,0.7204781661318296,0.7264640322950184,0.7204781661318296,1.3765306409469977,1.387967112686972,1.3765306409469946,1.387967112686972,28,8,8,6,128,semi_infinite,5
