xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
0.25,64.36497725581445,204.0090494147388,1.1152527576777267,peak,true,8.293142696060869,phi_u,64.36497725581445,64.36497725581445
0.25,85.81996967441927,201.60585017829743,1.4471797010805358,peak,true,8.369890857746547,phi_u,85.81996967441927,85.81996967441927
0.25,107.2749620930241,198.48141790207345,1.7447200442599793,peak,true,8.486777554583808,phi_u,107.2749620930241,107.2749620930241
0.25,128.7299545116289,194.61077908523242,1.9990269855200133,peak,true,8.66220140482789,phi_u,128.7299545116289,128.7299545116289
0.25,150.18494693023374,189.94671941460595,2.1998329246372395,peak,true,8.926023951655173,phi_u,150.18494693023374,150.18494693023374
0.25,171.63993934883854,184.4719826255263,2.338718971632413,peak,true,9.328297407524968,phi_u,171.63993934883854,171.63993934883854
0.25,193.09493176744334,178.14139123057473,2.4049816903737407,peak,true,9.956632905654285,phi_u,193.09493176744334,193.09493176744334
0.25,214.5499241860482,170.9799187305858,2.3940944725635434,peak,true,10.97135587111666,phi_u,214.5499241860482,214.5499241860482
0.25,236.004916604653,163.10493042698127,2.3161061194284445,peak,true,12.675520498431691,phi_u,236.004916604653,236.004916604653
0.25,257.4599090232578,154.65195878201752,2.2027653434910315,peak,true,15.66840387619613,phi_u,257.4599090232578,257.4599090232578
0.25,278.91490144186264,145.42191165176905,2.079973610843466,peak,true,21.431314443441984,phi_u,278.91490144186264,278.91490144186264
0.25,300.36989386046747,134.63883948053382,1.9361457445769175,peak,true,36.80396385362468,phi_u,300.36989386046747,300.36989386046747
0.25,321.82488627907225,120.81884980270354,1.66988790506358,peak,true,1360.0588784903732,phi_u,321.82488627907225,321.82488627907225
0.5,0.0,212.99459762095358,0.0,peak,true,7.23322821222294,phi_u,0.0,0.0
0.5,23.22276811897406,212.60977932384446,0.41230859586019764,peak,true,7.238410572299208,phi_u,23.22276811897406,23.22276811897406
0.5,46.44553623794812,211.44854467210902,0.8147678529426187,peak,true,7.254981265115775,phi_u,46.44553623794812,46.44553623794812
0.5,69.66830435692218,209.49887625237943,1.197425647627617,peak,true,7.286191956839976,phi_u,69.66830435692218,69.66830435692218
0.5,92.89107247589624,206.73075971967577,1.5497926029440372,peak,true,7.338123909453437,phi_u,92.89107247589624,92.89107247589624
0.5,116.1138405948703,203.11886542824243,1.8614324744543327,peak,true,7.420920459842496,phi_u,116.1138405948703,116.1138405948703
0.5,139.33660871384436,198.62116161973165,2.121270575056736,peak,true,7.551159120779307,phi_u,139.33660871384436,139.33660871384436
0.5,162.5593768328184,193.17786689261177,2.316996404440379,peak,true,7.756438783337714,phi_u,162.5593768328184,162.5593768328184
0.5,185.78214495179247,186.7216198427794,2.435061526271765,peak,true,8.084604947708778,phi_u,185.78214495179247,185.78214495179247
0.5,209.00491307076655,179.1892491884989,2.460768293070324,peak,true,8.622807320136952,phi_u,209.00491307076655,209.00491307076655
0.5,232.2276811897406,170.62069162693413,2.3870924315733095,peak,true,9.534655614514495,phi_u,232.2276811897406,232.2276811897406
0.5,255.45044930871467,161.32662429068267,2.2429016791522915,peak,true,11.10886851286385,phi_u,255.45044930871467,255.45044930871467
0.5,278.6732174276887,151.63442642493408,2.103820043610006,peak,true,13.77609589301842,phi_u,278.6732174276887,278.6732174276887
0.5,301.89598554666276,140.78882119845008,1.9720118069645054,peak,true,18.314412544273353,phi_u,301.89598554666276,301.89598554666276
0.5,325.1187536656368,127.08555098117915,1.7921888665172854,peak,true,28.31764900463167,phi_u,325.1187536656368,325.1187536656368
0.5,348.3415217846109,107.00279370506723,1.6135875992438173,peak,true,1135.2908016517067,phi_u,348.3415217846109,348.3415217846109
