# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.m_u: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_d: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.m_s: fm^-1
# x_label: Temperature
# y_unit.M_u_plus_M_d: fm^-1
# y_unit.M_u_plus_M_s: fm^-1
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_u_plus_M_d,M_u_plus_M_s
20260328T063557_884e94d3,224.0,0.0,0.0,1.3374330498424385,2.7331983219241502,0.5577460083406243,0.7391900637360151,3.6700708870263827e-16,4.548361687284341e-11,good,good,newton,newton,0.16661099104039903,0.166610991040399,1.8789206543727224,ok,,,2026-03-28T06:36:37Z,0.333221982080798,2.0455316454131216
20260328T063557_884e94d3,225.0,0.0,0.0,1.3657731225435552,2.739934041702904,0.5830187406891288,0.7605082886718658,2.6513763954581243e-16,3.913491752882692e-11,good,good,newton,newton,0.16038893977266022,0.16038893977266014,1.8682846647799398,ok,,,2026-03-28T06:36:37Z,0.32077787954532033,2.0286736045526
20260328T063557_884e94d3,226.0,0.0,0.0,1.3938375463230728,2.7463796926753363,0.6083712667908563,0.7816952403552433,3.3306690738754696e-16,3.378741730841739e-11,good,good,newton,newton,0.15459300597581757,0.15459300597581765,1.8575822178734167,ok,,,2026-03-28T06:36:37Z,0.3091860119516352,2.0121752238492343
20260328T063557_884e94d3,227.0,0.0,0.0,1.4216351124808473,2.752569206390638,0.6338190974407167,0.8027996288700388,2.220446049250313e-16,2.9246827182305424e-11,good,good,newton,newton,0.14918233133814807,0.149182331338148,1.8468108049397516,ok,,,2026-03-28T06:36:37Z,0.2983646626762961,1.9959931362778995
20260328T063557_884e94d3,228.0,0.0,0.0,1.4491743504295467,2.7585331643950397,0.6593748838939643,0.8238631524578216,2.1745236731173036e-16,2.5369706335709452e-11,good,good,newton,newton,0.1441209826498801,0.14412098264988013,1.8359687933749806,ok,,,2026-03-28T06:36:38Z,0.2882419652997602,1.9800897760248608
20260328T063557_884e94d3,229.0,0.0,0.0,1.476463470128304,2.7642992389528676,0.6850489792060387,0.8449217225680153,1.3959563909676367e-16,2.2042812020117708e-11,good,good,newton,newton,0.1393772541936649,0.1393772541936648,1.8250552976299559,ok,,,2026-03-28T06:36:38Z,0.27875450838732974,1.9644325518236208
20260328T063557_884e94d3,230.0,0.0,0.0,1.5035103490592596,2.7698925689035185,0.7108498185850033,0.8660064314774966,9.819027261995672e-9,1.917643821514048e-11,good,good,newton,newton,0.13492308075846715,0.13492308075846707,1.8140700748129348,ok,,,2026-03-28T06:36:38Z,0.2698461615169342,1.948993155571402
20260328T063557_884e94d3,231.0,0.0,0.0,1.5303224194174299,2.7753360800742377,0.7367844713668822,0.8871443232068126,9.370427887167733e-9,1.6699530647201755e-11,good,good,newton,newton,0.1307335424622124,0.13073354246221236,1.803013439624046,ok,,,2026-03-28T06:36:39Z,0.2614670849244247,1.9337469820862585
20260328T063557_884e94d3,232.0,0.0,0.0,1.556906801380095,2.7806507584655904,0.7628585801391444,0.9083590126109732,8.952119152649255e-9,1.4556800209675202e-11,good,good,newton,newton,0.1267864458255336,0.1267864458255336,1.7918861944870017,ok,,,2026-03-28T06:36:39Z,0.2535728916510672,1.9186726403125354
20260328T063557_884e94d3,233.0,0.0,0.0,1.583270205426974,2.7858558832779186,0.7890767913496807,0.9296711862099307,8.561840871905207e-9,1.2699841178687166e-11,good,good,newton,newton,0.12306196827467884,0.12306196827467897,1.7806895716560067,ok,,,2026-03-28T06:36:40Z,0.24612393654935782,1.9037515399306855
