xi,mu_MeV,T_MeV,rho,cep_mu_proxy_MeV,cep_mu_source,filter_status
-0.175,329.1634899393317,132.0088264989904,4.6248317259909,266.12805691179994,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.175,352.6751677921411,132.0088264989904,5.594439145837378,266.12805691179994,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1625,282.6597150401326,133.0087447721479,3.011932572273345,268.0965808448796,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1625,306.21469129347696,133.0087447721479,3.832361653613501,268.0965808448796,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1625,329.7696675468214,133.0087447721479,4.676542222321423,268.0965808448796,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1625,353.32464380016575,133.0087447721479,5.653087312677398,268.0965808448796,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.15,283.17223294744787,133.0087447721479,2.983584151626297,270.06608881633304,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.15,306.76991902640185,133.0087447721479,3.8112317145611243,270.06608881633304,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.15,330.36760510535584,133.0087447721479,4.653463069148978,270.06608881633304,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.15,353.9652911843098,133.0087447721479,5.626703679068953,270.06608881633304,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1375,283.677863675289,133.0087447721479,2.954468868516127,271.88066483141466,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1375,307.3176856482297,133.0087447721479,3.7904531412695537,271.88066483141466,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1375,330.95750762117046,133.0087447721479,4.630831173490251,271.88066483141466,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.1375,354.5973295941112,133.0087447721479,5.600849022286086,271.88066483141466,muq_last_first_order_MeV,excluded_response_peak_above_CEP
-0.125,284.1767916747954,133.0087447721479,2.9244052011176533,273.7915417423951,muq_last_first_order_MeV,excluded_response_peak_above_CEP
