target_id,xi,T_MeV,method,rho,muq_MeV,source_curve_sha256
xi_0p00_T51,0,51,production_hybrid,0.55625,368.585884,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.5625,368.515469,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.56875,368.443047,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.575,368.368665,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.58125,368.292371,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.5875,368.214207,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.59375,368.134218,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.6,368.052446,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.60625,367.968932,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.6125,367.883715,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.61875,367.796833,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.625,367.708325,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.63125,367.618227,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.6375,367.526574,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.64375,367.4334,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.65,367.338739,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.65625,367.242624,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.6625,367.145087,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.66875,367.046159,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.675,366.945869,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.68125,366.844248,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.6875,366.741324,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.69375,366.637125,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.7,366.531679,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.70625,366.425012,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.7125,366.317151,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.71875,366.208121,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.725,366.097947,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.73125,365.986654,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.7375,365.874265,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.74375,365.760804,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.75,365.646294,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.75625,365.530757,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.7625,365.414215,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.76875,365.296691,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.775,365.178204,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.78125,365.058775,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.7875,364.938426,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.79375,364.817176,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.8,364.695044,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.80625,364.572049,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.8125,364.448212,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.81875,364.323549,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.825,364.19808,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.83125,364.071822,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.8375,363.944793,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.84375,363.817011,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.85,363.688492,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.85625,363.559254,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.8625,363.429312,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.86875,363.298684,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.875,363.167385,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.88125,363.035432,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.8875,362.90284,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.89375,362.769624,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.9,362.6358,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.90625,362.501383,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.9125,362.366388,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
xi_0p00_T51,0,51,production_hybrid,0.91875,362.23083,d66ba215cbcb7a775f462e622aa90a075b820843a00368923a7d27e9c482c9fd
