xi,source_T_min_MeV,display_T_floor_MeV,extension_gap_MeV,extension_method,source_T_second_MeV,source_mu_first_MeV,source_mu_second_MeV,display_mu_floor_MeV,synthetic_row,status
0.00625,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,361.3111507294115,361.27181824805007,361.4094819328151,True,display_extrapolated_noncertified
0.0125,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,361.5830216269947,361.54374047680284,361.6812245024744,True,display_extrapolated_noncertified
0.01875,5.0,0.0,5.0,linear_T_from_first_two_native_rows,7.0,361.8517307456208,361.81250603969653,361.9497925104314,True,display_extrapolated_noncertified
0.025,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,362.1590192650782,362.146279923204,362.1653889360153,True,display_extrapolated_noncertified
0.03125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,362.4253654127757,362.4126334877209,362.4317313753031,True,display_extrapolated_noncertified
0.0375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,362.6901793514207,362.6774524564487,362.69654279890665,True,display_extrapolated_noncertified
0.04375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,362.9534726159135,362.94075173911,362.95983305431525,True,display_extrapolated_noncertified
0.05,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,363.2152638182346,363.2025489759184,363.2216212393927,True,display_extrapolated_noncertified
0.05625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,363.4748305106937,363.46212309661087,363.4811842177352,True,display_extrapolated_noncertified
0.0625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,363.73439720315287,363.7216972173033,363.7407471960777,True,display_extrapolated_noncertified
0.06875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,363.99104527261795,363.97835572483325,363.9973900465103,True,display_extrapolated_noncertified
0.075,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,364.24769334208304,364.2350142323632,364.25403289694293,True,display_extrapolated_noncertified
0.08125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,364.5014816426647,364.4888108069538,364.5078170605202,True,display_extrapolated_noncertified
0.0875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,364.7552699432464,364.7426073815443,364.76160122409743,True,display_extrapolated_noncertified
0.09375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,365.0062476214854,364.99360113711407,365.01257086367104,True,display_extrapolated_noncertified
0.1,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,365.25722529972444,365.2445948926838,365.26354050324477,True,display_extrapolated_noncertified
0.10625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,365.50544878819954,365.49283865607447,365.5117538542621,True,display_extrapolated_noncertified
0.1125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,365.7536722766747,365.7410824194652,365.75996720527945,True,display_extrapolated_noncertified
0.11875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,365.9991869100455,365.9866292377791,366.00546574617874,True,display_extrapolated_noncertified
0.125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,366.24470154341634,366.232176056093,366.250964287078,True,display_extrapolated_noncertified
0.13125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,366.48822175545854,366.4757343377431,366.49446546431625,True,display_extrapolated_noncertified
0.1375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,366.730423425808,366.71798334218454,366.73664346761973,True,display_extrapolated_noncertified
0.14375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,366.97132071035685,366.9589399556801,366.97751108769523,True,display_extrapolated_noncertified
0.15,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,367.21092439464405,367.19861368687475,367.2170797485287,True,display_extrapolated_noncertified
0.15625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,367.4486186743393,367.43639577454326,367.4547301242373,True,display_extrapolated_noncertified
0.1625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,367.68631295403446,367.6741778622118,367.6923804999458,True,display_extrapolated_noncertified
0.16875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,367.9215116828283,367.9094896691348,367.927522689675,True,display_extrapolated_noncertified
0.175,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,368.15671041162204,368.14480147605775,368.1626648794042,True,display_extrapolated_noncertified
0.18125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,368.3894792454862,368.37767881053486,368.39537946296184,True,display_extrapolated_noncertified
0.1875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,368.62224807935036,368.61055614501197,368.62809404651955,True,display_extrapolated_noncertified
0.19375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,368.85265828384604,368.8410952579893,368.8584397967744,True,display_extrapolated_noncertified
0.2,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,369.0830684883417,369.0716343709666,369.08878554702926,True,display_extrapolated_noncertified
0.20625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,369.3100582661988,369.2987124397986,369.3157311793989,True,display_extrapolated_noncertified
0.2125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,369.5370480440559,369.52579050863056,369.54267681176856,True,display_extrapolated_noncertified
0.21875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,369.76403782191295,369.7528685774626,369.7696224441381,True,display_extrapolated_noncertified
0.225,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,369.99102759977006,369.9799466462946,369.9965680765078,True,display_extrapolated_noncertified
0.23125,3.0,0.0,3.0,linear_T_from_first_two_native_rows,5.0,370.20267112688634,370.18034928959315,370.2361538828261,True,display_extrapolated_noncertified
0.2375,3.0,0.0,3.0,linear_T_from_first_two_native_rows,5.0,370.42539560747804,370.40318888150324,370.45870569644023,True,display_extrapolated_noncertified
0.24375,3.0,0.0,3.0,linear_T_from_first_two_native_rows,5.0,370.6481200880698,370.6260284734133,370.6812575100545,True,display_extrapolated_noncertified
0.25,3.0,0.0,3.0,linear_T_from_first_two_native_rows,5.0,370.87084456866154,370.8488680653235,370.9038093236686,True,display_extrapolated_noncertified
0.25625,3.0,0.0,3.0,linear_T_from_first_two_native_rows,5.0,371.0903522223119,371.0685211740461,371.12309879471053,True,display_extrapolated_noncertified
0.2625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,371.3204375729912,371.3098598759622,371.3257264215057,True,display_extrapolated_noncertified
0.26875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,371.5378242919874,371.5273111993729,371.5430808382947,True,display_extrapolated_noncertified
0.275,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,371.75521101098366,371.74476252278356,371.76043525508373,True,display_extrapolated_noncertified
0.28125,13.0,0.0,13.0,linear_T_from_first_two_native_rows,15.0,371.735747167845,371.65353315788445,372.27013823258835,True,display_extrapolated_noncertified
0.2875,13.0,0.0,13.0,linear_T_from_first_two_native_rows,15.0,371.9523638925508,371.87051856656603,372.48435851145183,True,display_extrapolated_noncertified
0.29375,13.0,0.0,13.0,linear_T_from_first_two_native_rows,15.0,372.16699386678033,372.06081811442823,372.857136257069,True,display_extrapolated_noncertified
0.3,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,372.612801526237,372.60260122012335,372.6179016792938,True,display_extrapolated_noncertified
0.30625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,372.8247713226538,372.81462477031675,372.8298445988223,True,display_extrapolated_noncertified
0.3125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,373.0357872975561,373.02569696983795,373.0408324614152,True,display_extrapolated_noncertified
0.31875,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,373.2458593806127,373.2358223640009,373.25087788891864,True,display_extrapolated_noncertified
0.325,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,373.4549977839921,373.44501676645257,373.45998829276186,True,display_extrapolated_noncertified
0.33125,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,373.6627657833471,373.65283509817556,373.66773112593285,True,display_extrapolated_noncertified
0.3375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,373.87053378270207,373.86065342989855,373.87547395910383,True,display_extrapolated_noncertified
0.34375,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,374.07647961354024,374.0666512892139,374.0813937757034,True,display_extrapolated_noncertified
0.35,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,374.2824254443784,374.27264914852924,374.287313592303,True,display_extrapolated_noncertified
0.35625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,374.4866000550822,374.4768718003963,374.49146418242515,True,display_extrapolated_noncertified
0.3625,1.0,0.0,1.0,linear_T_from_first_two_native_rows,3.0,374.69077466578597,374.6810944522633,374.6956147725473,True,display_extrapolated_noncertified
