surface,xi,xi_role,xi_left,xi_right,axis_low,axis_high,source_rows,coverage_status
crossover,0.45,native_uniform,0.45,0.45,0.0,339.2701998281364,16,native_support
crossover,0.45625,derived_uniform,0.45,0.4625,0.0,339.2701998281364,30,interpolated_common_support
crossover,0.4625,native_uniform,0.4625,0.4625,0.0,340.2882579651578,16,native_support
crossover,0.46875,derived_uniform,0.4625,0.475,0.0,340.2882579651578,30,interpolated_common_support
crossover,0.475,native_uniform,0.475,0.475,0.0,341.3330990822394,16,native_support
crossover,0.48125,derived_uniform,0.475,0.4875,0.0,341.3330990822394,30,interpolated_common_support
crossover,0.4875,native_uniform,0.4875,0.4875,0.0,342.35905113291346,16,native_support
crossover,0.49375,derived_uniform,0.4875,0.5,0.0,342.35905113291346,30,interpolated_common_support
crossover,0.5,native_uniform,0.5,0.5,0.0,343.40849545149354,16,native_support
maxwell,-0.5,native_uniform,-0.5,-0.5,5.0,147.0625,100,native_support
maxwell,-0.49375,derived_uniform,-0.5,-0.4875,9.0,146.6875,101,interpolated_common_support
maxwell,-0.4875,native_uniform,-0.4875,-0.4875,9.0,146.6875,99,native_support
maxwell,-0.48125,derived_uniform,-0.4875,-0.475,9.0,146.25,99,interpolated_common_support
maxwell,-0.475,native_uniform,-0.475,-0.475,5.0,146.25,92,native_support
maxwell,-0.46875,native_uniform,-0.46875,-0.46875,5.0,146.0625,93,native_support
maxwell,-0.4625,native_uniform,-0.4625,-0.4625,9.0,145.875,97,native_support
maxwell,-0.45625,native_uniform,-0.45625,-0.45625,5.0,145.6875,96,native_support
maxwell,-0.45,native_uniform,-0.45,-0.45,5.0,145.5,97,native_support
maxwell,-0.44375,derived_uniform,-0.45,-0.4375,11.0,145.0625,96,interpolated_common_support
maxwell,-0.4375,native_uniform,-0.4375,-0.4375,11.0,145.0625,96,native_support
maxwell,-0.43125,derived_uniform,-0.4375,-0.425,11.0,144.6875,97,interpolated_common_support
maxwell,-0.425,native_uniform,-0.425,-0.425,5.0,144.6875,94,native_support
maxwell,-0.41875,derived_uniform,-0.425,-0.4125,5.0,144.3125,96,interpolated_common_support
maxwell,-0.4125,native_uniform,-0.4125,-0.4125,5.0,144.3125,89,native_support
maxwell,-0.40625,derived_uniform,-0.4125,-0.4,7.0,143.9375,94,interpolated_common_support
maxwell,-0.4,native_uniform,-0.4,-0.4,7.0,143.9375,92,native_support
maxwell,-0.39375,derived_uniform,-0.4,-0.3875,7.0,143.5,93,interpolated_common_support
maxwell,-0.3875,native_uniform,-0.3875,-0.3875,5.0,143.5,93,native_support
maxwell,-0.38125,derived_uniform,-0.3875,-0.375,5.0,143.125,94,interpolated_common_support
maxwell,-0.375,native_uniform,-0.375,-0.375,5.0,143.125,92,native_support
maxwell,-0.36875,derived_uniform,-0.375,-0.3625,7.0,142.75,95,interpolated_common_support
maxwell,-0.3625,native_uniform,-0.3625,-0.3625,7.0,142.75,93,native_support
maxwell,-0.35625,derived_uniform,-0.3625,-0.35,7.0,142.375,96,interpolated_common_support
maxwell,-0.35,native_uniform,-0.35,-0.35,5.0,142.375,89,native_support
maxwell,-0.34375,native_uniform,-0.34375,-0.34375,11.0,142.1875,89,native_support
maxwell,-0.3375,native_uniform,-0.3375,-0.3375,5.0,142.0,91,native_support
maxwell,-0.33125,native_uniform,-0.33125,-0.33125,5.0,141.8125,94,native_support
maxwell,-0.325,native_uniform,-0.325,-0.325,5.0,141.5625,92,native_support
maxwell,-0.31875,derived_uniform,-0.325,-0.3125,9.0,141.1875,92,interpolated_common_support
maxwell,-0.3125,native_uniform,-0.3125,-0.3125,9.0,141.1875,92,native_support
maxwell,-0.30625,derived_uniform,-0.3125,-0.3,9.0,140.8125,91,interpolated_common_support
maxwell,-0.3,native_uniform,-0.3,-0.3,5.0,140.8125,84,native_support
maxwell,-0.29375,derived_uniform,-0.3,-0.2875,5.0,140.4375,91,interpolated_common_support
maxwell,-0.2875,native_uniform,-0.2875,-0.2875,5.0,140.4375,89,native_support
maxwell,-0.28125,derived_uniform,-0.2875,-0.275,5.0,140.0625,89,interpolated_common_support
maxwell,-0.275,native_uniform,-0.275,-0.275,5.0,140.0625,87,native_support
maxwell,-0.26875,derived_uniform,-0.275,-0.2625,5.0,139.625,89,interpolated_common_support
maxwell,-0.2625,native_uniform,-0.2625,-0.2625,5.0,139.625,88,native_support
maxwell,-0.25625,derived_uniform,-0.2625,-0.25,5.0,139.25,88,interpolated_common_support
maxwell,-0.25,native_uniform,-0.25,-0.25,5.0,139.25,83,native_support
maxwell,-0.24375,derived_uniform,-0.25,-0.2375,7.0,138.875,87,interpolated_common_support
maxwell,-0.2375,native_uniform,-0.2375,-0.2375,7.0,138.875,85,native_support
maxwell,-0.23125,derived_uniform,-0.2375,-0.225,7.0,138.5,88,interpolated_common_support
maxwell,-0.225,native_uniform,-0.225,-0.225,5.0,138.5,87,native_support
maxwell,-0.21875,native_uniform,-0.21875,-0.21875,5.0,138.3125,89,native_support
maxwell,-0.2125,native_uniform,-0.2125,-0.2125,5.0,138.0625,87,native_support
maxwell,-0.20625,native_uniform,-0.20625,-0.20625,5.0,137.875,85,native_support
maxwell,-0.2,native_uniform,-0.2,-0.2,5.0,137.6875,86,native_support
maxwell,-0.19375,derived_uniform,-0.2,-0.1875,5.0,137.3125,87,interpolated_common_support
maxwell,-0.1875,native_uniform,-0.1875,-0.1875,5.0,137.3125,86,native_support
maxwell,-0.18125,derived_uniform,-0.1875,-0.175,5.0,136.921875,88,interpolated_common_support
maxwell,-0.175,native_uniform,-0.175,-0.175,5.0,136.921875,79,native_support
maxwell,-0.16875,derived_uniform,-0.175,-0.1625,5.0,136.5,83,interpolated_common_support
maxwell,-0.1625,native_uniform,-0.1625,-0.1625,5.0,136.5,82,native_support
maxwell,-0.15625,derived_uniform,-0.1625,-0.15,5.0,136.0625,83,interpolated_common_support
maxwell,-0.15,native_uniform,-0.15,-0.15,5.0,136.0625,81,native_support
maxwell,-0.14375,derived_uniform,-0.15,-0.1375,5.0,135.6875,84,interpolated_common_support
maxwell,-0.1375,native_uniform,-0.1375,-0.1375,5.0,135.6875,82,native_support
maxwell,-0.13125,derived_uniform,-0.1375,-0.125,5.0,135.25,82,interpolated_common_support
maxwell,-0.125,native_uniform,-0.125,-0.125,5.0,135.25,79,native_support
maxwell,-0.11875,derived_uniform,-0.125,-0.1125,5.0,134.875,84,interpolated_common_support
