T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,mu_B_MeV,mu_Q_MeV,mu_S_MeV,pressure_fm4,entropy_fm3,energy_fm4,rho_u_fm3,rho_d_fm3,rho_s_fm3,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
120.000000,2.525000,0.000000,308.852498,308.852498,308.852498,308.852498,926.557494,0.000000,0.000000,21.666672,2.126546,-18.476460,0.566239,0.566239,0.079523,-0.526366,-0.526366,-2.001476,0.243238,0.279205,106.728183,106.728183,456.958714,3,0.000000,true,
120.000000,2.500000,0.000000,308.569589,308.569589,308.569589,308.569589,925.708766,0.000000,0.000000,21.664942,2.110712,-18.504863,0.560672,0.560672,0.078656,-0.541871,-0.541871,-2.003323,0.242081,0.278205,109.728479,109.728479,457.550717,3,0.000000,true,
120.000000,2.475000,0.000000,308.314591,308.314591,308.314591,308.314591,924.943773,0.000000,0.000000,21.663399,2.095025,-18.533160,0.555094,0.555094,0.077811,-0.557610,-0.557610,-2.005185,0.240929,0.277211,112.774958,112.774958,458.158885,3,0.000000,true,
120.000000,2.450000,0.000000,308.087003,308.087003,308.087003,308.087003,924.261009,0.000000,0.000000,21.662036,2.079476,-18.561358,0.549507,0.549507,0.076986,-0.573555,-0.573555,-2.007064,0.239780,0.276224,115.862349,115.862349,458.783070,3,0.000000,true,
120.000000,2.425000,0.000000,307.886164,307.886164,307.886164,307.886164,923.658492,0.000000,0.000000,21.660845,2.064053,-18.589466,0.543910,0.543910,0.076179,-0.589678,-0.589678,-2.008959,0.238635,0.275244,118.985354,118.985354,459.423040,3,0.000000,true,
120.000000,2.400000,0.000000,307.711272,307.711272,307.711272,307.711272,923.133816,0.000000,0.000000,21.659818,2.048747,-18.617492,0.538305,0.538305,0.075391,-0.605952,-0.605952,-2.010871,0.237493,0.274269,122.138723,122.138723,460.078492,3,0.000000,true,
120.000000,2.375000,0.000000,307.561404,307.561404,307.561404,307.561404,922.684211,0.000000,0.000000,21.658948,2.033546,-18.645445,0.532690,0.532690,0.074619,-0.622351,-0.622351,-2.012799,0.236352,0.273298,125.317334,125.317334,460.749058,3,0.000000,true,
120.000000,2.350000,0.000000,307.435534,307.435534,307.435534,307.435534,922.306601,0.000000,0.000000,21.658224,2.018436,-18.673333,0.527069,0.527069,0.073863,-0.638848,-0.638848,-2.014742,0.235213,0.272332,128.516249,128.516249,461.434318,3,0.000000,true,
120.000000,2.325000,0.000000,307.332557,307.332557,307.332557,307.332557,921.997672,0.000000,0.000000,21.657639,2.003407,-18.701165,0.521439,0.521439,0.073122,-0.655419,-0.655419,-2.016702,0.234073,0.271369,131.730767,131.730767,462.133811,3,0.000000,true,
120.000000,2.300000,0.000000,307.251308,307.251308,307.251308,307.251308,921.753925,0.000000,0.000000,21.657182,1.988446,-18.728951,0.515803,0.515803,0.072394,-0.672040,-0.672040,-2.018676,0.232933,0.270407,134.956466,134.956466,462.847041,3,0.000000,true,
120.000000,2.275000,0.000000,307.190578,307.190578,307.190578,307.190578,921.571733,0.000000,0.000000,21.656844,1.973539,-18.756699,0.510161,0.510161,0.071678,-0.688691,-0.688691,-2.020666,0.231791,0.269448,138.189221,138.189221,463.573487,3,0.000000,true,
120.000000,2.250000,0.000000,307.149132,307.149132,307.149132,307.149132,921.447395,0.000000,0.000000,21.656615,1.958675,-18.784418,0.504513,0.504513,0.070974,-0.705352,-0.705352,-2.022669,0.230647,0.268488,141.425230,141.425230,464.312618,3,0.000000,true,
120.000000,2.225000,0.000000,307.125725,307.125725,307.125725,307.125725,921.377176,0.000000,0.000000,21.656488,1.943842,-18.812116,0.498860,0.498860,0.070280,-0.722004,-0.722004,-2.024687,0.229498,0.267528,144.661015,144.661015,465.063890,3,0.000000,true,
120.000000,2.200000,0.000000,307.119115,307.119115,307.119115,307.119115,921.357344,0.000000,0.000000,21.656452,1.929027,-18.839802,0.493202,0.493202,0.069595,-0.738631,-0.738631,-2.026718,0.228346,0.266567,147.893426,147.893426,465.826762,3,0.000000,true,
120.000000,2.175000,0.000000,307.128069,307.128069,307.128069,307.128069,921.384207,0.000000,0.000000,21.656500,1.914219,-18.867484,0.487540,0.487540,0.068919,-0.755219,-0.755219,-2.028761,0.227188,0.265604,151.119630,151.119630,466.600697,3,0.000000,true,
120.000000,2.150000,0.000000,307.151378,307.151378,307.151378,307.151378,921.454134,0.000000,0.000000,21.656622,1.899407,-18.895170,0.481875,0.481875,0.068250,-0.771754,-0.771754,-2.030817,0.226024,0.264637,154.337103,154.337103,467.385168,3,0.000000,true,
120.000000,2.125000,0.000000,307.187859,307.187859,307.187859,307.187859,921.563578,0.000000,0.000000,21.656812,1.884581,-18.922866,0.476206,0.476206,0.067588,-0.788225,-0.788225,-2.032884,0.224853,0.263667,157.543610,157.543610,468.179660,3,0.000000,true,
120.000000,2.100000,0.000000,307.236363,307.236363,307.236363,307.236363,921.709088,0.000000,0.000000,21.657061,1.869730,-18.950580,0.470535,0.470535,0.066931,-0.804622,-0.804622,-2.034963,0.223674,0.262692,160.737194,160.737194,468.983675,3,0.000000,true,
120.000000,2.075000,0.000000,307.295774,307.295774,307.295774,307.295774,921.887323,0.000000,0.000000,21.657363,1.854844,-18.978318,0.464861,0.464861,0.066279,-0.820935,-0.820935,-2.037052,0.222487,0.261712,163.916149,163.916149,469.796733,3,0.000000,true,
120.000000,2.050000,0.000000,307.365018,307.365018,307.365018,307.365018,922.095055,0.000000,0.000000,21.657710,1.839915,-19.006086,0.459184,0.459184,0.065631,-0.837158,-0.837158,-2.039151,0.221290,0.260725,167.079004,167.079004,470.618374,3,0.000000,true,
120.000000,2.025000,0.000000,307.443059,307.443059,307.443059,307.443059,922.329177,0.000000,0.000000,21.658097,1.824934,-19.033891,0.453507,0.453507,0.064987,-0.853283,-0.853283,-2.041261,0.220083,0.259732,170.224504,170.224504,471.448159,3,0.000000,true,
120.000000,2.000000,0.000000,307.528900,307.528900,307.528900,307.528900,922.586700,0.000000,0.000000,21.658517,1.809891,-19.061737,0.447827,0.447827,0.064345,-0.869306,-0.869306,-2.043379,0.218865,0.258731,173.351586,173.351586,472.285669,2,0.000000,true,
120.000000,1.975000,0.000000,307.621585,307.621585,307.621585,307.621585,922.864756,0.000000,0.000000,21.658965,1.794781,-19.089631,0.442147,0.442147,0.063706,-0.885222,-0.885222,-2.045506,0.217636,0.257721,176.459364,176.459364,473.130506,2,0.000000,true,
120.000000,1.950000,0.000000,307.720197,307.720197,307.720197,307.720197,923.160590,0.000000,0.000000,21.659436,1.779595,-19.117576,0.436466,0.436466,0.063068,-0.901027,-0.901027,-2.047641,0.216395,0.256703,179.547109,179.547109,473.982296,2,0.000000,true,
120.000000,1.925000,0.000000,307.823854,307.823854,307.823854,307.823854,923.471562,0.000000,0.000000,21.659924,1.764326,-19.145578,0.430785,0.430785,0.062431,-0.916718,-0.916718,-2.049785,0.215140,0.255675,182.614233,182.614233,474.840681,2,0.000000,true,
120.000000,1.900000,0.000000,307.931712,307.931712,307.931712,307.931712,923.795135,0.000000,0.000000,21.660426,1.748967,-19.173641,0.425103,0.425103,0.061794,-0.932292,-0.932292,-2.051936,0.213872,0.254637,185.660271,185.660271,475.705328,2,0.000000,true,
120.000000,1.875000,0.000000,308.042958,308.042958,308.042958,308.042958,924.128875,0.000000,0.000000,21.660937,1.733514,-19.201768,0.419421,0.419421,0.061158,-0.947749,-0.947749,-2.054094,0.212590,0.253587,188.684871,188.684871,476.575919,2,0.000000,true,
120.000000,1.850000,0.000000,308.156814,308.156814,308.156814,308.156814,924.470442,0.000000,0.000000,21.661453,1.717959,-19.229964,0.413739,0.413739,0.060521,-0.963087,-0.963087,-2.056260,0.211294,0.252527,191.687776,191.687776,477.452159,2,0.000000,true,
120.000000,1.825000,0.000000,308.272528,308.272528,308.272528,308.272528,924.817583,0.000000,0.000000,21.661970,1.702297,-19.258232,0.408058,0.408058,0.059883,-0.978304,-0.978304,-2.058432,0.209982,0.251454,194.668817,194.668817,478.333766,2,0.000000,true,
120.000000,1.800000,0.000000,308.389375,308.389375,308.389375,308.389375,925.168126,0.000000,0.000000,21.662485,1.686523,-19.286575,0.402378,0.402378,0.059245,-0.993401,-0.993401,-2.060610,0.208654,0.250369,197.627897,197.627897,479.220479,2,0.000000,true,
120.000000,1.775000,0.000000,308.506657,308.506657,308.506657,308.506657,925.519971,0.000000,0.000000,21.662995,1.670632,-19.314996,0.396698,0.396698,0.058604,-1.008378,-1.008378,-2.062794,0.207310,0.249271,200.564987,200.564987,480.112051,2,0.000000,true,
120.000000,1.750000,0.000000,308.623696,308.623696,308.623696,308.623696,925.871087,0.000000,0.000000,21.663497,1.654620,-19.343498,0.391019,0.391019,0.057962,-1.023234,-1.023234,-2.064984,0.205948,0.248159,203.480112,203.480112,481.008251,2,0.000000,true,
120.000000,1.725000,0.000000,308.739834,308.739834,308.739834,308.739834,926.219501,0.000000,0.000000,21.663988,1.638482,-19.372084,0.385341,0.385341,0.057317,-1.037971,-1.037971,-2.067180,0.204570,0.247033,206.373347,206.373347,481.908861,2,0.000000,true,
120.000000,1.700000,0.000000,308.854431,308.854431,308.854431,308.854431,926.563292,0.000000,0.000000,21.664465,1.622213,-19.400757,0.379665,0.379665,0.056670,-1.052588,-1.052588,-2.069381,0.203173,0.245892,209.244810,209.244810,482.813677,2,0.000000,true,
