reference_mode,muB_MeV,xi,alpha_T,T_MeV,species,channel,density,rate,contribution,species_total,contribution_share
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,subar_to_subar,0.21478443208677903,0.9089656484956656,0.19523167059853236,2.5774196823794253,0.0757469464260078
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,uubar_to_ssbar,0.6747308908722178,0.015244435066884365,0.010285891253522566,2.5774196823794253,0.003990770817745453
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,ubardbar_to_ubardbar,0.011943601323034856,0.5301891362079839,0.006332367668672384,2.5774196823794253,0.002456863238829022
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,ubarubar_to_ubarubar,0.011943601323034856,0.4242789579952222,0.0050674187240475855,2.5774196823794253,0.001966082108665144
candidate_runtime,900.0,0.5,1.2,150.8847096322416,ubar,ubarsbar_to_ubarsbar,0.0038760152392591654,0.34241193080264964,0.0013271938618952248,2.5774196823794253,0.0005149312201534771
legacy,900.0,-0.5,1.0,125.73725803129287,u,ud_to_ud,0.9908227295424082,0.07272939256957714,0.07206193526374977,0.19180244285502346,0.375709162986098
legacy,900.0,-0.5,1.0,125.73725803129287,u,uu_to_uu,0.9908227295424082,0.06534441483610882,0.06474473146826479,0.19180244285502346,0.33755947267680525
legacy,900.0,-0.5,1.0,125.73725803129287,u,us_to_us,0.21415167610361044,0.14119666233942763,0.030237501900223954,0.19180244285502346,0.1576492011787326
legacy,900.0,-0.5,1.0,125.73725803129287,u,udbar_to_udbar,0.008344294934805778,1.3332363143640908,0.011124917024847407,0.19180244285502346,0.0580019569055037
legacy,900.0,-0.5,1.0,125.73725803129287,u,uubar_to_uubar,0.008344294934805778,0.831911322320525,0.006941713433046734,0.19180244285502346,0.03619199698250832
legacy,900.0,-0.5,1.0,125.73725803129287,u,uubar_to_ddbar,0.008344294934805778,0.7094639475487372,0.0059199764239582404,0.19180244285502346,0.0308649688493954
legacy,900.0,-0.5,1.0,125.73725803129287,u,usbar_to_usbar,0.00176388382710381,0.3602767281298551,0.0006354862940301277,0.19180244285502346,0.0033132335781065566
legacy,900.0,-0.5,1.0,125.73725803129287,u,uubar_to_ssbar,0.008344294934805778,0.0163202580884803,0.0001361810469024292,0.19180244285502346,0.0007100068428500858
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,dubar_to_dubar,0.9908227295424082,1.3332363143640908,1.3210008441232888,3.1478286789108267,0.4196546187451235
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,uubar_to_uubar,0.9908227295424082,0.831911322320525,0.8242766471188567,3.1478286789108267,0.26185562532077283
legacy,900.0,-0.5,1.0,125.73725803129287,ubar,uubar_to_ddbar,0.9908227295424082,0.7094639475487372,0.7029530050221717,3.1478286789108267,0.2233136160591176
